,Theme,etf_names
0,5G,FIVG
1,5G,NXTG
2,5G,TENG
3,5G,WUGI
4,5G,CWC
5,Aerospace & Defense,ITA
6,Aerospace & Defense,XAR
7,Aerospace & Defense,PPA
8,Aerospace & Defense,DFEN
9,Aerospace & Defense,SHLD
10,Aggressive,AOA
11,Aggressive,CLSA
12,Aggressive,DUDE
13,Aggressive,QPX
14,Aggressive,ARMR
15,Aggressive,WIZ
16,Aggressive,PWS
17,Aggressive,EAOA
18,Aggressive,BOB
19,Aggressive,TAEQ
20,Agriculture,MOO
21,Agriculture,VEGI
22,Agriculture,VEGN
23,Agriculture,FTAG
24,Agriculture,KROP
25,Agriculture,EATV
26,Agriculture,YUMY
27,Airlines,JETS
28,Asset Management & Custody Banks,BIZD
29,Asset Management & Custody Banks,PSP
30,Asset Management & Custody Banks,BDCZ
31,Asset Management & Custody Banks,BDCX
32,Asset Management & Custody Banks,PEX
33,Banks,KBWB
34,Banks,FTXO
35,Big Tech,FNGU
36,Big Tech,BULZ
37,Big Tech,FNGO
38,Big Tech,FNGS
39,Big Tech,FNGD
40,Big Tech,FNGG
41,Big Tech,BERZ
42,Biotechnology,IBB
43,Biotechnology,XBI
44,Biotechnology,FBT
45,Biotechnology,LABU
46,Biotechnology,BBH
47,Biotechnology,PBE
48,Biotechnology,SBIO
49,Biotechnology,LABD
50,Biotechnology,BBP
51,Biotechnology,CHB
52,Blockchain,BLOK
53,Blockchain,BLCN
54,Blockchain,LEGR
55,Blockchain,BKCH
56,Blockchain,BLKC
57,Broad Maturities,AGG
58,Broad Maturities,BND
59,Broad Maturities,BNDX
60,Broad Maturities,TIP
61,Broad Maturities,LQD
62,Broad Maturities,MUB
63,Broad Maturities,MBB
64,Broad Maturities,SCHP
65,Broad Maturities,TLT
66,Broad Maturities,IUSB
67,Broad Maturities,PFF
68,Broad Maturities,GOVT
69,Broad Maturities,EMB
70,Broad Maturities,VTEB
71,Broad Maturities,HYG
72,Broad Maturities,VMBS
73,Broad Maturities,SCHZ
74,Broad Maturities,FPE
75,Broad Maturities,USHY
76,Broad Maturities,JNK
77,Broad Maturities,SPAB
78,Broad Maturities,USIG
79,Broad Maturities,PGX
80,Broad Maturities,CWB
81,Broad Maturities,FIXD
82,Broad Maturities,HYLB
83,Broad Maturities,SPMB
84,Broad Maturities,ANGL
85,Broad Maturities,BOND
86,Broad Maturities,IAGG
87,Broad Maturities,SPIP
88,Broad Maturities,FALN
89,Broad Maturities,EMLC
90,Broad Maturities,HYD
91,Broad Maturities,VWOB
92,Broad Maturities,TOTL
93,Broad Maturities,FBND
94,Broad Maturities,FMB
95,Broad Maturities,PZA
96,Broad Maturities,PFFD
97,Broad Maturities,PCY
98,Broad Maturities,HYLS
99,Broad Maturities,BAB
100,Broad Maturities,EAGG
101,Broad Maturities,CMF
102,Broad Maturities,IVOL
103,Broad Maturities,HYMB
104,Broad Maturities,ICVT
105,Broad Maturities,HYDW
106,Broad Maturities,PGF
107,Broad Maturities,FLCB
108,Broad Maturities,JPHY
109,Broad Maturities,QLTA
110,Broad Maturities,LQDH
111,Broad Maturities,HYEM
112,Broad Maturities,HTRB
113,Broad Maturities,PSK
114,Broad Maturities,EBND
115,Broad Maturities,IGOV
116,Broad Maturities,UCON
117,Broad Maturities,PTBD
118,Broad Maturities,JAGG
119,Broad Maturities,AGGY
120,Broad Maturities,PFXF
121,Broad Maturities,GTO
122,Broad Maturities,DIAL
123,Broad Maturities,FLCO
124,Broad Maturities,IGHG
125,Broad Maturities,JMBS
126,Broad Maturities,SUSC
127,Broad Maturities,HYGV
128,Broad Maturities,EUSB
129,Broad Maturities,BWX
130,Broad Maturities,CMBS
131,Broad Maturities,GIGB
132,Broad Maturities,AGZ
133,Broad Maturities,CORP
134,Broad Maturities,VTC
135,Broad Maturities,SPHY
136,Broad Maturities,BNDW
137,Broad Maturities,PFFA
138,Broad Maturities,FPEI
139,Broad Maturities,NYF
140,Broad Maturities,LEMB
141,Broad Maturities,WIP
142,Broad Maturities,EMHY
143,Broad Maturities,MMIN
144,Broad Maturities,IG
145,Broad Maturities,PLW
146,Broad Maturities,DFCF
147,Broad Maturities,PREF
148,Broad Maturities,FLGV
149,Broad Maturities,GNMA
150,Broad Maturities,CEMB
151,Broad Maturities,FMHI
152,Broad Maturities,FLHY
153,Broad Maturities,GCOR
154,Broad Maturities,JPIB
155,Broad Maturities,NUAG
156,Broad Maturities,SPBO
157,Broad Retail,XRT
158,Broad Retail,RTH
159,Broad Retail,RETL
160,Broad Retail,ISHP
161,Broad Retail,EMTY
162,Broad Technology,IGM
163,Broad Technology,TECB
164,Broad Technology,GTEK
165,Broad Technology,DTEC
166,Broad Technology,XPND
167,Broad Technology,BTEK
168,Broad Technology,TCHI
169,Broad Technology,KTEC
170,Broad Technology,TINY
171,Broad Technology,TYNE
172,Broad Thematic,ARKK
173,Broad Thematic,KOMP
174,Broad Thematic,GINN
175,Broad Thematic,SARK
176,Broad Thematic,IZRL
177,Broad Thematic,GXTG
178,Broad Thematic,TMAT
179,Broad Thematic,MOON
180,Broad Thematic,FMIL
181,Broad Thematic,SSPX
182,Broad Thematic,ENTR
183,Broad Thematic,ANEW
184,Broad Thematic,SXUS
185,Broad Thematic,FITE
186,Broad Thematic,ERSX
187,Broad Thematic,GK
188,Broad Thematic,FFND
189,Broad Thematic,MVPS
190,Broad Thematic,BNE
191,Broad Thematic,INNO
192,Broad Thematic,SPRX
193,Broad Thematic,WWOW
194,Broad Thematic,ILDR
195,Broad Thematic,AVDG
196,Broad Thematic,KGRO
197,Broad Thematic,GRZZ
198,Broad Thematic,DTOX
199,Broad-based,SPY
200,Broad-based,IVV
201,Broad-based,VOO
202,Broad-based,VTI
203,Broad-based,QQQ
204,Broad-based,VEA
205,Broad-based,IEFA
206,Broad-based,VWO
207,Broad-based,IEMG
208,Broad-based,IJR
209,Broad-based,IJH
210,Broad-based,VIG
211,Broad-based,IWM
212,Broad-based,VO
213,Broad-based,EFA
214,Broad-based,VXUS
215,Broad-based,VGT
216,Broad-based,VB
217,Broad-based,XLF
218,Broad-based,XLK
219,Broad-based,VNQ
220,Broad-based,VYM
221,Broad-based,ITOT
222,Broad-based,XLE
