Ticker,stock_names,Symbol,Name
NVDA,NVIDIA Corporation,NVDA,NVIDIA Corp
NVDA,NVIDIA Corporation,NVDA,NVIDIA Corp
NVDA,NVIDIA Corporation 2.85% 01-APR-2030,NVDA,NVIDIA Corp
NVDA,NVIDIA Corporation 3.5% 01-APR-2040,NVDA,NVIDIA Corp
NVDA,NVIDIA Corporation 3.5% 01-APR-2050,NVDA,NVIDIA Corp
NVDA,NVIDIA Corporation 2.0% 15-JUN-2031,NVDA,NVIDIA Corp
NVDA,NVIDIA Corporation 3.2% 16-SEP-2026,NVDA,NVIDIA Corp
NVDA,NVIDIA Corporation 3.7% 01-APR-2060,NVDA,NVIDIA Corp
NVDA,NVIDIA Corporation 0.584% 14-JUN-2024,NVDA,NVIDIA Corp
NVDA,NVIDIA Corporation 1.55% 15-JUN-2028,NVDA,NVIDIA Corp
NVDA,NVIDIA Corporation 0.309% 15-JUN-2023,NVDA,NVIDIA Corp
QCOM,Qualcomm Inc,QCOM,Qualcomm Inc
QCOM,Qualcomm Inc,QCOM,Qualcomm Inc
NXPI,NXP Semiconductors NV,NXPI,NXP Semiconductors NV
NXPI,NXP Semiconductors NV,NXPI,NXP Semiconductors NV
NXPI,NXP Funding LLC 3.4% 01-MAY-2030,NXPI,NXP Semiconductors NV
NXPI,NXP BV 2.5% 11-MAY-2031,NXPI,NXP Semiconductors NV
NXPI,NXP BV 4.3% 18-JUN-2029,NXPI,NXP Semiconductors NV
NXPI,NXP Funding LLC 3.15% 01-MAY-2027,NXPI,NXP Semiconductors NV
NXPI,NXP Funding LLC 4.875% 01-MAR-2024,NXPI,NXP Semiconductors NV
NXPI,NXP BV 5.35% 01-MAR-2026,NXPI,NXP Semiconductors NV
NXPI,NXP BV 3.25% 11-MAY-2041,NXPI,NXP Semiconductors NV
NXPI,NXP BV 5.55% 01-DEC-2028,NXPI,NXP Semiconductors NV
NXPI,NXP BV 3.875% 18-JUN-2026,NXPI,NXP Semiconductors NV
NXPI,NXP BV 2.65% 15-FEB-2032,NXPI,NXP Semiconductors NV
NXPI,NXP BV 3.25% 30-NOV-2051,NXPI,NXP Semiconductors NV
NXPI,NXP BV 2.7% 01-MAY-2025,NXPI,NXP Semiconductors NV
NXPI,NXP BV 3.125% 15-FEB-2042,NXPI,NXP Semiconductors NV
NXPI,NXP Semiconductors NV 4.625% 01-JUN-2023,NXPI,NXP Semiconductors NV
AMD,"Advanced Micro Devices, Inc.",AMD,Advanced Micro Devices Inc
AMD,"Advanced Micro Devices, Inc.",AMD,Advanced Micro Devices Inc
AMD,"Advanced Micro Devices, Inc. 7.5% 15-AUG-2022",AMD,Advanced Micro Devices Inc
MRVL,"Marvell Technology, Inc.",MRVL,Marvell Technology Inc
MRVL,"Marvell Technology, Inc.",MRVL,Marvell Technology Inc
MRVL,"Marvell Technology, Inc. 2.95% 15-APR-2031",MRVL,Marvell Technology Inc
MRVL,"Marvell Technology, Inc. 2.45% 15-APR-2028",MRVL,Marvell Technology Inc
MRVL,"Marvell Technology, Inc. 1.65% 15-APR-2026",MRVL,Marvell Technology Inc
MRVL,"Marvell Technology, Inc. 4.875% 22-JUN-2028",MRVL,Marvell Technology Inc
MRVL,"Marvell Technology, Inc. 4.2% 22-JUN-2023",MRVL,Marvell Technology Inc
MRVL,Marvell Technology Group Ltd. 4.2% 22-JUN-2023,MRVL,Marvell Technology Inc
