"category","products","law","profit","due","bools","date","bools2_list","structure"
"원금비보장종목형","AMD--S&P500","85-85-85-80-80-70/50(종가)",8.16,"3년/6개월","비보장",2021-02-03,"미상환","월지급식 스텝다운"
"원금비보장종목형","삼성전자--NAVER--S&P500","92-90-87-82-80-77/52(종가),리자드배리어87%,82%",8.7,"3년/6개월","비보장",2021-02-03,"상환","멀티배리어리자드"
"원금비보장종목형","APPLE--S&P500","85-85-85-80-80-70/45(종가)",6,"3년/6개월","비보장",2021-02-03,"상환","스텝다운"
"원금비보장종목형","삼성전자--SK하이닉스--S&P500","92-90-87-85-82-77/52(종가),리자드배리어87%,82%",6.1,"3년/6개월","비보장",2021-02-03,"상환","멀티배리어리자드"
"원금비보장종목형","삼성전자--S&P500--EUROSTOXX50","88-88-82-82-80-77/48(종가)",5,"3년/6개월","비보장",2021-02-03,"상환","스텝다운"
"원금비보장지수형","HSCEI--S&P500--EUROSTOXX50","95-90-90-85-85-80/55(종가)",4.56,"3년/6개월","비보장",2021-02-03,"미상환","월지급식 스텝다운"
"원금비보장지수형","KOSPI200--S&P500--NIKKEI225","92-92-87-87-82-80/52(종가)",4.5,"3년/6개월","비보장",2021-02-03,"미상환","스텝다운"
"원금비보장지수형","KOSPI200--HSCEI--S&P500","92-90-87-82-80-77/48(종가)",4.3,"3년/6개월","비보장",2021-02-03,"미상환","스텝다운"
"원금비보장지수형","HSCEI--S&P500--EUROSTOXX50","88-88-85-85-82-80/45(종가)",4,"3년/6개월","비보장",2021-02-03,"미상환","스텝다운"
"원금비보장종목형","삼성전자--현대차","92-90-87-85-80-77/52(종가),리자드배리어87%,82%",8.8,"3년/6개월","비보장",2021-01-29,"미상환","멀티배리어리자드"
"원금비보장종목형","FACEBOOK--S&P500","85-85-85-80-80-70/45(종가)",7,"3년/6개월","비보장",2021-01-29,"미상환","스텝다운"
"원금비보장종목형","NVIDIA--S&P500","85-85-85-80-80-70/50(종가)",5.64,"3년/6개월","비보장",2021-01-29,"미상환","무조건 월지급식 스텝다운"
"원금비보장종목형","삼성전자--SK하이닉스--EUROSTOXX50","92-90-87-85-80-77/52(종가),리자드배리어87%,82%",6.2,"3년/6개월","비보장",2021-01-29,"미상환","멀티배리어리자드"
"원금비보장종목형","삼성전자--S&P500--EUROSTOXX50","92-92-87-85-80-77/55(종가)",5.5,"3년/6개월","비보장",2021-01-29,"미상환","스텝다운"
"원금비보장지수형","HSCEI--S&P500--EUROSTOXX50","95-90-90-85-85-80/55(종가)",4.5,"3년/6개월","비보장",2021-01-29,"미상환","월지급식 스텝다운"
"원금비보장지수형","HSCEI--S&P500--EUROSTOXX50","92-90-87-85-80-77/52(종가)",4.5,"3년/6개월","비보장",2021-01-29,"미상환","스텝다운"
"원금비보장지수형","KOSPI200--HSCEI--S&P500","92-90-87-85-80-65(NO K.I)",4,"3년/6개월","비보장",2021-01-29,"미상환","파워스텝다운"
"원금비보장지수형","HSCEI--S&P500--EUROSTOXX50","88-88-85-85-80-77/48(종가)",4,"3년/6개월","비보장",2021-01-29,"미상환","스텝다운"
"원금부분지급형","AMAZON","조기상환 100-100-100-100-100-100-100-100-100 만기시101이상:참여율100%",-10,"1년/최초3개월(포함)이후1개월","부분지급",2021-01-29,"미상환","만기상승참여형"
"원금부분지급형","NETFLIX","조기상환100-100-100-100-100-100-100-100-100 만기시101이상:참여율100%",-10,"1년/최초3개월(포함)이후1개월","부분지급",2021-01-27,"미상환","만기상승참여형"
"원금부분지급형","삼성전자","조기상환100-100-100-100-100-100-100-100-100 만기시101이상:참여율100%",-10,"1년/최초3개월(포함)이후1개월","부분지급",2021-01-27,"미상환","만기상승참여형"
"원금비보장종목형","NVIDIA--S&P500","85-85-85-80-80-70/45(종가)",8.2,"3년/6개월","비보장",2021-01-27,"미상환","스텝다운"
"원금비보장지수형","KOSPI200--HSCEI--S&P500","95-90-87-85-80-77/55(종가)",4.2,"3년/6개월","비보장",2021-01-27,"미상환","스텝다운"
"원금비보장종목형","삼성전자--KOSPI200--S&P500","95-92-90-87-85-77/55(종가)",5.22,"3년/6개월","비보장",2021-01-27,"미상환","월지급식 스텝다운"
"원금비보장종목형","삼성전자--SK하이닉스--S&P500","92-90-87-85-80-77/52(종가),리자드배리어87%,82%",6.3,"3년/6개월","비보장",2021-01-27,"미상환","멀티배리어리자드"
"원금비보장종목형","삼성전자--S&P500--EUROSTOXX50","92-92-87-85-80-77/55(종가)",5.5,"3년/6개월","비보장",2021-01-27,"미상환","스텝다운"
"원금비보장지수형","KOSPI200--HSCEI--S&P500","88-88-85-85-80-77/48(종가)",3.6,"3년/6개월","비보장",2021-01-27,"미상환","스텝다운"
