etf.com_names,Ticker_names,investing_names,details
10x Genomics Inc Class A,None,None,None
"17 Education & Technology Group, Inc. Unsponsored ADR",YQ,17 Education Technology Group Inc,Stock - NASDAQ equities
1847 Goedeker Inc,None,None,None
"1Life Healthcare, Inc.",None,None,None
1st Source Corporation,SRCE,1st Source Corporation,Stock - NASDAQ equities
"1stdibs.com, Inc.",DIBS,1Stdibs.Com Inc,Stock - NASDAQ equities
2020 Bulkers Ltd.,20202,2020 Bulkers Ltd,Stock - Oslo equities
"22nd Century Group, Inc.",XXII,22nd Century Group Inc,Stock - NASDAQ equities
23andMe Holding Co Class A,None,None,None
2G Energy AG,2GBG,2G energy AG,Stock - Xetra equities
"2U, Inc.",TWOU,2U Inc,Stock - NASDAQ equities
"2seventy Bio, Inc.",TSVT,2Seventy Bio Inc,Stock - NASDAQ equities
"360 DigiTech, Inc. ADR Class A",None,None,None
"360 Security Technology, Inc. Class A",None,None,None
3D Printing ETF,PRNT,The 3D Printing ETF,ETF - NYSE etf
3D Systems Corporation,DDD,3D Systems Corporation,Stock - NYSE equities
3M Company,MMM,3M Company,Stock - NYSE equities
"3SBio, Inc.",1530,3SBio Inc,Stock - Hong Kong equities
3i Group plc,III,3I Group PLC,Stock - London equities
3i Infrastructure PLC,3IN,3I Infrastructure PLC,Stock - London equities
3iQ CoinShares Bitcoin ETF Trust Units,None,None,None
"4D Molecular Therapeutics, Inc.",FDMT,4D Molecular Therapeutics Inc,Stock - NASDAQ equities
51job Inc Sponsored ADR,None,None,None
5N Plus Inc.,VNP,5N Plus Inc.,Stock - Toronto equities
"77 Bank, Ltd.",8341,The 77 Bank Ltd,Stock - Tokyo equities
7C Solarparken AG,HRPKk,7C Solarparken AG,Stock - Xetra equities
89bio Inc,ETNB,89bio Inc,Stock - NASDAQ equities
"8x8, Inc.",EGHT,8x8 Inc,Stock - NYSE equities
"9 Meters Biopharma, Inc.",NMTR,9 Meters Biopharma Inc,Stock - NASDAQ equities
908 Devices Inc.,MASS,908 Devices Inc,Stock - NASDAQ equities
A&D Co Ltd,A,Agilent Technologies Inc,Stock - NYSE equities
A. O. Smith Corporation,None,None,None
A.G. BARR p.l.c.,None,None,None
"A10 Networks, Inc.",None,None,None
A2A S.p.A.,None,None,None
AAC Technologies Holdings Inc.,AACAY,AAC Technologies Holdings Inc,Stock - OTC Markets equities
AAK AB,AAK,AAK AB,Stock - Stockholm equities
"AAON, Inc.",AAON,AAON Inc,Stock - NASDAQ equities
AAPICO Hitech Public Co. Ltd. NVDR,None,None,None
AAR CORP.,AIR,AAR Corp,Stock - NYSE equities
AARTI Industries Ltd,ARTI,Aarti Industries Ltd,Stock - NSE equities
AB Sagax Class B,None,None,None
ABB India Limited,None,None,None
ABB Ltd.,ABB,ABB Ltd,Stock - NYSE equities
ABB Ltd. Sponsored ADR,None,None,None
ABG Sundal Collier Holding ASA,0IZM,ABG Sundal Collier Holding ASA,Stock - London equities
"ABIOMED, Inc.",ABMD,ABIOMED Inc,Stock - NASDAQ equities
ABM Industries Incorporated,ABM,ABM Industries Incorporated,Stock - NYSE equities
ABN AMRO Bank NV Depositary receipts,None,None,None
AC Immune SA,None,None,None
ACADIA Pharmaceuticals Inc.,ACAD,ACADIA Pharmaceuticals Inc,Stock - NASDAQ equities
ACC Limited,LP65021926,Melville Douglas Income Fund Limited - Sterling Bond Class Acc A,Fund - London fund
ACCO Brands Corporation,ACCO,Acco Brands Corporation,Stock - NYSE equities
ACHILLION PHARMACEUTICAL INC COM,None,None,None
"ACI Worldwide, Inc.",ACIW,ACI Worldwide Inc,Stock - NASDAQ equities
"ACM Research, Inc. Class A",None,None,None
ACNB Corporation,ACNB,ACNB Corporation,Stock - NASDAQ equities
ACRES Commercial Realty Corp Cum Conv Red Perp Pfd Registered Shs Series D,None,None,None
ACSL Ltd.,6232,ACSL Ltd,Stock - Tokyo equities
"ACV Auctions, Inc. Class A",None,None,None
ADBRI Limited,None,None,None
ADC Therapeutics Ltd,None,None,None
"ADMA Biologics, Inc.",ADMA,ADMA Biologics Inc,Stock - NASDAQ equities
"ADT, Inc.",ADTN,ADTRAN Inc,Stock - NASDAQ equities
"ADTRAN, Inc.",ADTN,ADTRAN Inc,Stock - NASDAQ equities
ADVA Optical Networking SE TEMP,None,None,None
AECI Ltd,AFEJ,AECI Ltd,Stock - Johannesburg equities
AECOM,ACM,Aecom Technology Corporation,Stock - NYSE equities
AEON Co. (Malaysia) Bhd.,AEOM,AEON Co (Malaysia) Bhd,Stock - Kuala Lumpur equities
"AEON Co., Ltd.",8267,"Aeon Co., Ltd.",Stock - Tokyo equities
"AEON Financial Service Co., Ltd.",8570,Aeon Financial Service Co Ltd,Stock - Tokyo equities
"AEON Mall Co., Ltd.",8905,Aeon Mall Co Ltd,Stock - Tokyo equities
AEON REIT Investment Corp.,None,None,None
AEON Thana Sinsap (Thailand) Public Co. Ltd. NVDR,None,None,None
AES Corporation,AES,The AES Corporation,Stock - NYSE equities
AFC Energy plc,AFEN,AFC Energy Plc,Stock - London equities
"AFC Gamma, Inc.",AFCG,AFC Gamma Inc,Stock - NASDAQ equities
AFI Properties Ltd,AFPR,Afi Properties Ltd,Stock - Tel Aviv equities
AFRY AB Class B,None,None,None
"AG Mortgage Investment Trust, Inc.",MITT,AG Mortgage Investment Trust Inc,Stock - NYSE equities
AGC Inc.,5201,AGC Inc,Stock - Tokyo equities
AGCO Corporation,AGCO,AGCO Corporation,Stock - NYSE equities
AGENCY BOND,AGZ,iShares Agency Bond ETF,ETF - NYSE etf
AGL Energy Limited,None,None,None
AGNC Investment Corp Depositary Shs Repr 1/1000th Cum Conv Red Perp Pfd Registered Shs Ser F,None,None,None
AGNC Investment Corp Depositary Shs Repr 1/1000th Cum Conv Red Pfd Registered Shs Series E,None,None,None
AGNC Investment Corp.,AGNC,AGNC Investment Corp,Stock - NASDAQ equities
AGNC Investment Corp. Cum Conv Red Pfd Registered Shs Series D,None,None,None
AGNC Investment Corp. Deposit Shs Repr 1/1000th Cum Conv Red Pfd Registered Shs Series C,None,None,None
"AI inside, Inc.",4488,Ai Inside Inc,Stock - Tokyo equities
AIA Engineering Limited,None,None,None
AIA Group Limited,None,None,None
AIB Group PLC,AIBRF,AIB Group PLC,Stock - OTC Markets equities
AIMS APAC REIT,None,None,None
AIkido Pharma Incorporated,None,None,None
AK Medical Holdings Ltd.,1789,AK Medical Holdings Ltd,Stock - Hong Kong equities
AKEBONO BRAKE INDUSTRY CO LTD,7238,Akebono Brake Industry Co Ltd,Stock - Tokyo equities
"AKM Industrial Co., Ltd.",1639,AKM Industrial Co Ltd,Stock - Hong Kong equities
AKWEL SA,None,None,None
AL Maather REIT Fund,None,None,None
ALCONIX Corporation,None,None,None
ALD SA,ALDA,ALD SA,Stock - Paris equities
ALDER BIOPHARMACEUT RT 09/30/20,None,None,None
"ALLETE, Inc.",ALE,Allete Inc,Stock - NYSE equities
ALROSA PJSC,None,None,None
ALSO Holding AG,ALSN,Also Holding AG,Stock - Switzerland equities
ALTEOGEN Inc.,196170,Alteogen Inc,Stock - KOSDAQ equities
ALTRI SGPS SA,0DJV,Altri SGPS SA,Stock - London equities
"ALX Oncology Holdings, Inc.",None,None,None
"AMADA Co., Ltd.",6113,"Amada Co., Ltd.",Stock - Tokyo equities
"AMC Entertainment Holdings, Inc. Class A",None,None,None
AMC Networks Inc. Class A,None,None,None
AMCON Distributing Company,DIT,AMCON Distributing Company,Stock - NYSE equities
AMERCO,UHAL,Amerco,Stock - NASDAQ equities
"AMERISAFE, Inc.",AMSF,AMERISAFE Inc,Stock - NASDAQ equities
"AMETEK, Inc.",AME,Ametek Inc,Stock - NYSE equities
AMG Advanced Metallurgical Group N.V.,None,None,None
AMMB Holdings Bhd.,AMMB,AMMB Holdings Bhd,Stock - Kuala Lumpur equities
AMMO Inc,POWW,Ammo Inc,Stock - NASDAQ equities
"AMN Healthcare Services, Inc.",AMN,AMN Healthcare Services Inc,Stock - NYSE equities
AMREP Corporation,AXR,AMREP Corporation,Stock - NYSE equities
ANA Holdings Inc.,CWAN,Clearwater Analytics Holdings Inc,Stock - NYSE equities
ANDRITZ AG,ADRZY,Andritz AG ADR,Stock - OTC Markets equities
"ANI Pharmaceuticals, Inc.",ANIP,ANI Pharmaceuticals Inc,Stock - NASDAQ equities
"ANSYS, Inc.",ANSS,ANSYS Inc,Stock - NASDAQ equities
ANTA Sports Products Ltd.,ANPDY,ANTA Sports Products Ltd ADR,Stock - OTC Markets equities
AO World Plc,None,None,None
"AOKI Holdings, Inc.",8214,Aoki Holdings Inc,Stock - Tokyo equities
AP (Thailand) Public Co. Ltd. NVDR,None,None,None
APA Corp.,APA,APA Corporation,Stock - NASDAQ equities
APA Group,APA,APA Group,Stock - Sydney equities
APAR Industries Limited,None,None,None
APL Apollo Tubes Limited,None,None,None
APi Group Corporation,None,None,None
ARA LOGOS Logistics Trust,ARAL,ARA LOGOS Logistics Trust,Stock - Singapore equities
"ARC Document Solutions, Inc.",ARC,ARC Document Solutions Inc,Stock - NYSE equities
ARC Resources Ltd.,ARX,ARC Resources Ltd.,Stock - Toronto equities
"ARCA biopharma, Inc.",ABIO,ARCA Biopharma Inc,Stock - NASDAQ equities
