Symbol,Name,marketCap
NVDA,NVIDIA Corp,604733636608.0
QCOM,Qualcomm Inc,184945606656.0
NXPI,NXP Semiconductors NV,49431625728.0
AMD,Advanced Micro Devices Inc,137993584640.0
MRVL,Marvell Technology Inc,57167450112.0
AAPL,Apple Inc,2770712920064.0
SWKS,Skyworks Solutions Inc,22282590208.0
DLR,Digital Realty Trust Inc,39518990336.0
CCI,Crown Castle International Corp,72428584960.0
HPE,Hewlett Packard Enterprise Co,21820334080.0
LITE,Lumentum Holdings Inc,6749927936.0
SBAC,SBA Communications Corp Class A,33651402752.0
ROG,Rogers Corp,5107885568.0
CIEN,Ciena Corp,9884633088.0
JNPR,Juniper Networks Inc,10880379904.0
KEYS,Keysight Technologies Inc,30325864448.0
NOK,Nokia Oyj ADR Series A,31615956992.0
FB,Meta Platforms Inc Class A,605589143552.0
INTC,Intel Corp,193507868672.0
TMUS,T-Mobile US Inc,156768272384.0
ANET,Arista Networks Inc,37742587904.0
BCE,BCE Inc,47495995392.0
SQ,Block Inc Class A,64155488256.0
AMT,American Tower Corp,106698948608.0
AVGO,Broadcom Inc,238880636928.0
DOX,Amdocs Ltd,9933619200.0
VZ,Verizon Communications Inc,223614681088.0
RDWR,Radware Ltd,1455398784.0
VIAV,Viavi Solutions Inc,3966979584.0
RBBN,Ribbon Communications Inc,648004992.0
VOD,Vodafone Group PLC ADR,49981075456.0
STM,STMicroelectronics NV ADR,40829497344.0
TSLA,Tesla Inc,879490695168.0
SE,Sea Ltd ADR Class A,72043012096.0
NATI,National Instruments Corp,5270004736.0
NPTN,NeoPhotonics Corp,820486144.0
WIT,Wipro Ltd ADR,39969554432.0
ORAN,Orange SA ADR,33128480768.0
PYPL,PayPal Holdings Inc,134083018752.0
SILC,Silicom Ltd,290817664.0
VIV,Telefonica Brasil SA ADR,16014777344.0
UI,Ubiquiti Inc,14538827776.0
TETCU,Tech Energy Transition Units,
TEO,Telecom Argentina SA ADR Class B,2317370368.0
ERIC,Telefonaktiebolaget LM Ericsson ADR Class B,41039298560.0
TSM,Taiwan Semiconductor Manufacturing Co Ltd ADR,621127204864.0
UBER,Uber Technologies Inc,67108753408.0
TTM,Tata Motors Ltd ADR,23824723968.0
SWIR,Sierra Wireless Inc,548249536.0
U,Unity Software Inc,31479971840.0
UNIT,Uniti Group Inc,2655798784.0
UMC,United Microelectronics Corp ADR,24184315904.0
LOV,Spark Networks SE ADR,61973364.0
SPLK,Splunk Inc,19843612672.0
SPOT,Spotify Technology SA,31168976896.0
ATEN,A10 Networks Inc,1026760704.0
CRNT,Ceragon Networks Ltd,163621984.0
CHTR,Charter Communications Inc Class A,108998172672.0
CHT,Chunghwa Telecom Co Ltd ADR,33636304896.0
NET,Cloudflare Inc Class A,34160482304.0
COMM,CommScope Holding Company Inc,1775051392.0
CMTL,Comtech Telecommunications Corp,546969984.0
GLW,Corning Inc,34270701568.0
COUP,Coupa Software Inc,9756260352.0
CRWD,CrowdStrike Holdings Inc Class A,41418625024.0
DZSI,DZS Inc,427918400.0
DAN,Dana Inc,3041895168.0
DDOG,Datadog Inc Class A,51279831040.0
DE,Deere & Co,119352369152.0
DELL,Dell Technologies Inc Class C,44763660288.0
CASA,Casa Systems Inc,357786624.0
CMBM,Cambium Networks Corp,623782848.0
ALLT,Allot Ltd,355319648.0
ASX,ASE Technology Holding Co Ltd ADR,15638609920.0
AKAM,Akamai Technologies Inc,17978413056.0
AKTS,Akoustis Technologies Inc,278961216.0
GOOG,Alphabet Inc Class C,1796034396160.0
CTS,CTS Corp,1086291200.0
ATUS,Altice USA Inc Class A,6337862656.0
BBY,Best Buy Co Inc,24210057216.0
DLA,Delta Apparel Inc,212482368.0
DB,Deutsche Bank AG,34448519168.0
LGIH,LGI Homes Inc,2947980032.0
LSCC,Lattice Semiconductor Corp,7608386560.0
LLNW,Limelight Networks Inc,536586144.0
LUMN,Lumen Technologies Inc,10146749440.0
MTSI,MACOM Technology Solutions Holdings Inc,4037472768.0
IBM,International Business Machines Corp,116656046080.0
MCG,Membership Collective Group Inc Class A,1903781888.0
MCHP,Microchip Technology Inc,39501266944.0
MU,Micron Technology Inc,100658479104.0
EMKR,EMCORE Corp,146110896.0
GL,Globe Life Inc,10504845312.0
ESTC,Elastic NV,8358404608.0
FSLR,First Solar Inc,7254691328.0
INSG,Inseego Corp,480425824.0
IHS,IHS Holding Ltd,4002258944.0
IIVI,II-VI Inc,7180370944.0
IPGP,IPG Photonics Corp,7819348992.0
INFN,Infinera Corp,1690519808.0
INFY,Infosys Ltd ADR,95163817984.0
AIR,AAR Corp,1485792256.0
HEI,HEICO Corp,17627973632.0
NOC,Northrop Grumman Corp,60973441024.0
MRCY,Mercury Systems Inc,2982973184.0
MAXR,Maxar Technologies Inc,1948078848.0
RTX,Raytheon Technologies Corp,140053708800.0
LMT,Lockheed Martin Corp,105382379520.0
KTOS,Kratos Defense and Security Solutions Inc,2105282176.0
KAMN,Kaman Corp,1155783296.0
SPR,Spirit AeroSystems Holdings Inc Class A,5175665664.0
HII,Huntington Ingalls Industries Inc,7248406016.0
HXL,Hexcel Corp,4534492160.0
PSN,Parsons Corp,3255894784.0
GD,General Dynamics Corp,58641481728.0
BA,Boeing Co,122453319680.0
TXT,Textron Inc,15112337408.0
AJRD,Aerojet Rocketdyne Holdings Inc,2969667072.0
CW,Curtiss-Wright Corp,5307169280.0
TDG,TransDigm Group Inc,34982162432.0
TGI,Triumph Group Inc,1462153728.0
AXON,Axon Enterprise Inc,9620381696.0
BWXT,BWX Technologies Inc,4064264448.0
NPK,National Presto Industries Inc,578895104.0
SPCE,Virgin Galactic Holdings Inc Class A,2100209664.0
ASTR,Astra Space Inc Class A,826608064.0
VEC,Vectrus Inc,517091936.0
DCO,Ducommun Inc,536663200.0
TLS,Telos Corp,703599808.0
RADA,Rada Electronic Industries Ltd,521789088.0
ROLLP,RBC BEARINGS Pref Shs,
SAIC,Science Applications International Corp,4603712000.0
SWBI,Smith & Wesson Brands Inc,857713856.0
PLTR,Palantir Technologies Inc Class A,26583912448.0
TDY,Teledyne Technologies Inc,19452420096.0
LDOS,Leidos Holdings Inc,12260016128.0
OSK,Oshkosh Corp,7674621952.0
ATI,Allegheny Technologies Inc,3039954688.0
BLL,Ball Corp,29888940032.0
BAH,Booz Allen Hamilton Holding Corp Class A,9905067008.0
CACI,CACI International Inc Class A,5827342848.0
CAE,CAE Inc,7918260224.0
ESLT,Elbit Systems Ltd,7642752000.0
HON,Honeywell International Inc,128521691136.0
OSIS,OSI Systems Inc,1440212352.0
IRDM,Iridium Communications Inc,4567579136.0
MANT,ManTech International Corp Class A,3209426176.0
INGR,Ingredion Inc,5765336064.0
BYND,Beyond Meat Inc,3681419520.0
CTVA,Corteva Inc,37005369344.0
AGCO,AGCO Corp,9634903040.0
HYFM,Hydrofarm Holdings Group Inc,861448448.0
LNN,Lindsay Corp,1404416256.0
OTLY,Oatly Group AB ADR,4355479040.0
ADM,Archer-Daniels-Midland Co,42593099776.0
FMC,FMC Corp,14671428608.0
NTR,Nutrien Ltd,41924624384.0
BG,Bunge Ltd,14168632320.0
CF,CF Industries Holdings Inc,15326384128.0
GRWG,GrowGeneration Corp,528701856.0
MOS,Mosaic Co,16527692800.0
TTC,Toro Co,10295769088.0
CNHI,CNH Industrial NV,21113849856.0
DNA,Ginkgo Bioworks Holdings Inc Class A,7686394368.0
SMG,Scotts Miracle-Gro Co,7749541888.0
TRMB,Trimble Inc,16528876544.0
TSN,Tyson Foods Inc Class A,34390769664.0
TTCF,Tattooed Chef Inc Class A,987068096.0
SAFM,Sanderson Farms Inc,4060181504.0
DAR,Darling Ingredients Inc,10470595584.0
SQM,Sociedad Quimica y Minera de Chile SA ADR Series B,18377949184.0
GSS,Golden Star Resources Ltd,451327520.0
PDI,PIMCO Dynamic Income Fund,1694352000.0
K,Kellogg Co,22144499712.0
BCPC,Balchem Corp,4459917824.0
LOCL,Local Bounti Corp,493892800.0
MDLZ,Mondelez International Inc Class A,92263317504.0
AAME,Atlantic American Corp,55429792.0
PTON,Peloton Interactive Inc Class A,10840401920.0
PAYC,Paycom Software Inc,20055908352.0
PH,Parker-Hannifin Corp,38689865728.0
MOH,Molina Healthcare Inc,17835581440.0
PSA,Public Storage,62363258880.0
O,Realty Income Corp,37844021248.0
MTD,Mettler-Toledo International Inc,32550508544.0
PRU,Prudential Financial Inc,43772399616.0
PLNT,Planet Fitness Inc Class A,8014646272.0
MAA,Mid-America Apartment Communities Inc,24648048640.0
AVO,Mission Produce Inc,915384320.0
POOL,Pool Corp,18077282304.0
PLUG,Plug Power Inc,12374362112.0
PLMR,Palomar Holdings Inc,1329982720.0
MPWR,Monolithic Power Systems Inc,19973019648.0
PKG,Packaging Corp of America,13965547520.0
NEO,Neogenomics Inc,2655741440.0
OLPX,Olaplex Holdings Inc,12884724736.0
FIZZ,National Beverage Corp,4241494016.0
EYE,National Vision Holdings Inc,3179849472.0
NOAC,Natural Order Acquisition Corp,281606240.0
ON,ON Semiconductor Corp,25272721408.0
NFG,National Fuel Gas Co,5557124096.0
ORLY,O'Reilly Automotive Inc,44539817984.0
NSC,Norfolk Southern Corp,65284079616.0
ODFL,Old Dominion Freight Line Inc,33807484928.0
MCO,Moody's Corp,60036030464.0
PTCT,PTC Therapeutics Inc,2907804928.0
PNC,PNC Financial Services Group Inc,85919399936.0
OMC,Omnicom Group Inc,17709981696.0
OMI,Owens & Minor Inc,3112551680.0
OTIS,Otis Worldwide Corp,33890717696.0
ONL,Orion Office Reit Inc,942816192.0
OBNK,Origin Bancorp Inc,1015266432.0
RF,Regions Financial Corp,23097839616.0
SEM,Select Medical Holdings Corp,3094725120.0
RBLX,Roblox Corp Class A,39546073088.0
UPS,United Parcel Service Inc Class B,185987710976.0
VEEV,Veeva Systems Inc Class A,35047428096.0
VMI,Valmont Industries Inc,4586549760.0
UPST,Upstart Holdings Inc,8572743680.0
UNH,UnitedHealth Group Inc,446814126080.0
URI,United Rentals Inc,22686160896.0
UNP,Union Pacific Corp,154479853568.0
TRV,Travelers Companies Inc,41189724160.0
PATH,UiPath Inc Class A,19559491584.0
TYL,Tyler Technologies Inc,19147405312.0
TKC,Turkcell Iletisim Hizmetleri AS ADR,2942825472.0
TFC,Truist Financial Corp,83652665344.0
TREX,Trex Company Inc,10031295488.0
VRSK,Verisk Analytics Inc,30912288768.0
VGFC,Very Good Food Company Inc,70638200.0
VFF,Village Farms International Inc,467900704.0
EBAY,eBay Inc,36420911104.0
ZI,ZoomInfo Technologies Inc Class A,22318059520.0
ZM,Zoom Video Communications Inc Class A,42342109184.0
ZG,Zillow Group Inc Class A,14869019648.0
ZVIA,Zevia PBC Class A,563346880.0
ZBRA,Zebra Technologies Corp Class A,22788526080.0
WLFC,Willis Lease Finance Corp,211885296.0
WAB,Westinghouse Air Brake Technologies Corp,16343101440.0
WDC,Western Digital Corp,16472392704.0
WSBF,Waterstone Financial Inc,497275712.0
VITL,Vital Farms Inc,652138176.0
COCO,Vita Coco Company Inc,669508480.0
TRU,TransUnion,19271129088.0
RMTI,Rockwell Medical Inc,31957972.0
STX,Seagate Technology Holdings PLC,23628357632.0
SITE,SiteOne Landscape Supply Inc,7914688000.0
SSD,Simpson Manufacturing Co Inc,5098517504.0
SPG,Simon Property Group Inc,52587151360.0
SXT,Sensient Technologies Corp,3371349760.0
TT,Trane Technologies PLC,35369328640.0
SIVBP,SVB Finl Group DS Repstg 1 40th Perp Pfd Ser A,
SSNC,SS&C Technologies Holdings Inc,19105771520.0
ROSS,Ross Acquisition II Corp Class A,418312480.0
SFM,Sprouts Farmers Market Inc,3294801664.0
TTD,Trade Desk Inc Class A,39394312192.0
TSCO,Tractor Supply Co,24803702784.0
TITN,Titan Machinery Inc,680212032.0
TWI,Titan International Inc,688669696.0
TXN,Texas Instruments Inc,150045278208.0
TDOC,Teladoc Health Inc,11340563456.0
TTWO,Take-Two Interactive Software Inc,19263172608.0
TWN,Taiwan Closed Fund,262007968.0
RUN,Sunrun Inc,4678312960.0
SUI,Sun Communities Inc,22421624832.0
SWK,Stanley Black & Decker Inc,26791211008.0
LSF,Laird Superfood Inc,56769708.0
CERN,Cerner Corp,26784061440.0
CDAY,Ceridian HCM Holding Inc,10632050688.0
CNC,Centene Corp,47769100288.0
CELH,Celsius Holdings Inc,4307105280.0
CBOE,Cboe Global Markets Inc,12834485248.0
CVNA,Carvana Co Class A,24975888384.0
CARR,Carrier Global Corp,38318473216.0
COF,Capital One Financial Corp,64212447232.0
CAC,Camden National Corp,714548288.0
CALM,Cal-Maine Foods Inc,2076893952.0
CDZI,Cadiz Inc,96043640.0
CDNS,Cadence Design Systems Inc,39376191488.0
CSX,CSX Corp,75233878016.0
CME,CME Group Inc Class A,85957459968.0
CDW,CDW Corp,23900823552.0
IGR,CBRE Global Real Estate Income Fund,972360640.0
BRCN,Burcon NutraScience Corp,125582552.0
CB,Chubb Ltd,84116897792.0
BR,Broadridge Financial Solutions Inc,16913400832.0
CI,Cigna Corp,72740806656.0
CMI,Cummins Inc,31254183936.0
CCK,Crown Holdings Inc,14928984064.0
CAG,Conagra Brands Inc,16933338112.0
CMP,Compass Minerals International Inc,1811869696.0
CMCSA,Comcast Corp Class A,216566824960.0
COIN,Coinbase Global Inc Class A,51135975424.0
CTSH,Cognizant Technology Solutions Corp Class A,45822672896.0
CGNX,Cognex Corp,11182537728.0
CSGP,CoStar Group Inc,26061826048.0
CFG,Citizens Financial Group Inc,22651871232.0
CINF,Cincinnati Financial Corp,19253127168.0
BLDR,Builders FirstSource Inc,13171437568.0
AWK,American Water Works Company Inc,26873069568.0
AVD,American Vanguard Corp,460909152.0
AIG,American International Group Inc,48979279872.0
AXP,American Express Co,146378358784.0
ALLY,Ally Financial Inc,16336067584.0
ALL,Allstate Corp,35018256384.0
ALG,Alamo Group Inc,1642728192.0
AGFY,Agrify Corp,147195328.0
AGTI,Agiliti Inc,2296879616.0
AFL,Aflac Inc,41879916544.0
AFRM,Affirm Holdings Inc Class A,12279962624.0
AMG,Affiliated Managers Group Inc,5729394176.0
AAP,Advance Auto Parts Inc,13985024000.0
ADBE,Adobe Inc,225533968384.0
ATVI,Activision Blizzard Inc,63479455744.0
ACN,Accenture PLC Class A,206114504704.0
AMP,Ameriprise Financial Inc,33375356928.0
BXP,Boston Properties Inc,18307936256.0
AON,Aon PLC Class A,60118224896.0
BKNG,Booking Holdings Inc,104524283904.0
BLK,BlackRock Inc,115326861312.0
BILL,Bill.com Holdings Inc,24860160000.0
BERY,Berry Global Group Inc,8442455552.0
BHIL,Benson Hill Inc,462953408.0
BK,Bank of New York Mellon Corp,49430794240.0
ADP,Automatic Data Processing Inc,85111136256.0
AJG,Arthur J Gallagher & Co,31966423040.0
ACGL,Arch Capital Group Ltd,17924339712.0
AMAT,Applied Materials Inc,117159329792.0
DFS,Discover Financial Services,35758080000.0
MA,Mastercard Inc Class A,368725688320.0
JCI,Johnson Controls International PLC,46708002816.0
INVH,Invitation Homes Inc,24706238464.0
ISRG,Intuitive Surgical Inc,100433616896.0
IFF,International Flavors & Fragrances Inc,33500932096.0
ICE,Intercontinental Exchange Inc,70141607936.0
IBKR,Interactive Brokers Group Inc Class A,30092959744.0
IQV,IQVIA Holdings Inc,45830496256.0
IDXX,IDEXX Laboratories Inc,42865709056.0
HBAN,Huntington Bancshares Inc,23150278656.0
HUM,Humana Inc,53139853312.0
JBT,John Bean Technologies Corp,4205778688.0
KKR,KKR & Co Inc,36079370240.0
KLAC,KLA Corp,55366291456.0
MMC,Marsh & McLennan Companies Inc,76461842432.0
MKL,Markel Corp,16842336256.0
MSCI,MSCI Inc,43428577280.0
MGPI,MGP Ingredients Inc,1731445760.0
MTB,M&T Bank Corp,23216060416.0
LYV,Live Nation Entertainment Inc,25896556544.0
LAD,Lithia Motors Inc Class A,9411490816.0
LMNR,Limoneira Co,250071568.0
LBRDK,Liberty Broadband Corp Series C,26825846784.0
LW,Lamb Weston Holdings Inc,9549925376.0
LRCX,Lam Research Corp,78601043968.0
HIG,Hartford Financial Services Group Inc,23329134592.0
FIS,Fidelity National Information Services Inc,67896479744.0
FAST,Fastenal Co,29862461440.0
EXPD,Expeditors International of Washington Inc,18127923200.0
EXPE,Expedia Group Inc,29876774912.0
EQR,Equity Residential,33427949568.0
EFX,Equifax Inc,26981656576.0
ENPH,Enphase Energy Inc,19417882624.0
ENR,Energizer Holdings Inc,2240526336.0
EA,Electronic Arts Inc,37726584832.0
ELAT,Elanco Animal Health Units,
ECL,Ecolab Inc,52415971328.0
ETN,Eaton Corporation PLC,60654960640.0
DRE,Duke Realty Corp,20980201472.0
DKNG,DraftKings Inc Class A,9024900096.0
DOV,Dover Corp,23215904768.0
FDX,FedEx Corp,60534816768.0
FITB,Fifth Third Bancorp,32917262336.0
FRC,First Republic Bank,30795956224.0
HAIN,Hain Celestial Group Inc,3433829376.0
HCA,HCA Healthcare Inc,73221038080.0
GPN,Global Payments Inc,41846865920.0
GPC,Genuine Parts Co,18096138240.0
GME,GameStop Corp Class A,8939915264.0
FDP,Fresh Del Monte Produce Inc,1317483008.0
FBHS,Fortune Brands Home & Security Inc,12112902144.0
FSR,Fisker Inc Class A,3456787968.0
HA,Hawaiian Holdings Inc,975091776.0
IP,International Paper Co,17903169536.0
JBLU,JetBlue Airways Corp,4805448192.0
RYAAY,Ryanair Holdings PLC ADR,27842041856.0
SABR,Sabre Corp,2910932992.0
LUV,Southwest Airlines Co,26880481280.0
SAVE,Spirit Airlines Inc,2816361728.0
SNCY,Sun Country Airlines Holdings Inc,1667848192.0
UAL,United Airlines Holdings Inc,15196263424.0
PAC,Grupo Aeroportuario del Pacifico SAB de CV ADR Series B,7589429760.0
AZUL,Azul SA ADR,1789552896.0
AIRT,Air T Inc,68732120.0
ALK,Alaska Air Group Inc,7143980032.0
ALGT,Allegiant Travel Co,3117053440.0
AAL,American Airlines Group Inc,11286168576.0
VLRS,Controladora Vuela Compania de Aviacion SAB de CV ADR,2178914816.0
CPA,Copa Holdings SA Class A,3773183232.0
DAL,Delta Air Lines Inc,26861389824.0
ERJ,Embraer SA ADR,2666415104.0
HTGC,Hercules Capital Inc,2042140416.0
PSEC,Prospect Capital Corp,3224191744.0
FSK,FS KKR Capital Corp,6220808192.0
TSLX,Sixth Street Specialty Lending Inc,1714281728.0
NMFC,New Mountain Finance Corp,1321811456.0
ARCC,Ares Capital Corp,9938463744.0
GBDC,Golub Capital Bdc Inc,2698360064.0
GSBD,Goldman Sachs BDC Inc,2037398272.0
OCSL,Oaktree Specialty Lending Corp,1341885824.0
MAIN,Main Street Capital Corp,2942673664.0
