테마,해당 주식,종목코드
빅테크-A(미국),애플,AAPL
빅테크-A(미국),알파벳,GOOG
빅테크-A(미국),메타,FB
빅테크-A(미국),마이크로소프트,MSFT
빅테크-A(미국),아마존,AMZN
빅테크-A(미국),엔비디아,NVDA
빅테크-A(미국),어도비,ADBE
빅테크-A(미국),세일즈포스,CRM
빅테크-A(미국),퀄컴,QCOM
빅테크-A(미국),브로드컴,AVGO
빅테크-A(미국),인텔,INTC
빅테크-A(미국),시스코,CSCO
빅테크-A(미국),넷플릭스,NFLX
빅테크-A(미국),TSMC,TSM
빅테크-A(미국),테슬라,TSLA
빅테크-C(중국),알리바바,BABA
빅테크-C(중국),텐센트,00700
빅테크-C(중국),징둥닷컴,JD
빅테크-C(중국),메이투안,03690
빅테크-C(중국),디디추싱,DIDI
빅테크-C(중국),콰이쇼우,01024
빅테크-C(중국),바이두,BIDU
"전기차_2차전지(미국, 중국)",테슬라,TSLA
"전기차_2차전지(미국, 중국)",리비안,LIVN
"전기차_2차전지(미국, 중국)",루시드,LCID
"전기차_2차전지(미국, 중국)",포드,F
"전기차_2차전지(미국, 중국)",비야디,002594
"전기차_2차전지(미국, 중국)",닝더스다이(CATL),300750
"전기차_2차전지(미국, 중국)",파나소닉,6752
"전기차_2차전지(미국, 중국)",GM,GM
"전기차_2차전지(미국, 중국)",피스커,FSR
"전기차_2차전지(미국, 중국)",그린파워모터,GP
"전기차_2차전지(미국, 중국)",앨버말,ALB
"전기차_2차전지(미국, 중국)",강봉리튬,002460
"전기차_2차전지(미국, 중국)",흔왕달전자,300207
"전기차_2차전지(미국, 중국)",창신신소재,002812
"전기차_2차전지(미국, 중국)",베이팡화창,002371
"전기차_2차전지(미국, 중국)",뉴포트리스에너지,NFE
"전기차_2차전지(미국, 중국)",NXP반도체,NXPI
"전기차_2차전지(미국, 중국)",이브에너지,300014
"NFT_코인(미국, 중국)",펀코,FNKO
"NFT_코인(미국, 중국)",돌핀엔터,DLPN
"NFT_코인(미국, 중국)",ZK인터내셔널,ZKIN
"NFT_코인(미국, 중국)",클라우드플레어,NET
"NFT_코인(미국, 중국)",마텔,MAT
"NFT_코인(미국, 중국)",드래프트킹스,DKNG
"NFT_코인(미국, 중국)",트위터,TWTR
"NFT_코인(미국, 중국)",이베이,EBAY
"NFT_코인(미국, 중국)",메타,FB
"NFT_코인(미국, 중국)",플레이보이그룹,PLBY
"NFT_코인(미국, 중국)",해즈브로,HAS
"NFT_코인(미국, 중국)",스핀마스터,SNMSF
"NFT_코인(미국, 중국)",어도비,ADBE
"NFT_코인(미국, 중국)",타쿵아트,TKAT
"NFT_코인(미국, 중국)",스퀘어,SQ
"NFT_코인(미국, 중국)",페이팔,PYPL
"NFT_코인(미국, 중국)",코인베이스,COIN
"NFT_코인(미국, 중국)",마이크로스트레티지,MSTR
"NFT_코인(미국, 중국)",마라톤디지털홀딩스,MARA
"NFT_코인(미국, 중국)",라이엇블록체인,RIOT
메타버스,메타,FB
메타버스,퀄컴,QCOM
메타버스,알파벳,GOOG
메타버스,마이크로소프트,MSFT
메타버스,인텔,INTC
메타버스,AMD,AMD
메타버스,유니티소프트웨어,U
메타버스,TSMC,TSM
메타버스,로블럭스,RBLX
메타버스,스노우플레이크,SNOW
메타버스,엔비디아,NVDA
메타버스,엑센추어,CAN
우주/항공,록히드마틴,LMT
우주/항공,보잉,BA
우주/항공,제너럴다이내믹스,GD
우주/항공,레이시온테크놀로지스,RTX
우주/항공,아메리칸항공,AAL
우주/항공,유나이티드항공,UAL
우주/항공,버진캘럭틱,SPCE
우주/항공,아마존,AMZN
우주/항공,테슬라,TSLA
백신/치료,화이자,PFE
백신/치료,머크,MRK
뷰티/운동,에스티로더,EL
뷰티/운동,P&G,PG
뷰티/운동,존슨앤드존슨,JNJ
뷰티/운동,코티,COTI
뷰티/운동,L브랜즈,BBWI
뷰티/운동,엘프뷰티,ELF
뷰티/운동,나이키,NKE
뷰티/운동,언더아머,UA
뷰티/운동,룰루레몬,LULU
뷰티/운동,펠로톤,PTON
뷰티/운동,쇼피파이,SHOP
뷰티/운동,안타스포츠,02020
뷰티/운동,리닝,02331
뷰티/운동,스케쳐스,SKX
럭셔리,페라리,RACE
럭셔리,할리데이비슨,HOG
럭셔리,귀주모태주,600519
럭셔리,오량액,000858
럭셔리,디아지오,DEO
럭셔리,테슬라,TSLA
여행,카니발,CCL
여행,힐튼월드와이드홀딩스,HLT
여행,라스베가스샌즈,LVS
여행,메리어트인터내셔널,MAR
여행,부킹홀딩스,BKNG
여행,비자,V
여행,마스터카드,MAR
여행,페이팔,PYPL
여행,에어비앤비,ABNB
여행,디즈니,DIS
여행,익스피디아그룹,EXPE
여행,트립어드바이저,TRIP
프랜차이즈,맥도날드,MCD
프랜차이즈,스타벅스,SBUX
프랜차이즈,도미노피자,DPZ
프랜차이즈,얌브랜즈,YUM
프랜차이즈,쉐이크쉑,SHAK
프랜차이즈,치폴레멕시칸그릴,CMG
프랜차이즈,레스토랑브랜드인터내셔널,QSR
프랜차이즈,윙스탑,WING
프랜차이즈,팻브랜즈,FAT
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
