sector,etf_names,etf_links
Aerospace & Defense,ITA,https://www.etf.com/ITA
Aerospace & Defense,XAR,https://www.etf.com/XAR
Aerospace & Defense,PPA,https://www.etf.com/PPA
Aerospace & Defense,DFEN,https://www.etf.com/DFEN
Aerospace & Defense,SHLD,https://www.etf.com/SHLD
Aggressive,AOA,https://www.etf.com/AOA
Aggressive,CLSA,https://www.etf.com/CLSA
Aggressive,DUDE,https://www.etf.com/DUDE
Aggressive,QPX,https://www.etf.com/QPX
Aggressive,ARMR,https://www.etf.com/ARMR
Aggressive,WIZ,https://www.etf.com/WIZ
Aggressive,PWS,https://www.etf.com/PWS
Aggressive,EAOA,https://www.etf.com/EAOA
Aggressive,BOB,https://www.etf.com/BOB
Aggressive,TAEQ,https://www.etf.com/TAEQ
Artificial Intelligence,BOTZ,https://www.etf.com/BOTZ
Artificial Intelligence,ROBO,https://www.etf.com/ROBO
Artificial Intelligence,ARKQ,https://www.etf.com/ARKQ
Artificial Intelligence,DRIV,https://www.etf.com/DRIV
Artificial Intelligence,AIVL,https://www.etf.com/AIVL
Artificial Intelligence,IRBO,https://www.etf.com/IRBO
Artificial Intelligence,ROBT,https://www.etf.com/ROBT
Artificial Intelligence,DUDE,https://www.etf.com/DUDE
Artificial Intelligence,AIQ,https://www.etf.com/AIQ
Artificial Intelligence,AIEQ,https://www.etf.com/AIEQ
Artificial Intelligence,IETC,https://www.etf.com/IETC
Artificial Intelligence,AIVI,https://www.etf.com/AIVI
Artificial Intelligence,BUZZ,https://www.etf.com/BUZZ
Artificial Intelligence,AQGX,https://www.etf.com/AQGX
Artificial Intelligence,ENTR,https://www.etf.com/ENTR
Artificial Intelligence,WIZ,https://www.etf.com/WIZ
Artificial Intelligence,THNQ,https://www.etf.com/THNQ
Artificial Intelligence,LRNZ,https://www.etf.com/LRNZ
Artificial Intelligence,UBOT,https://www.etf.com/UBOT
Artificial Intelligence,ERSX,https://www.etf.com/ERSX
Artificial Intelligence,IEDI,https://www.etf.com/IEDI
Artificial Intelligence,SNUG,https://www.etf.com/SNUG
Artificial Intelligence,AMOM,https://www.etf.com/AMOM
Artificial Intelligence,QRFT,https://www.etf.com/QRFT
Artificial Intelligence,IECS,https://www.etf.com/IECS
Artificial Intelligence,IEME,https://www.etf.com/IEME
Artificial Intelligence,BOB,https://www.etf.com/BOB
Artificial Intelligence,IEFN,https://www.etf.com/IEFN
Artificial Intelligence,AIIQ,https://www.etf.com/AIIQ
Artificial Intelligence,NVQ,https://www.etf.com/NVQ
Artificial Intelligence,HDIV,https://www.etf.com/HDIV
Artificial Intelligence,XDAT,https://www.etf.com/XDAT
Artificial Intelligence,UBCB,https://www.etf.com/UBCB
Artificial Intelligence,WTAI,https://www.etf.com/WTAI
Artificial Intelligence,LETB,https://www.etf.com/LETB
Bank,KBWB,https://www.etf.com/KBWB
Bank,FTXO,https://www.etf.com/FTXO
Broad Maturities,AGG,https://www.etf.com/AGG
Broad Maturities,BND,https://www.etf.com/BND
Broad Maturities,BNDX,https://www.etf.com/BNDX
Broad Maturities,TIP,https://www.etf.com/TIP
Broad Maturities,LQD,https://www.etf.com/LQD
Broad Maturities,MBB,https://www.etf.com/MBB
Broad Maturities,MUB,https://www.etf.com/MUB
Broad Maturities,SCHP,https://www.etf.com/SCHP
Broad Maturities,IUSB,https://www.etf.com/IUSB
Broad Maturities,PFF,https://www.etf.com/PFF
Broad Maturities,EMB,https://www.etf.com/EMB
Broad Maturities,GOVT,https://www.etf.com/GOVT
Broad Maturities,HYG,https://www.etf.com/HYG
Broad Maturities,TLT,https://www.etf.com/TLT
Broad Maturities,VMBS,https://www.etf.com/VMBS
Broad Maturities,VTEB,https://www.etf.com/VTEB
Broad Maturities,SCHZ,https://www.etf.com/SCHZ
Broad Maturities,JNK,https://www.etf.com/JNK
Broad Maturities,FPE,https://www.etf.com/FPE
Broad Maturities,USHY,https://www.etf.com/USHY
Broad Maturities,PGX,https://www.etf.com/PGX
Broad Maturities,USIG,https://www.etf.com/USIG
Broad Maturities,SPAB,https://www.etf.com/SPAB
Broad Maturities,CWB,https://www.etf.com/CWB
Broad Maturities,HYLB,https://www.etf.com/HYLB
