Ticker,stock_names,Symbol,Name
NVDA,NVIDIA Corporation,NVDA,NVIDIA Corp
QCOM,Qualcomm Inc,QCOM,Qualcomm Inc
NXPI,NXP Semiconductors NV,NXPI,NXP Semiconductors NV
AMD,"Advanced Micro Devices, Inc.",AMD,Advanced Micro Devices Inc
MRVL,"Marvell Technology, Inc.",MRVL,Marvell Technology Inc
AAPL,Apple Inc.,AAPL,Apple Inc
SWKS,"Skyworks Solutions, Inc.",SWKS,Skyworks Solutions Inc
DLR,"Digital Realty Trust, Inc.",DLR,Digital Realty Trust Inc
CCI,Crown Castle International Corp,CCI,Crown Castle International Corp
HPE,Hewlett Packard Enterprise Co.,HPE,Hewlett Packard Enterprise Co
LITE,"Lumentum Holdings, Inc.",LITE,Lumentum Holdings Inc
SBAC,SBA Communications Corp. Class A,SBAC,SBA Communications Corp Class A
ROG,Rogers Sugar Inc.,ROG,Rogers Corp
CIEN,Ciena Corporation,CIEN,Ciena Corp
JNPR,"Juniper Networks, Inc.",JNPR,Juniper Networks Inc
KEYS,Keysight Technologies Inc,KEYS,Keysight Technologies Inc
NOK,Nokia Oyj,NOK,Nokia Oyj ADR Series A
FB,Meta Platforms Inc. Class A,FB,Meta Platforms Inc Class A
INTC,Intel Corporation,INTC,Intel Corp
TMUS,"T-Mobile US, Inc.",TMUS,T-Mobile US Inc
ANET,"Arista Networks, Inc.",ANET,Arista Networks Inc
T PR C,AT&T Inc.,T PR C,AT&T Depo Sha Rep 1000 Preferred Series C
BCE,BCE Inc.,BCE,BCE Inc
SQ,Block Inc Class A,SQ,Block Inc Class A
AMT,American Tower Corporation,AMT,American Tower Corp
AVGO,Broadcom Inc.,AVGO,Broadcom Inc
DOX,Amdocs Limited,DOX,Amdocs Ltd
VZ,Verizon Communications Inc.,VZ,Verizon Communications Inc
RDWR,Radware Ltd.,RDWR,Radware Ltd
VIAV,Viavi Solutions Inc,VIAV,Viavi Solutions Inc
RBBN,"Ribbon Communications, Inc.",RBBN,Ribbon Communications Inc
VOD,Vodafone Group Plc,VOD,Vodafone Group PLC ADR
STM,STMicroelectronics NV,STM,STMicroelectronics NV ADR
TSLA,Tesla Inc,TSLA,Tesla Inc
SE,Sea Ltd. 2.375% 01-DEC-2025,SE,Sea Ltd ADR Class A
NATI,National Instruments Corporation,NATI,National Instruments Corp
NPTN,NeoPhotonics Corporation,NPTN,NeoPhotonics Corp
WIT,Wipro Limited,WIT,Wipro Ltd ADR
ORAN,Orange SA,ORAN,Orange SA ADR
PYPL,"PayPal Holdings, Inc.",PYPL,PayPal Holdings Inc
SILC,Silicom Ltd.,SILC,Silicom Ltd
VIV,Telefonica SA,VIV,Telefonica Brasil SA ADR
UI,Ubiquiti Inc.,UI,Ubiquiti Inc
TETCU,Tech Mahindra Limited,TETCU,Tech Energy Transition Units
TEO,Telecom Italia Rsp,TEO,Telecom Argentina SA ADR Class B
ERIC,Telefonaktiebolaget LM Ericsson Class B,ERIC,Telefonaktiebolaget LM Ericsson ADR Class B
TSM,"Taiwan Semiconductor Manufacturing Co., Ltd.",TSM,Taiwan Semiconductor Manufacturing Co Ltd ADR
UBER,"Uber Technologies, Inc.",UBER,Uber Technologies Inc
TTM,Tata Steel Limited,TTM,Tata Motors Ltd ADR
SWIR,Sierra Wireless Inc.,SWIR,Sierra Wireless Inc
U,"Unity Software, Inc.",U,Unity Software Inc
UNIT,Uniti Group Inc.,UNIT,Uniti Group Inc
UMC,United Microelectronics Corp.,UMC,United Microelectronics Corp ADR
TLC,"Taiwan Paiho Co., Ltd.",TLC,Taiwan Liposome Co Ltd ADR
LOV,Spark New Zealand Limited,LOV,Spark Networks SE ADR
SPLK,Splunk Inc.,SPLK,Splunk Inc
SPOT,Spotify Technology SA,SPOT,Spotify Technology SA
ATEN,"A10 Networks, Inc.",ATEN,A10 Networks Inc
CRNT,Ceragon Networks Ltd,CRNT,Ceragon Networks Ltd
CHTR,"Chart Industries, Inc.",CHTR,Charter Communications Inc Class A
CHT,Chung Hwa Pulp Corp.,CHT,Chunghwa Telecom Co Ltd ADR
NET,Cloudflare Inc Class A,NET,Cloudflare Inc Class A
COMM,"CommScope Holding Co., Inc.",COMM,CommScope Holding Company Inc
CMTL,Comtech Telecommunications Corp.,CMTL,Comtech Telecommunications Corp
GLW,Corning Inc,GLW,Corning Inc
COUP,"Coupa Software, Inc.",COUP,Coupa Software Inc
CRWD,"CrowdStrike Holdings, Inc. Class A",CRWD,CrowdStrike Holdings Inc Class A
DZSI,DZS Inc.,DZSI,DZS Inc
DAN,Dana Incorporated,DAN,Dana Inc
DDOG,Datadog Inc Class A,DDOG,Datadog Inc Class A
DE,De La Rue plc,DE,Deere & Co
DELL,Dell Inc. 6.5% 15-APR-2038,DELL,Dell Technologies Inc Class C
CASA,"Casa Systems, Inc.",CASA,Casa Systems Inc
CMBM,Cambium Networks Corporation,CMBM,Cambium Networks Corp
ALLT,Allot Ltd.,ALLT,Allot Ltd
ASX,"ASE Technology Holding Co., Ltd.",ASX,ASE Technology Holding Co Ltd ADR
AKAM,"Akamai Technologies, Inc.",AKAM,Akamai Technologies Inc
AKTS,"Akoustis Technologies, Inc.",AKTS,Akoustis Technologies Inc
GOOG,Alphabet Inc. Class C,GOOG,Alphabet Inc Class C
CTS,CTS Corporation,CTS,CTS Corp
ATUS,"Altice USA, Inc. Class A",ATUS,Altice USA Inc Class A
BBY,"Best Buy Co., Inc.",BBY,Best Buy Co Inc
DLA,"Delta Apparel, Inc.",DLA,Delta Apparel Inc
DB,Deutsche Post AG,DB,Deutsche Bank AG
LGIH,"LGI Homes, Inc.",LGIH,LGI Homes Inc
LSCC,Lattice Semiconductor Corporation,LSCC,Lattice Semiconductor Corp
LLNW,"Limelight Networks, Inc.",LLNW,Limelight Networks Inc
LUMN,"Lumen Technologies, Inc.",LUMN,Lumen Technologies Inc
MTSI,"MACOM Technology Solutions Holdings, Inc.",MTSI,MACOM Technology Solutions Holdings Inc
IBM,International Business Machines Corporation,IBM,International Business Machines Corp
MCG,"Membership Collective Group, Inc. Class A",MCG,Membership Collective Group Inc Class A
MCHP,Microchip Technology Incorporated,MCHP,Microchip Technology Inc
MU,"Micron Technology, Inc.",MU,Micron Technology Inc
EMKR,"EMCOR Group, Inc.",EMKR,EMCORE Corp
GL,Globe Life Inc.,GL,Globe Life Inc
ESTC,Elastic NV,ESTC,Elastic NV
FSLR,"First Solar, Inc.",FSLR,First Solar Inc
GXO WI,GXO Logistics Inc,GXO WI,GXO Logistics Inc
INSG,Inseego Corp.,INSG,Inseego Corp
IHS,IHS Markit Ltd.,IHS,IHS Holding Ltd
IIVI,II-VI Incorporated,IIVI,II-VI Inc
IPGP,IPG Photonics Corporation,IPGP,IPG Photonics Corp
INFN,Infinera Corporation,INFN,Infinera Corp
INFY,Infosys Limited,INFY,Infosys Ltd ADR
AIR,AAR CORP.,AIR,AAR Corp
HEI,HEICO Corporation,HEI,HEICO Corp
NOC,Northrop Grumman Corporation,NOC,Northrop Grumman Corp
MOG.B,Moog Inc. Class A,MOG.B,Moog Inc Class B
MRCY,"Mercury Systems, Inc.",MRCY,Mercury Systems Inc
MAXR,"Maxar Technologies, Inc.",MAXR,Maxar Technologies Inc
RTX,Raytheon Technologies Corporation,RTX,Raytheon Technologies Corp
LMT,Lockheed Martin Corporation,LMT,Lockheed Martin Corp
KTOS,"Kratos Defense & Security Solutions, Inc.",KTOS,Kratos Defense and Security Solutions Inc
KAMN,Kaman Corporation Class A,KAMN,Kaman Corp
SPR,"Spirit AeroSystems Holdings, Inc. Class A",SPR,Spirit AeroSystems Holdings Inc Class A
HII,Hunting PLC,HII,Huntington Ingalls Industries Inc
HWM PR,Howmet Aerospace Inc.,HWM PR,Howmet Aerospace Pref Shs
HXL,Hexcel Corporation,HXL,Hexcel Corp
PSN,Parsons Corporation,PSN,Parsons Corp
GD,General Dynamics Corporation,GD,General Dynamics Corp
BA,Boeing Company,BA,Boeing Co
TXT,Textron Inc.,TXT,Textron Inc
AJRD,"Aerojet Rocketdyne Holdings, Inc.",AJRD,Aerojet Rocketdyne Holdings Inc
CW,Curtiss-Wright Corporation,CW,Curtiss-Wright Corp
TDG,TransDigm Group Incorporated,TDG,TransDigm Group Inc
TGI,"Triumph Group, Inc.",TGI,Triumph Group Inc
AXON,Axon Enterprise Inc,AXON,Axon Enterprise Inc
BWXT,BWX Ltd.,BWXT,BWX Technologies Inc
NPK,"National Presto Industries, Inc.",NPK,National Presto Industries Inc
SPCE,Virgin Galactic Holdings Inc,SPCE,Virgin Galactic Holdings Inc Class A
ASTR,"Astra Space, Inc. Class A",ASTR,Astra Space Inc Class A
VEC,Vectrus Inc,VEC,Vectrus Inc
DCO,Ducommun Incorporated,DCO,Ducommun Inc
TLS,Telos Corporation,TLS,Telos Corp
RADA,Rada Electronic Industries Ltd.,RADA,Rada Electronic Industries Ltd
ROLLP,RBC Bearings Incorporated,ROLLP,RBC BEARINGS Pref Shs
SAIC,Science Applications International Corp.,SAIC,Science Applications International Corp
SWBI,"Smith & Wesson Brands, Inc.",SWBI,Smith & Wesson Brands Inc
PLTR,Palantir Technologies Inc. Class A,PLTR,Palantir Technologies Inc Class A
TDY,Teledyne Technologies Incorporated,TDY,Teledyne Technologies Inc
LDOS,"Leidos Holdings, Inc.",LDOS,Leidos Holdings Inc
OSK,Oshkosh Corp,OSK,Oshkosh Corp
ATI,Allegheny Cnty Pa 4.0% 01-NOV-2049,ATI,Allegheny Technologies Inc
BLL,Ball Corporation,BLL,Ball Corp
BAH,"Booz Allen Hamilton, Inc. 4.0% 01-JUL-2029",BAH,Booz Allen Hamilton Holding Corp Class A
CACI,CACI International Inc Class A,CACI,CACI International Inc Class A
CAE,CAE Inc.,CAE,CAE Inc
ESLT,Elbit Systems Ltd,ESLT,Elbit Systems Ltd
HON,Honeywell International Inc.,HON,Honeywell International Inc
OSIS,"OSI Systems, Inc.",OSIS,OSI Systems Inc
IRDM,Iridium Communications Inc.,IRDM,Iridium Communications Inc
MANT,ManTech International Corporation Class A,MANT,ManTech International Corp Class A
INGR,Ingredion Incorporated,INGR,Ingredion Inc
BYND,"Beyond Meat, Inc.",BYND,Beyond Meat Inc
CTVA,Corteva Inc,CTVA,Corteva Inc
AGCO,AGCO Corporation,AGCO,AGCO Corp
HYFM,Hydro One Limited,HYFM,Hydrofarm Holdings Group Inc
LNN,Lindsay Corporation,LNN,Lindsay Corp
OTLY,Oatly Group AB Sponsored ADR,OTLY,Oatly Group AB ADR
ADM,Archer-Daniels-Midland Company,ADM,Archer-Daniels-Midland Co
FMC,FMC Corporation,FMC,FMC Corp
NTR,Nutrien Ltd.,NTR,Nutrien Ltd
BG,Bunge Limited,BG,Bunge Ltd
CF,"CF Industries Holdings, Inc.",CF,CF Industries Holdings Inc
GRWG,GrowGeneration Corp.,GRWG,GrowGeneration Corp
MOS,Mosaic Company,MOS,Mosaic Co
TTC,Toro Company,TTC,Toro Co
CNHI,CNH Industrial NV,CNHI,CNH Industrial NV
DNA,Ginkgo Bioworks Holdings Inc Class A,DNA,Ginkgo Bioworks Holdings Inc Class A
SMG,Scott Cnty Minn 3.0% 01-DEC-2036,SMG,Scotts Miracle-Gro Co
TRMB,Trimble Inc.,TRMB,Trimble Inc
TSN,"Tyson Foods, Inc. Class A",TSN,Tyson Foods Inc Class A
TTCF,Tattooed Chef Inc Class A,TTCF,Tattooed Chef Inc Class A
SAFM,"Sanderson Farms, Inc.",SAFM,Sanderson Farms Inc
DAR,Darling Ingredients Inc.,DAR,Darling Ingredients Inc
SQM,Sociedad Quimica y Minera de Chile SA Pfd Series B,SQM,Sociedad Quimica y Minera de Chile SA ADR Series B
GSS,Golden Agri-Resources Ltd,GSS,Golden Star Resources Ltd
PDI,PI Industries Limited,PDI,PIMCO Dynamic Income Fund
K,Kellogg Company,K,Kellogg Co
BCPC,Balchem Corporation,BCPC,Balchem Corp
LOCL,Local Bounti Corporation,LOCL,Local Bounti Corp
MDLZ,Monde Nissin Corp.,MDLZ,Mondelez International Inc Class A
AAME,Atlantic Sapphire ASA,AAME,Atlantic American Corp
PTON,"Peloton Interactive, Inc. Class A",PTON,Peloton Interactive Inc Class A
PAYC,"Paycom Software, Inc.",PAYC,Paycom Software Inc
PH,Parker-Hannifin Corporation,PH,Parker-Hannifin Corp
MOH,"Molina Healthcare, Inc.",MOH,Molina Healthcare Inc
PSA,Public Storage,PSA,Public Storage
O,Realty Income Corporation,O,Realty Income Corp
MTD,Mettler-Toledo International Inc.,MTD,Mettler-Toledo International Inc
PRU,"Prudential Financial, Inc.",PRU,Prudential Financial Inc
PLNT,"Planet Fitness, Inc. Class A",PLNT,Planet Fitness Inc Class A
MAA,"Mid-America Apartment Communities, Inc.",MAA,Mid-America Apartment Communities Inc
AVO,"Mission Produce, Inc.",AVO,Mission Produce Inc
POOL,Pool Corporation,POOL,Pool Corp
PLUG,Plug Power Inc.,PLUG,Plug Power Inc
PLMR,"Palomar Holdings, Inc.",PLMR,Palomar Holdings Inc
MPWR,"Monolithic Power Systems, Inc.",MPWR,Monolithic Power Systems Inc
PKG,Packaging Corporation of America,PKG,Packaging Corp of America
NEO,Neogen Corporation,NEO,Neogenomics Inc
OLPX,"Olaplex Holdings, Inc.",OLPX,Olaplex Holdings Inc
FIZZ,National Beverage Corp.,FIZZ,National Beverage Corp
EYE,"National Vision Holdings, Inc.",EYE,National Vision Holdings Inc
NOAC,Natural Order Acquisition Corp,NOAC,Natural Order Acquisition Corp
ON,ON Semiconductor Corporation,ON,ON Semiconductor Corp
NFG,National Fuel Gas Company,NFG,National Fuel Gas Co
ORLY,"O'Reilly Automotive, Inc.",ORLY,O'Reilly Automotive Inc
NSC,Norfolk Va 4.0% 01-OCT-2027,NSC,Norfolk Southern Corp
ODFL,"Old Dominion Freight Line, Inc.",ODFL,Old Dominion Freight Line Inc
MCO,Moody's Corporation,MCO,Moody's Corp
PTCT,PTC Inc.,PTCT,PTC Therapeutics Inc
PNC,"PNC Financial Services Group, Inc.",PNC,PNC Financial Services Group Inc
OMC,Omnicom Group Inc,OMC,Omnicom Group Inc
OMI,Owens Corning,OMI,Owens & Minor Inc
OTIS,Otis Worldwide Corporation,OTIS,Otis Worldwide Corp
ONL,"Orion Office REIT, Inc.",ONL,Orion Office Reit Inc
OBNK,"Origin Bancorp, Inc.",OBNK,Origin Bancorp Inc
RF,Regions Financial Corporation,RF,Regions Financial Corp
SEM,Select Harvests Limited,SEM,Select Medical Holdings Corp
RBLX,Roblox Corp. Class A,RBLX,Roblox Corp Class A
UPS,"United Parcel Service, Inc. Class B",UPS,United Parcel Service Inc Class B
VEEV,Veeva Systems Inc Class A,VEEV,Veeva Systems Inc Class A
VMI,"Valmont Industries, Inc.",VMI,Valmont Industries Inc
UPST,"Upstart Holdings, Inc.",UPST,Upstart Holdings Inc
UNH,UnitedHealth Group Incorporated,UNH,UnitedHealth Group Inc
URI,"United Rentals, Inc.",URI,United Rentals Inc
UNP,Union Bank of Taiwan,UNP,Union Pacific Corp
TRV,"Travelers Companies, Inc.",TRV,Travelers Companies Inc
UN,Unilever PLC,UN,Unilever NV ADR
PATH,UiPath Inc Class A,PATH,UiPath Inc Class A
TYL,"Tyler Technologies, Inc.",TYL,Tyler Technologies Inc
TKC,Turk Hava Yollari A.O.,TKC,Turkcell Iletisim Hizmetleri AS ADR
TFC,Truist Bank FRN 09-MAR-2023,TFC,Truist Financial Corp
TREX,"Trex Company, Inc.",TREX,Trex Company Inc
VRSK,Verisk Analytics Inc,VRSK,Verisk Analytics Inc
VGFC,Very Good Food Company Inc,VGFC,Very Good Food Company Inc
VFF,Villa Park Ill 4.0% 15-DEC-2022,VFF,Village Farms International Inc
EBAY,eBay Inc.,EBAY,eBay Inc
ZI,ZoomInfo Technologies Inc,ZI,ZoomInfo Technologies Inc Class A
ZM,"Zoom Video Communications, Inc. Class A",ZM,Zoom Video Communications Inc Class A
ZG,"Zillow Group, Inc. Class C",ZG,Zillow Group Inc Class A
ZVIA,Zevia PBC Class A,ZVIA,Zevia PBC Class A
ZBRA,Zebra Technologies Corporation Class A,ZBRA,Zebra Technologies Corp Class A
