Symbol,Name,Industry,IndustryCode
TSM,Taiwan Semiconductor Manufacturing Co Ltd ADR,반도체 및 반도체 장비,571010.0
V,Visa Inc Class A,소프트웨어 및 IT서비스,572010.0
JPM,JPMorgan Chase & Co,은행,551010.0
UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,561020.0
JNJ,Johnson & Johnson,제약,562010.0
BRK.B,Berkshire Hathaway Inc Class B,복합 기업,544010.0
BAC,Bank of America Corp,은행,551010.0
WMT,Walmart Inc,식품 및 약품소매,543010.0
PG,Procter & Gamble Co,"개인, 가정 용품 및 서비스",542010.0
HD,Home Depot Inc,전문품 상점,534030.0
MA,Mastercard Inc Class A,소프트웨어 및 IT서비스,572010.0
XOM,Exxon Mobil Corp,오일 및 가스,501020.0
BABA,Alibaba Group Holding Ltd ADR,소프트웨어 및 IT서비스,572010.0
BRK.A,Berkshire Hathaway Inc Class A,복합 기업,544010.0
PFE,Pfizer Inc,제약,562010.0
DIS,Walt Disney Co,미디어 및 출판,533020.0
CVX,Chevron Corp,오일 및 가스,501020.0
TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,531010.0
KO,Coca-Cola Co,음료,541010.0
ABBV,Abbvie Inc,제약,562010.0
WFC,Wells Fargo & Co,은행,551010.0
LLY,Eli Lilly and Co,제약,562010.0
VZ,Verizon Communications Inc,통신 서비스,574010.0
TMO,Thermo Fisher Scientific Inc,헬스케어 장비 및 용품,561010.0
ABT,Abbott Laboratories,헬스케어 장비 및 용품,561010.0
NKE,Nike Inc Class B,섬유 및 의류,532020.0
ORCL,Oracle Corp,소프트웨어 및 IT서비스,572010.0
ACN,Accenture PLC Class A,소프트웨어 및 IT서비스,572010.0
SHEL,Shell PLC ADR,오일 및 가스,501020.0
CRM,Salesforce.Com Inc,소프트웨어 및 IT서비스,572010.0
RDS.A,Shell PLC ADR,오일 및 가스,501020.0
DHR,Danaher Corp,헬스케어 장비 및 용품,561010.0
MRK,Merck & Co Inc,제약,562010.0
NVS,Novartis AG ADR,제약,562010.0
MCD,McDonald's Corp,호텔 및 엔터테인먼트,533010.0
MS,Morgan Stanley,투자은행 및 서비스,551020.0
UPS,United Parcel Service Inc Class B,화물 및 물류 서비스,524050.0
BHP,BHP Group Ltd ADR,메탈&마이닝,512010.0
T,AT&T Inc,통신 서비스,574010.0
NVO,Novo Nordisk A/S ADR,제약,562010.0
SCHW,Charles Schwab Corp,투자은행 및 서비스,551020.0
PM,Philip Morris International Inc,식품 및 담배,541020.0
RY,Royal Bank of Canada,은행,551010.0
TD,Toronto-Dominion Bank,은행,551010.0
HSBC,HSBC Holdings PLC ADR,은행,551010.0
TTE,TotalEnergies SE ADR,오일 및 가스,501020.0
LOW,Lowe's Companies Inc,전문품 상점,534030.0
UNP,Union Pacific Corp,화물 및 물류 서비스,524050.0
LIN,Linde PLC,화학,511010.0
BX,Blackstone Inc,투자은행 및 서비스,551020.0
