sector,stock_names,etf_names
Artificial Intelligence,"2U, Inc.",1
Artificial Intelligence,3D Systems Corporation,4
Artificial Intelligence,3M Company,1
Artificial Intelligence,ABB Ltd.,3
Artificial Intelligence,"ABIOMED, Inc.",1
Artificial Intelligence,ABM Industries Incorporated,1
Artificial Intelligence,ACSL Ltd.,1
Artificial Intelligence,"AI inside, Inc.",2
Artificial Intelligence,"AMETEK, Inc.",2
Artificial Intelligence,ANDRITZ AG,1
Artificial Intelligence,"ANSYS, Inc.",3
Artificial Intelligence,ASML Holding NV ADR,2
Artificial Intelligence,ATS Automation Tooling Systems Inc.,5
Artificial Intelligence,AVEVA Group plc,3
Artificial Intelligence,"AbCellera Biologics, Inc.",1
Artificial Intelligence,Abercrombie & Fitch Co. Class A,1
Artificial Intelligence,Accenture Plc Class A,2
Artificial Intelligence,Acer Incorporated,1
Artificial Intelligence,"Acuity Brands, Inc.",1
Artificial Intelligence,Adobe Inc.,3
Artificial Intelligence,"Advanced Micro Devices, Inc.",5
Artificial Intelligence,"Advantech Co., Ltd.",2
Artificial Intelligence,AerCap Holdings NV,1
Artificial Intelligence,"AeroVironment, Inc.",3
Artificial Intelligence,"AfreecaTV Co., Ltd.",1
Artificial Intelligence,"AgEagle Aerial Systems, Inc.",1
Artificial Intelligence,"Agilent Technologies, Inc.",1
Artificial Intelligence,Air Lease Corporation Class A,1
Artificial Intelligence,Airtac International Group,1
Artificial Intelligence,"Akamai Technologies, Inc.",1
Artificial Intelligence,Albemarle Corporation,1
Artificial Intelligence,Alchera Inc.,1
Artificial Intelligence,Alchip Technologies Ltd.,3
Artificial Intelligence,Alibaba Group Holding Ltd.,1
Artificial Intelligence,Alibaba Group Holding Ltd. Sponsored ADR,4
Artificial Intelligence,Allegheny Technologies Incorporated,1
Artificial Intelligence,Allegion PLC,1
Artificial Intelligence,Alliance Data Systems Corporation,1
Artificial Intelligence,Allied Properties Real Estate Investment Trust,1
Artificial Intelligence,"Allison Transmission Holdings, Inc.",1
Artificial Intelligence,Allkem Limited,1
Artificial Intelligence,Allstate Corporation,1
Artificial Intelligence,Alphabet Inc. Class A,7
Artificial Intelligence,Alphabet Inc. Class C,1
Artificial Intelligence,Altair Engineering Inc. Class A,1
Artificial Intelligence,"Alteryx, Inc. Class A",2
Artificial Intelligence,Altra Industrial Motion Corp.,1
Artificial Intelligence,Altria Group Inc,1
Artificial Intelligence,Amano Corporation,1
Artificial Intelligence,"Amazon.com, Inc.",7
Artificial Intelligence,"Ambarella, Inc.",5
Artificial Intelligence,Amdocs Limited,1
Artificial Intelligence,"American Axle & Manufacturing Holdings, Inc.",1
Artificial Intelligence,"Amkor Technology, Inc.",1
Artificial Intelligence,Amplifon S.p.A.,1
Artificial Intelligence,"Analog Devices, Inc.",3
Artificial Intelligence,"Anaplan, Inc.",1
Artificial Intelligence,Antero Resources Corporation,1
Artificial Intelligence,Aperam SA,1
Artificial Intelligence,"AppHarvest, Inc.",1
Artificial Intelligence,Appen Ltd.,2
Artificial Intelligence,Appian Corporation Class A,2
Artificial Intelligence,Apple Inc.,5
