Symbol,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
RTX,1,2,2,2,2,2,3,3,9,9,9,9,9
BA,1,2,2,4,5,5,3,8,3,3,3,12,12
LMT,0,0,0,0,0,0,0,0,0,0,0,0,0
NOC,0,0,0,0,0,0,0,0,9,9,9,9,9
GD,1,2,2,2,2,2,3,3,3,3,11,11,11
TDG,0,0,0,0,0,6,5,5,5,5,5,5,5
KEYS,0,0,3,3,3,6,5,5,5,5,5,5,5
BLL,0,0,0,0,0,6,5,5,5,5,5,5,5
TDY,0,0,0,0,0,6,5,5,5,5,5,5,5
J,0,0,3,3,3,6,5,5,5,5,5,5,13
TXT,1,2,2,2,2,2,2,2,9,9,11,11,11
HWM,0,2,3,3,2,3,2,2,2,2,2,2,2
LDOS,0,0,0,0,0,0,4,4,4,4,4,4,4
BAH,0,0,0,0,0,0,5,5,5,4,4,4,5
CAE,0,0,0,0,0,6,7,7,7,7,7,7,7
OSK,0,0,3,3,3,6,2,2,2,2,2,2,2
HII,1,2,2,2,2,2,3,3,3,3,3,3,3
KBR,0,0,3,3,3,6,5,5,5,5,5,5,13
CACI,0,0,0,0,0,0,5,5,5,4,4,4,5
CW,1,2,2,2,2,2,3,3,9,9,9,9,9
SPR,1,1,1,4,5,5,3,8,8,8,8,12,12
SAIC,0,0,0,0,0,0,0,0,7,7,7,7,7
HXL,1,2,2,4,5,5,3,3,3,3,3,12,12
BWXT,0,2,2,2,2,2,0,0,9,9,9,9,9
AJRD,0,0,0,0,0,0,0,0,0,0,0,0,0
ATI,1,1,1,4,5,5,3,8,8,8,8,8,8
SPCE,0,0,3,3,3,3,4,4,4,10,10,10,10
MAXR,1,1,1,1,1,1,1,1,1,1,1,1,1
AIR,1,2,2,2,5,5,3,3,3,3,8,8,8
TGI,1,1,1,1,1,1,1,1,1,1,1,1,1
RGR,0,0,3,3,3,3,6,6,6,6,6,6,6
KAMN,1,2,2,4,5,5,3,8,8,8,8,12,12
NPK,1,1,1,4,5,5,3,8,8,8,8,8,8
DCO,0,0,0,0,0,6,7,7,7,7,7,7,7
VEC,0,0,0,0,0,0,4,4,4,4,4,4,4
HON,0,0,3,3,3,6,7,7,7,7,7,7,13
AXON,0,0,3,3,3,6,5,5,5,5,5,5,13
ESLT,0,2,0,0,2,2,0,0,9,9,9,9,9
WWD,0,0,0,0,0,6,7,7,7,7,7,7,7
ROLL,0,0,0,0,0,6,7,7,7,7,7,7,13
IRDM,0,0,3,3,3,6,5,5,5,5,5,5,13
MNDT,1,1,1,1,1,1,1,1,1,1,1,1,1
MANT,0,0,0,0,0,0,4,4,4,4,4,4,4
VSAT,1,1,1,4,4,4,1,8,8,8,8,12,12
MRCY,0,0,0,0,0,0,0,0,0,0,0,0,0
KTOS,0,0,0,0,0,6,7,7,7,7,7,7,13
AVAV,0,0,0,0,3,6,7,7,7,7,7,7,13
OSIS,0,0,0,0,0,6,7,7,7,7,7,7,7
SWBI,0,0,3,3,3,3,6,6,6,6,6,6,6
RADA,0,0,3,3,3,6,5,5,5,5,5,5,13
CMTL,1,2,2,2,5,2,3,3,9,9,9,9,9
HEI,0,0,0,0,0,6,7,7,7,7,7,7,5
