Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
V,Visa Inc Class A,소프트웨어 및 IT서비스,572010.0,1,1,1,5,5,3,3,3,3,3,5,5
JPM,JPMorgan Chase & Co,은행,551010.0,1,1,2,1,1,7,7,7,10,10,10,10
UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,561020.0,1,1,1,1,1,5,5,5,5,5,5,5
JNJ,Johnson & Johnson,제약,562010.0,1,1,1,1,1,5,5,5,5,5,5,5
BRK,Berkshire Hathaway Inc Class B,복합 기업,544010.0,0,3,3,2,3,2,8,8,8,8,8,8
BRK,Berkshire Hathaway Inc Class A,복합 기업,544010.0,0,3,3,2,3,2,8,8,8,8,8,8
BAC,Bank of America Corp,은행,551010.0,1,1,2,1,1,7,7,7,10,10,10,10
WMT,Walmart Inc,식품 및 약품소매,543010.0,1,1,1,1,5,5,5,5,3,3,5,5
PG,Procter & Gamble Co,"개인, 가정 용품 및 서비스",542010.0,1,1,1,1,1,5,5,5,5,5,5,5
HD,Home Depot Inc,전문품 상점,534030.0,1,1,1,1,1,5,5,5,5,5,5,5
MA,Mastercard Inc Class A,소프트웨어 및 IT서비스,572010.0,1,1,1,5,5,3,3,3,3,3,5,5
XOM,Exxon Mobil Corp,오일 및 가스,501020.0,0,3,0,3,0,4,4,4,4,4,0,0
PFE,Pfizer Inc,제약,562010.0,1,1,2,1,1,7,7,7,10,10,10,10
DIS,Walt Disney Co,미디어 및 출판,533020.0,1,1,1,1,1,5,5,5,5,5,5,5
CVX,Chevron Corp,오일 및 가스,501020.0,2,0,4,0,4,0,0,0,6,6,0,0
KO,Coca-Cola Co,음료,541010.0,1,1,1,5,5,7,7,5,5,9,9,5
WFC,Wells Fargo & Co,은행,551010.0,0,0,0,0,0,4,4,4,4,6,0,0
LLY,Eli Lilly and Co,제약,562010.0,1,1,2,1,1,5,5,5,5,5,5,5
VZ,Verizon Communications Inc,통신 서비스,574010.0,1,1,1,5,5,3,3,3,3,3,3,7
TMO,Thermo Fisher Scientific Inc,헬스케어 장비 및 용품,561010.0,1,1,1,1,1,5,5,5,5,5,5,5
ABT,Abbott Laboratories,헬스케어 장비 및 용품,561010.0,1,1,1,1,1,5,5,5,5,5,5,5
ORCL,Oracle Corp,소프트웨어 및 IT서비스,572010.0,1,1,2,1,1,5,5,5,5,5,5,1
CRM,Salesforce.Com Inc,소프트웨어 및 IT서비스,572010.0,1,1,1,1,5,5,5,5,5,5,5,5
DHR,Danaher Corp,헬스케어 장비 및 용품,561010.0,1,1,1,1,1,5,5,5,5,5,5,5
MRK,Merck & Co Inc,제약,562010.0,1,1,1,5,5,3,3,3,3,3,3,7
NVS,Novartis AG ADR,제약,562010.0,1,1,1,5,5,3,3,3,3,3,3,3
MCD,McDonald's Corp,호텔 및 엔터테인먼트,533010.0,1,1,1,5,5,5,5,5,5,5,5,5
MS,Morgan Stanley,투자은행 및 서비스,551020.0,1,1,2,1,1,1,1,1,1,1,1,1
UPS,United Parcel Service Inc Class B,화물 및 물류 서비스,524050.0,1,1,2,1,1,1,1,1,1,1,1,1
BHP,BHP Group Ltd ADR,메탈&마이닝,512010.0,1,1,1,1,5,5,5,5,5,5,5,5
T,AT&T Inc,통신 서비스,574010.0,0,3,0,3,0,4,4,4,4,4,4,4
NVO,Novo Nordisk A/S ADR,제약,562010.0,1,1,2,1,1,5,5,5,5,5,5,1
SCHW,Charles Schwab Corp,투자은행 및 서비스,551020.0,1,2,2,4,6,1,1,1,10,10,10,10
PM,Philip Morris International Inc,식품 및 담배,541020.0,0,3,3,3,3,2,2,2,2,2,2,2
RY,Royal Bank of Canada,은행,551010.0,1,2,2,1,1,1,1,1,10,10,10,10
