Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
V,Visa Inc Class A,소프트웨어 및 IT서비스,572010.0,0,3,3,3,3,6,6,6,6,11,6,11
JPM,JPMorgan Chase & Co,은행,551010.0,0,0,0,0,0,3,3,3,3,3,3,3
UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,561020.0,0,3,0,0,0,6,0,6,6,11,11,11
JNJ,Johnson & Johnson,제약,562010.0,0,3,3,3,3,6,6,6,6,11,11,11
BRK,Berkshire Hathaway Inc Class B,복합 기업,544010.0,2,2,2,2,6,4,4,4,4,4,4,4
BRK,Berkshire Hathaway Inc Class A,복합 기업,544010.0,2,2,2,2,6,4,4,4,4,4,4,4
BAC,Bank of America Corp,은행,551010.0,1,0,0,0,4,3,3,3,3,3,3,3
WMT,Walmart Inc,식품 및 약품소매,543010.0,0,3,3,3,3,6,6,6,6,11,11,11
PG,Procter & Gamble Co,"개인, 가정 용품 및 서비스",542010.0,0,3,3,3,0,6,6,6,6,11,11,11
HD,Home Depot Inc,전문품 상점,534030.0,0,3,0,0,0,6,0,0,6,11,11,11
MA,Mastercard Inc Class A,소프트웨어 및 IT서비스,572010.0,0,3,3,3,3,6,6,6,6,11,6,11
BABA,Alibaba Group Holding Ltd ADR,소프트웨어 및 IT서비스,572010.0,1,3,3,3,3,5,6,5,1,6,6,6
PFE,Pfizer Inc,제약,562010.0,0,0,0,0,1,3,3,3,3,3,3,3
DIS,Walt Disney Co,미디어 및 출판,533020.0,0,3,0,0,0,6,6,6,6,11,11,11
WFC,Wells Fargo & Co,은행,551010.0,2,2,2,2,2,2,8,8,8,8,8,8
LLY,Eli Lilly and Co,제약,562010.0,0,3,0,0,0,0,0,0,0,11,11,13
VZ,Verizon Communications Inc,통신 서비스,574010.0,1,3,3,1,3,5,5,5,1,5,1,6
TMO,Thermo Fisher Scientific Inc,헬스케어 장비 및 용품,561010.0,0,3,0,0,0,6,0,0,6,11,11,11
ABT,Abbott Laboratories,헬스케어 장비 및 용품,561010.0,0,3,3,3,3,6,6,6,6,11,11,11
ORCL,Oracle Corp,소프트웨어 및 IT서비스,572010.0,0,0,0,0,0,0,0,0,0,11,11,13
DHR,Danaher Corp,헬스케어 장비 및 용품,561010.0,0,3,0,0,0,0,0,0,0,11,11,13
MRK,Merck & Co Inc,제약,562010.0,1,3,3,1,1,5,5,5,5,5,5,5
NVS,Novartis AG ADR,제약,562010.0,0,3,3,3,3,5,5,5,5,5,5,5
MCD,McDonald's Corp,호텔 및 엔터테인먼트,533010.0,0,3,3,3,3,6,6,6,6,11,11,11
MS,Morgan Stanley,투자은행 및 서비스,551020.0,0,0,0,0,0,0,0,0,0,0,3,13
T,AT&T Inc,통신 서비스,574010.0,2,2,2,2,6,4,4,4,4,4,4,4
NVO,Novo Nordisk A/S ADR,제약,562010.0,0,0,0,0,0,0,0,0,0,0,11,13
SCHW,Charles Schwab Corp,투자은행 및 서비스,551020.0,0,0,0,4,4,3,3,3,3,3,3,3
PM,Philip Morris International Inc,식품 및 담배,541020.0,2,2,2,2,2,2,2,2,2,2,2,2
