Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
V,Visa Inc Class A,소프트웨어 및 IT서비스,572010.0,1,1,1,1,1,1,8,1,1,8,8,8
JPM,JPMorgan Chase & Co,은행,551010.0,1,1,1,1,1,1,1,1,1,1,1,1
UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,561020.0,1,1,1,1,1,1,1,1,1,1,1,8
BRK,Berkshire Hathaway Inc Class B,복합 기업,544010.0,0,3,3,3,3,4,4,4,4,4,4,4
BRK,Berkshire Hathaway Inc Class A,복합 기업,544010.0,0,3,3,3,3,4,4,4,4,4,4,4
BAC,Bank of America Corp,은행,551010.0,1,1,0,5,6,5,7,7,7,1,1,1
MA,Mastercard Inc Class A,소프트웨어 및 IT서비스,572010.0,1,1,1,1,1,1,8,1,1,8,8,8
WFC,Wells Fargo & Co,은행,551010.0,0,3,2,0,2,0,0,0,10,10,10,10
MCD,McDonald's Corp,호텔 및 엔터테인먼트,533010.0,1,1,1,1,1,1,8,1,1,1,1,8
MS,Morgan Stanley,투자은행 및 서비스,551020.0,1,1,0,5,6,5,1,9,9,9,9,9
SCHW,Charles Schwab Corp,투자은행 및 서비스,551020.0,1,0,0,5,6,5,5,5,5,5,5,9
RY,Royal Bank of Canada,은행,551010.0,1,0,0,5,6,5,5,5,5,5,5,9
TD,Toronto-Dominion Bank,은행,551010.0,1,0,0,5,5,5,5,5,7,7,7,7
BX,Blackstone Inc,투자은행 및 서비스,551020.0,1,1,1,1,6,1,1,9,9,9,9,9
AXP,American Express Co,은행,551010.0,1,1,1,1,6,1,1,1,1,1,1,1
CVS,CVS Health Corp,헬스케어 업체 및 서비스,561020.0,0,0,0,3,0,4,4,4,4,4,4,4
C,Citigroup Inc,은행,551010.0,2,2,4,4,4,2,2,2,2,2,2,2
HDB,HDFC Bank Ltd ADR,은행,551010.0,1,1,1,1,1,1,8,1,1,1,1,1
GS,Goldman Sachs Group Inc,투자은행 및 서비스,551020.0,1,0,0,5,6,5,5,5,5,5,5,9
BLK,BlackRock Inc,투자은행 및 서비스,551020.0,1,1,1,1,6,1,1,9,9,9,9,9
