Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
JPM,JPMorgan Chase & Co,은행,551010.0,2,2,2,0,0,2,2,2,2,2,2,2
BAC,Bank of America Corp,은행,551010.0,2,0,0,0,0,0,2,2,2,2,2,2
HD,Home Depot Inc,전문품 상점,534030.0,2,2,2,2,2,7,7,9,9,9,9,9
XOM,Exxon Mobil Corp,오일 및 가스,501020.0,1,1,1,1,6,1,1,1,4,4,4,4
PFE,Pfizer Inc,제약,562010.0,2,0,0,0,0,2,2,2,2,2,2,2
DIS,Walt Disney Co,미디어 및 출판,533020.0,2,2,2,2,2,7,7,9,9,9,9,9
CVX,Chevron Corp,오일 및 가스,501020.0,0,3,3,3,3,6,6,6,6,6,6,6
WFC,Wells Fargo & Co,은행,551010.0,1,1,1,1,1,1,1,1,5,5,5,5
VZ,Verizon Communications Inc,통신 서비스,574010.0,2,2,2,2,2,3,3,7,7,7,7,7
TMO,Thermo Fisher Scientific Inc,헬스케어 장비 및 용품,561010.0,2,2,2,2,2,7,7,9,9,9,9,9
MS,Morgan Stanley,투자은행 및 서비스,551020.0,2,0,0,0,0,2,2,9,9,9,9,9
UPS,United Parcel Service Inc Class B,화물 및 물류 서비스,524050.0,2,2,0,0,0,2,2,9,9,9,9,9
T,AT&T Inc,통신 서비스,574010.0,1,1,1,1,6,4,4,4,4,1,1,4
SCHW,Charles Schwab Corp,투자은행 및 서비스,551020.0,2,0,0,0,0,0,0,0,0,0,0,0
RY,Royal Bank of Canada,은행,551010.0,2,0,0,0,0,0,0,2,2,2,2,2
TD,Toronto-Dominion Bank,은행,551010.0,0,0,0,0,0,0,0,2,2,0,2,2
BMY,Bristol-Myers Squibb Co,제약,562010.0,2,2,4,4,4,5,8,8,10,8,8,11
AXP,American Express Co,은행,551010.0,2,2,2,0,0,2,2,2,2,2,2,2
C,Citigroup Inc,은행,551010.0,0,3,3,3,3,6,6,6,6,6,6,6
GS,Goldman Sachs Group Inc,투자은행 및 서비스,551020.0,2,0,0,0,0,0,2,0,8,8,0,8
DE,Deere & Co,"건설장비 및 대형차, 기차, 배",521020.0,2,2,2,0,0,2,2,9,9,9,9,9
CAT,Caterpillar Inc,"건설장비 및 대형차, 기차, 배",521020.0,2,2,2,0,0,2,2,2,2,2,2,2
BP,BP PLC ADR,오일 및 가스,501020.0,1,1,1,1,6,1,1,1,4,4,4,4
AMT,American Tower Corp,주택 및 상업용 리츠,601020.0,2,2,2,2,2,7,7,7,7,7,7,7
GE,General Electric Co,복합 기업,544010.0,1,1,4,4,4,4,4,4,1,11,11,13
MMM,3M Co,복합 기업,544010.0,0,3,3,3,1,6,6,5,5,5,5,5
BAM,Brookfield Asset Management Inc Class A,투자은행 및 서비스,551020.0,2,2,2,0,0,2,2,9,9,9,9,9
BNS,Bank of Nova Scotia,은행,551010.0,0,3,3,5,5,6,6,0,0,6,6,6
PNC,PNC Financial Services Group Inc,은행,551010.0,2,0,0,0,0,0,0,2,2,0,2,2
ENB,Enbridge Inc,오일 및 가스 장비 및 서비스,501030.0,1,1,4,4,4,5,5,5,10,11,11,13
TFC,Truist Financial Corp,은행,551010.0,0,0,0,5,5,0,0,2,0,0,3,3
BDX,Becton Dickinson and Co,헬스케어 장비 및 용품,561010.0,2,2,2,2,2,3,3,3,3,3,7,7
DUK,Duke Energy Corp,전기 유틸리티,591010.0,2,2,2,2,2,7,7,7,7,7,7,7
UBS,UBS Group AG,투자은행 및 서비스,551020.0,0,1,4,4,4,5,5,5,5,5,5,5
BMO,Bank of Montreal,은행,551010.0,0,0,0,5,5,0,0,0,0,0,0,0
CI,Cigna Corp,헬스케어 업체 및 서비스,561020.0,2,2,2,0,0,2,2,2,2,2,2,2
HCA,HCA Healthcare Inc,헬스케어 업체 및 서비스,561020.0,2,2,2,0,0,2,2,9,9,9,2,2
GM,General Motors Co,자동차 및 자동차 부품,531010.0,2,0,0,5,5,0,0,0,8,0,0,8
SO,Southern Co,전기 유틸리티,591010.0,2,2,2,2,2,7,7,7,7,7,7,7
F,Ford Motor Co,자동차 및 자동차 부품,531010.0,0,0,0,5,5,5,0,0,0,0,0,0
COF,Capital One Financial Corp,은행,551010.0,2,0,0,0,0,0,0,0,0,0,0,0
SAN,Banco Santander SA ADR,은행,551010.0,1,1,1,1,1,1,1,1,1,1,1,1
D,Dominion Energy Inc,전기 유틸리티,591010.0,2,2,2,2,2,3,3,7,7,7,7,7
