Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
V,Visa Inc Class A,소프트웨어 및 IT서비스,572010.0,1,1,4,5,5,3,3,3,10,10,10,10
JPM,JPMorgan Chase & Co,은행,551010.0,1,1,1,1,1,4,4,4,4,10,10,4
UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,561020.0,1,1,1,5,5,6,8,8,8,10,10,8
JNJ,Johnson & Johnson,제약,562010.0,1,1,1,5,5,6,8,8,10,10,10,10
BRK,Berkshire Hathaway Inc Class B,복합 기업,544010.0,0,0,0,0,6,7,7,7,7,7,7,13
BRK,Berkshire Hathaway Inc Class A,복합 기업,544010.0,0,0,0,0,6,7,7,7,7,7,7,13
BAC,Bank of America Corp,은행,551010.0,1,1,1,1,1,4,4,4,4,1,1,4
WMT,Walmart Inc,식품 및 약품소매,543010.0,1,1,4,5,5,6,3,8,10,10,10,10
PG,Procter & Gamble Co,"개인, 가정 용품 및 서비스",542010.0,1,1,1,5,5,6,8,8,10,10,10,10
HD,Home Depot Inc,전문품 상점,534030.0,1,1,1,5,5,6,8,8,8,10,10,8
MA,Mastercard Inc Class A,소프트웨어 및 IT서비스,572010.0,1,1,4,5,5,3,3,3,10,10,10,10
XOM,Exxon Mobil Corp,오일 및 가스,501020.0,0,0,3,3,0,0,0,0,0,11,11,11
BABA,Alibaba Group Holding Ltd ADR,소프트웨어 및 IT서비스,572010.0,1,3,4,4,4,3,3,3,3,3,3,3
PFE,Pfizer Inc,제약,562010.0,1,1,1,1,1,4,4,4,4,1,1,4
DIS,Walt Disney Co,미디어 및 출판,533020.0,1,1,1,5,5,6,8,6,6,6,6,6
CVX,Chevron Corp,오일 및 가스,501020.0,2,0,3,3,3,5,5,5,5,11,11,11
KO,Coca-Cola Co,음료,541010.0,1,1,4,5,4,4,4,4,10,10,10,4
WFC,Wells Fargo & Co,은행,551010.0,0,0,3,3,0,0,0,0,0,11,11,11
LLY,Eli Lilly and Co,제약,562010.0,1,1,1,5,5,6,8,8,8,8,8,8
VZ,Verizon Communications Inc,통신 서비스,574010.0,1,3,4,4,4,3,3,3,3,3,3,3
TMO,Thermo Fisher Scientific Inc,헬스케어 장비 및 용품,561010.0,1,1,1,5,5,6,8,8,8,10,10,8
ABT,Abbott Laboratories,헬스케어 장비 및 용품,561010.0,1,1,1,5,5,6,8,8,10,10,10,10
ORCL,Oracle Corp,소프트웨어 및 IT서비스,572010.0,1,1,1,1,1,6,8,8,8,8,8,8
ACN,Accenture PLC Class A,소프트웨어 및 IT서비스,572010.0,1,1,1,5,5,6,8,8,8,8,8,8
DHR,Danaher Corp,헬스케어 장비 및 용품,561010.0,1,1,1,5,5,6,8,8,8,8,8,8
MRK,Merck & Co Inc,제약,562010.0,1,3,4,4,4,3,3,3,3,3,3,10
MCD,McDonald's Corp,호텔 및 엔터테인먼트,533010.0,1,1,4,5,5,6,8,8,10,10,10,10
MS,Morgan Stanley,투자은행 및 서비스,551020.0,1,1,1,1,1,1,1,1,1,1,1,1
UPS,United Parcel Service Inc Class B,화물 및 물류 서비스,524050.0,1,1,1,1,1,1,1,1,8,8,8,8
T,AT&T Inc,통신 서비스,574010.0,0,0,0,0,0,0,0,0,0,0,0,0
NVO,Novo Nordisk A/S ADR,제약,562010.0,1,1,1,1,1,6,8,8,8,8,8,8
SCHW,Charles Schwab Corp,투자은행 및 서비스,551020.0,1,2,2,1,1,1,1,1,1,1,1,1
PM,Philip Morris International Inc,식품 및 담배,541020.0,0,0,0,0,6,0,7,9,9,9,9,9
LOW,Lowe's Companies Inc,전문품 상점,534030.0,1,1,1,5,5,6,8,8,8,8,8,8
UNP,Union Pacific Corp,화물 및 물류 서비스,524050.0,1,1,1,5,5,6,8,8,10,10,10,10
LIN,Linde PLC,화학,511010.0,1,1,1,5,5,6,8,8,8,10,10,8
BX,Blackstone Inc,투자은행 및 서비스,551020.0,1,1,1,1,1,1,8,8,8,8,8,8
BMY,Bristol-Myers Squibb Co,제약,562010.0,1,2,0,0,6,7,7,7,7,7,7,13
AXP,American Express Co,은행,551010.0,1,1,1,1,1,4,8,8,8,10,10,4
RTX,Raytheon Technologies Corp,우주항공 및 국방,521010.0,2,2,2,2,2,4,4,4,4,4,4,4
SAP,SAP SE ADR,소프트웨어 및 IT서비스,572010.0,1,3,4,5,4,3,3,3,3,3,3,10
MDT,Medtronic PLC,헬스케어 장비 및 용품,561010.0,1,1,4,5,5,6,8,8,10,10,10,10
CVS,CVS Health Corp,헬스케어 업체 및 서비스,561020.0,0,2,0,0,6,7,7,7,7,7,7,13
UL,Unilever PLC ADR,"개인, 가정 용품 및 서비스",542010.0,2,3,4,4,4,3,3,3,3,3,12,12
C,Citigroup Inc,은행,551010.0,2,2,2,2,2,2,2,2,2,2,2,2
BA,Boeing Co,우주항공 및 국방,521010.0,2,3,3,3,3,5,5,5,5,5,5,5
HDB,HDFC Bank Ltd ADR,은행,551010.0,1,1,4,5,4,4,4,4,4,10,10,4
GS,Goldman Sachs Group Inc,투자은행 및 서비스,551020.0,1,2,1,1,1,1,1,1,1,1,1,1
