Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,561020.0,0,0,0,0,6,2,2,9,9,9,9,9
JNJ,Johnson & Johnson,제약,562010.0,0,0,0,0,6,2,2,9,9,9,9,9
PG,Procter & Gamble Co,"개인, 가정 용품 및 서비스",542010.0,0,0,0,0,6,2,2,9,0,9,0,0
PFE,Pfizer Inc,제약,562010.0,0,0,0,0,6,2,2,9,9,9,9,9
LLY,Eli Lilly and Co,제약,562010.0,0,0,0,0,6,2,2,2,2,2,2,2
TMO,Thermo Fisher Scientific Inc,헬스케어 장비 및 용품,561010.0,0,0,0,0,6,2,2,2,2,2,2,2
ABT,Abbott Laboratories,헬스케어 장비 및 용품,561010.0,0,0,0,0,6,2,2,9,9,9,9,9
DHR,Danaher Corp,헬스케어 장비 및 용품,561010.0,0,0,0,0,6,2,2,2,2,2,2,2
MRK,Merck & Co Inc,제약,562010.0,0,3,3,3,3,3,3,9,9,9,9,9
NVS,Novartis AG ADR,제약,562010.0,0,3,3,3,3,0,8,9,8,8,0,0
MS,Morgan Stanley,투자은행 및 서비스,551020.0,0,0,0,0,6,2,2,2,2,2,2,2
NVO,Novo Nordisk A/S ADR,제약,562010.0,0,0,0,0,6,2,2,2,2,2,2,2
BMY,Bristol-Myers Squibb Co,제약,562010.0,1,1,1,1,0,1,1,1,10,11,11,10
MDT,Medtronic PLC,헬스케어 장비 및 용품,561010.0,0,0,3,0,6,2,2,9,0,0,0,0
CVS,CVS Health Corp,헬스케어 업체 및 서비스,561020.0,1,1,1,1,1,7,7,7,7,11,11,11
BLK,BlackRock Inc,투자은행 및 서비스,551020.0,0,0,0,0,6,2,2,2,2,2,2,2
GSK,GlaxoSmithKline PLC ADR,제약,562010.0,1,1,1,1,1,1,1,1,1,1,1,1
ANTM,Anthem Inc,헬스케어 업체 및 서비스,561020.0,0,0,0,0,6,2,2,9,9,9,9,9
SHOP,Shopify Inc Class A,소프트웨어 및 IT서비스,572010.0,0,0,0,0,6,2,2,2,2,2,2,2
SYK,Stryker Corp,헬스케어 장비 및 용품,561010.0,0,0,0,0,6,2,2,9,9,9,9,9
ZTS,Zoetis Inc Class A,제약,562010.0,0,0,0,0,6,2,2,9,9,9,9,9
BDX,Becton Dickinson and Co,헬스케어 장비 및 용품,561010.0,0,3,3,3,3,3,3,3,9,9,3,3
CI,Cigna Corp,헬스케어 업체 및 서비스,561020.0,0,0,0,0,6,2,2,9,9,9,9,9
HCA,HCA Healthcare Inc,헬스케어 업체 및 서비스,561020.0,0,0,0,0,6,2,2,2,2,2,2,2
EW,Edwards Lifesciences Corp,헬스케어 장비 및 용품,561010.0,0,0,0,0,6,2,2,9,9,9,9,9
BSX,Boston Scientific Corp,헬스케어 장비 및 용품,561010.0,0,3,3,3,3,3,3,9,9,9,9,9
HUM,Humana Inc,헬스케어 업체 및 서비스,561020.0,0,0,3,3,3,2,2,9,9,9,9,9
CNC,Centene Corp,헬스케어 업체 및 서비스,561020.0,0,3,3,3,3,3,3,9,9,9,9,9
IQV,IQVIA Holdings Inc,생명과학 및 메디컬 리서치,562020.0,0,0,0,0,6,2,2,2,2,2,2,2
TAK,Takeda Pharmaceutical Co Ltd ADR,제약,562010.0,1,1,2,5,5,5,5,5,5,5,5,5
BAX,Baxter International Inc,헬스케어 장비 및 용품,561010.0,0,3,3,3,3,3,3,9,9,9,9,9
A,Agilent Technologies Inc,헬스케어 장비 및 용품,561010.0,0,0,0,0,6,2,2,2,2,2,2,2
STT,State Street Corp,투자은행 및 서비스,551020.0,1,1,2,2,2,7,7,7,7,11,11,13
VEEV,Veeva Systems Inc Class A,헬스케어 장비 및 용품,561010.0,0,0,3,3,3,2,2,9,0,0,0,0
WELL,Welltower Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,6,7,7,7,7,7,7,7
MTD,Mettler-Toledo International Inc,사무기기,571050.0,0,0,0,0,6,2,2,2,2,2,2,2
ARE,Alexandria Real Estate Equities Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,6,2,2,9,9,9,9,9
PHG,Koninklijke Philips NV ADR,헬스케어 장비 및 용품,561010.0,0,3,3,3,3,0,8,8,0,0,0,0
WST,West Pharmaceutical Services Inc,헬스케어 장비 및 용품,561010.0,0,0,0,0,6,2,2,2,2,2,2,2
LH,Laboratory Corporation of America Holdings,헬스케어 업체 및 서비스,561020.0,0,0,0,0,6,2,2,2,2,2,2,2
ZBH,Zimmer Biomet Holdings Inc,헬스케어 장비 및 용품,561010.0,0,0,3,3,3,0,0,0,0,0,0,0
CHD,Church & Dwight Co Inc,"개인, 가정 용품 및 서비스",542010.0,0,0,3,3,3,2,2,9,9,9,9,9
FTV,Fortive Corp,"건설장비 및 대형차, 기차, 배",521020.0,0,3,0,0,6,3,3,9,9,9,9,9
STE,STERIS plc,헬스케어 장비 및 용품,561010.0,0,0,0,0,6,2,2,9,9,9,9,9
PKI,PerkinElmer Inc,헬스케어 장비 및 용품,561010.0,0,0,0,0,6,2,2,2,2,2,2,2
VTR,Ventas Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,1,5,5,5,1,5,5,5
WAT,Waters Corp,헬스케어 장비 및 용품,561010.0,0,0,0,0,6,2,2,2,2,2,2,2
COO,Cooper Companies Inc,헬스케어 장비 및 용품,561010.0,0,0,0,0,6,2,2,9,9,9,9,9
FMS,Fresenius Medical Care AG & Co KGaA ADR,헬스케어 업체 및 서비스,561020.0,1,2,2,5,5,6,6,6,6,6,6,6
CTLT,Catalent Inc,제약,562010.0,0,0,0,0,6,2,2,2,2,2,2,2
MOH,Molina Healthcare Inc,헬스케어 업체 및 서비스,561020.0,0,0,0,0,6,2,2,2,2,2,2,2
PEAK,Healthpeak Properties Inc,주택 및 상업용 리츠,601020.0,0,0,0,1,1,7,7,7,7,11,11,11
CRL,Charles River Laboratories International Inc,생명과학 및 메디컬 리서치,562020.0,0,0,0,0,6,2,2,2,2,2,2,2
DGX,Quest Diagnostics Inc,헬스케어 업체 및 서비스,561020.0,0,0,0,0,6,2,2,2,2,2,2,2
TFX,Teleflex Inc,헬스케어 장비 및 용품,561010.0,0,3,3,3,3,0,8,9,9,9,0,0
CAH,Cardinal Health Inc,식품 및 약품소매,543010.0,1,1,1,1,1,5,5,5,5,5,5,5
SNN,Smith & Nephew PLC ADR,헬스케어 장비 및 용품,561010.0,0,3,3,3,3,3,3,3,8,8,3,3
MPW,Medical Properties Trust Inc,주택 및 상업용 리츠,601020.0,0,0,3,3,3,2,2,9,9,9,9,9
TDOC,Teladoc Health Inc,헬스케어 업체 및 서비스,561020.0,0,3,3,3,3,0,8,8,0,0,8,8
