Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
JPM,JPMorgan Chase & Co,은행,551010.0,0,3,4,4,4,3,3,3,3,3,3,3
BAC,Bank of America Corp,은행,551010.0,1,3,3,3,3,3,3,3,3,3,3,3
WMT,Walmart Inc,식품 및 약품소매,543010.0,0,0,4,4,4,7,7,7,7,7,7,7
HD,Home Depot Inc,전문품 상점,534030.0,0,0,4,4,4,7,7,7,7,7,7,7
WFC,Wells Fargo & Co,은행,551010.0,2,2,2,2,6,5,5,5,5,5,5,13
MS,Morgan Stanley,투자은행 및 서비스,551020.0,0,0,0,0,0,0,0,0,0,0,0,0
LOW,Lowe's Companies Inc,전문품 상점,534030.0,0,0,4,0,0,0,0,0,0,0,0,0
TGT,Target Corp,다양한 소매업,534020.0,0,0,4,0,0,0,0,0,0,0,0,0
PNC,PNC Financial Services Group Inc,은행,551010.0,1,1,1,3,1,3,3,3,3,3,3,3
TFC,Truist Financial Corp,은행,551010.0,1,1,1,1,1,1,1,1,1,1,1,1
SHW,Sherwin-Williams Co,화학,511010.0,0,0,4,4,4,7,7,7,7,7,7,7
PSA,Public Storage,주택 및 상업용 리츠,601020.0,0,3,3,3,3,4,4,4,4,4,4,4
PGR,Progressive Corp,보험,553010.0,0,0,4,4,4,7,7,7,7,7,7,7
JCI,Johnson Controls International PLC,"건설장비 및 대형차, 기차, 배",521020.0,0,0,0,0,0,0,0,0,0,0,0,0
TRV,Travelers Companies Inc,보험,553010.0,1,1,1,1,1,3,3,3,3,3,3,3
STT,State Street Corp,투자은행 및 서비스,551020.0,2,2,2,2,2,2,2,2,2,2,2,2
PPG,PPG Industries Inc,화학,511010.0,0,0,0,0,0,0,0,0,0,0,0,0
TT,Trane Technologies PLC,"건설장비 및 대형차, 기차, 배",521020.0,0,0,4,0,0,0,0,0,0,0,0,0
ALL,Allstate Corp,보험,553010.0,0,3,4,4,4,3,3,3,3,3,3,3
WELL,Welltower Inc,주택 및 상업용 리츠,601020.0,1,1,3,1,3,1,8,8,8,8,8,8
EQR,Equity Residential,주택 및 상업용 리츠,601020.0,1,3,3,3,3,4,8,8,8,8,8,8
WY,Weyerhaeuser Co,주택 및 상업용 리츠,601020.0,2,2,2,5,5,2,2,2,2,2,2,2
FRC,First Republic Bank,은행,551010.0,0,0,0,0,0,0,0,0,0,0,0,0
EXR,Extra Space Storage Inc,주택 및 상업용 리츠,601020.0,0,3,3,3,0,4,4,4,4,4,4,4
MAA,Mid-America Apartment Communities Inc,주택 및 상업용 리츠,601020.0,0,3,3,3,3,4,4,4,4,4,4,4
INVH,Invitation Homes Inc,주택 및 상업용 리츠,601020.0,0,3,3,3,0,4,4,4,4,4,4,4
