Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
V,Visa Inc Class A,소프트웨어 및 IT서비스,572010.0,1,3,3,3,3,1,8,8,8,8,8,8
HD,Home Depot Inc,전문품 상점,534030.0,1,3,3,1,3,4,8,4,4,4,4,4
MA,Mastercard Inc Class A,소프트웨어 및 IT서비스,572010.0,1,3,3,3,3,1,8,8,8,8,8,8
ACN,Accenture PLC Class A,소프트웨어 및 IT서비스,572010.0,1,3,1,1,1,4,4,4,4,4,4,4
MS,Morgan Stanley,투자은행 및 서비스,551020.0,1,1,1,1,1,4,4,4,4,4,4,4
UPS,United Parcel Service Inc Class B,화물 및 물류 서비스,524050.0,1,1,1,1,1,4,4,4,4,4,4,4
LOW,Lowe's Companies Inc,전문품 상점,534030.0,1,1,1,1,1,4,4,4,4,4,4,4
UNP,Union Pacific Corp,화물 및 물류 서비스,524050.0,1,3,3,3,3,1,8,8,8,8,8,8
AXP,American Express Co,은행,551010.0,1,3,1,1,1,4,4,4,4,4,1,4
RTX,Raytheon Technologies Corp,우주항공 및 국방,521010.0,0,2,2,2,6,3,3,3,3,3,3,3
SAP,SAP SE ADR,소프트웨어 및 IT서비스,572010.0,1,3,3,3,3,1,8,8,8,8,8,8
BA,Boeing Co,우주항공 및 국방,521010.0,2,2,2,2,2,0,0,0,2,11,11,11
DE,Deere & Co,"건설장비 및 대형차, 기차, 배",521020.0,1,1,1,1,1,4,4,4,4,4,4,4
BLK,BlackRock Inc,투자은행 및 서비스,551020.0,1,1,1,1,1,4,4,4,4,4,4,4
CAT,Caterpillar Inc,"건설장비 및 대형차, 기차, 배",521020.0,1,3,3,1,1,4,1,4,4,4,12,12
LMT,Lockheed Martin Corp,우주항공 및 국방,521010.0,1,3,3,3,3,1,8,8,8,8,8,8
GE,General Electric Co,복합 기업,544010.0,2,0,4,5,5,5,5,5,6,6,6,6
MMM,3M Co,복합 기업,544010.0,2,0,0,0,5,5,5,5,3,3,3,3
CNI,Canadian National Railway Co,화물 및 물류 서비스,524050.0,1,3,3,3,3,1,8,8,8,8,8,12
SHW,Sherwin-Williams Co,화학,511010.0,1,3,3,1,3,4,8,4,4,4,4,4
GM,General Motors Co,자동차 및 자동차 부품,531010.0,0,1,1,4,4,7,7,9,9,9,9,13
