Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
CB,Chubb Ltd,보험,553010.0,0,0,4,4,4,4,4,9,9,9,9,9
MMC,Marsh & McLennan Companies Inc,보험,553010.0,0,3,3,3,3,2,2,2,2,2,2,13
AON,Aon PLC Class A,보험,553010.0,0,3,3,3,3,2,2,2,2,2,2,13
PGR,Progressive Corp,보험,553010.0,1,3,3,3,3,2,2,2,2,2,2,13
MET,MetLife Inc,보험,553010.0,0,0,4,4,4,4,4,4,4,4,4,4
AIG,American International Group Inc,보험,553010.0,2,2,2,2,2,6,6,6,7,7,7,7
PRU,Prudential Financial Inc,보험,553010.0,2,2,4,5,5,6,6,6,6,6,6,6
AFL,Aflac Inc,보험,553010.0,0,0,3,3,6,5,5,9,9,9,9,9
TRV,Travelers Companies Inc,보험,553010.0,0,0,4,4,6,4,4,9,9,9,9,9
APO,Apollo Global Management Inc,투자은행 및 서비스,551020.0,0,3,3,3,3,2,2,2,2,2,2,13
STT,State Street Corp,투자은행 및 서비스,551020.0,2,2,4,4,4,6,6,6,6,6,6,6
ALL,Allstate Corp,보험,553010.0,0,3,3,3,6,5,5,5,5,5,5,5
AJG,Arthur J Gallagher & Co,보험,553010.0,0,3,3,3,3,2,2,2,2,2,2,13
HIG,Hartford Financial Services Group Inc,보험,553010.0,0,0,4,4,4,4,4,4,4,4,4,4
BRO,Brown & Brown Inc,보험,553010.0,0,3,3,3,3,2,2,2,2,2,2,13
MKL,Markel Corp,보험,553010.0,0,0,4,4,6,5,5,9,9,9,9,9
L,Loews Corp,보험,553010.0,0,0,4,4,4,4,4,4,4,4,4,4
FNF,Fidelity National Financial Inc,보험,553010.0,0,0,3,3,6,5,5,9,9,9,9,9
LNC,Lincoln National Corp,보험,553010.0,2,2,4,5,5,6,6,6,6,6,6,6
CNA,CNA Financial Corp,보험,553010.0,2,2,4,5,5,3,3,3,3,3,3,3
RE,Everest Re Group Ltd,보험,553010.0,0,0,4,4,4,4,4,9,9,9,9,9
AFG,American Financial Group Inc,보험,553010.0,0,0,4,4,4,4,4,4,4,4,4,4
GL,Globe Life Inc,보험,553010.0,1,3,3,3,6,5,5,5,5,5,5,5
AIZ,Assurant Inc,보험,553010.0,0,3,3,3,3,2,2,5,5,5,5,13
Y,Alleghany Corp,보험,553010.0,1,1,1,1,1,5,5,1,1,1,1,1
ORI,Old Republic International Corp,보험,553010.0,0,0,4,4,4,4,4,4,4,4,4,4
VOYA,Voya Financial Inc,투자은행 및 서비스,551020.0,0,3,3,3,6,5,5,5,5,5,5,5
FAF,First American Financial Corp,보험,553010.0,0,3,3,3,6,5,5,9,9,9,9,9
RGA,Reinsurance Group of America Inc,보험,553010.0,2,1,1,1,1,3,3,3,3,3,3,3
PRI,Primerica Inc,보험,553010.0,1,3,3,3,6,2,2,5,5,5,5,5
UNM,Unum Group,보험,553010.0,2,2,2,5,5,7,7,7,7,7,7,7
THG,Hanover Insurance Group Inc,보험,553010.0,1,3,3,3,6,5,5,9,9,9,9,9
KNSL,Kinsale Capital Group Inc,보험,553010.0,1,3,3,3,3,2,2,2,2,2,2,13
AGO,Assured Guaranty Ltd,보험,553010.0,0,0,0,0,0,4,4,4,4,4,4,4
AEL,American Equity Investment Life Holding Co,보험,553010.0,0,0,4,4,4,4,4,9,9,9,9,9
KMPR,Kemper Corp,보험,553010.0,1,1,1,1,1,1,1,1,1,1,1,1
WTM,White Mountains Insurance Group Ltd,보험,553010.0,1,3,3,3,6,5,5,5,5,5,5,5
CNO,CNO Financial Group Inc,보험,553010.0,0,2,4,4,4,6,6,6,6,6,6,6
MCY,Mercury General Corp,보험,553010.0,2,2,2,2,2,4,8,8,8,8,8,8
GNW,Genworth Financial Inc Class A,보험,553010.0,2,1,1,2,2,1,1,1,1,1,12,12
HMN,Horace Mann Educators Corp,보험,553010.0,2,1,1,1,1,1,1,1,1,1,1,1
ARGO,Argo Group International Holdings Ltd,보험,553010.0,2,1,1,1,1,3,3,3,3,1,1,1
PRA,ProAssurance Corp,보험,553010.0,2,2,2,5,5,7,7,7,7,7,7,7
EIG,Employers Holdings Inc,보험,553010.0,2,1,1,1,1,3,3,3,3,3,3,3
MBI,MBIA Inc,보험,553010.0,0,0,0,0,0,0,0,0,0,0,0,0
AMBC,Ambac Financial Group Inc,보험,553010.0,2,1,2,2,1,7,7,7,7,7,12,12
WTW,Willis Towers Watson PLC,보험,553010.0,1,3,3,3,3,2,2,2,2,2,2,13
PFG,Principal Financial Group Inc,보험,553010.0,2,2,4,4,4,6,6,6,6,6,6,6
CINF,Cincinnati Financial Corp,보험,553010.0,0,3,3,3,6,5,5,9,9,9,9,9
ACGL,Arch Capital Group Ltd,보험,553010.0,0,3,3,3,6,5,5,9,9,9,9,9
ERIE,Erie Indemnity Co Class A,보험,553010.0,1,3,3,3,3,2,2,2,2,2,2,2
ANAT,American National Group Inc,보험,553010.0,0,0,0,0,0,0,0,0,0,0,0,0
ESGR,Enstar Group Ltd,보험,553010.0,0,0,4,4,4,4,4,4,4,4,4,4
SIGI,Selective Insurance Group Inc,보험,553010.0,0,3,3,3,6,5,5,9,9,9,9,9
BHF,Brighthouse Financial Inc,보험,553010.0,2,2,2,2,2,7,7,7,7,7,7,7
TRUP,Trupanion Inc,보험,553010.0,0,3,3,3,3,2,2,2,2,2,2,13
STFC,State Auto Financial Corp,보험,553010.0,0,0,0,0,0,0,0,0,0,0,0,0
SAFT,Safety Insurance Group Inc,보험,553010.0,1,1,1,1,1,1,1,1,1,1,1,1
JRVR,James River Group Holdings Ltd,보험,553010.0,1,1,1,1,1,1,1,1,1,11,11,11
NWLI,National Western Life Group Inc Class A,보험,553010.0,2,2,2,5,5,7,7,7,10,10,10,10
UFCS,United Fire Group Inc,보험,553010.0,2,1,2,5,5,7,7,7,10,10,10,10
EHTH,eHealth Inc,보험,553010.0,1,3,1,1,1,1,1,2,2,2,2,2
