Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
BABA,Alibaba Group Holding Ltd ADR,소프트웨어 및 IT서비스,572010.0,2,2,2,2,2,5,5,9,9,9,9,9
DIS,Walt Disney Co,미디어 및 출판,533020.0,1,1,1,1,1,1,1,1,1,1,1,1
ORCL,Oracle Corp,소프트웨어 및 IT서비스,572010.0,1,1,1,5,5,4,4,4,4,11,11,11
MS,Morgan Stanley,투자은행 및 서비스,551020.0,1,1,1,5,5,4,4,4,4,4,4,4
SAP,SAP SE ADR,소프트웨어 및 IT서비스,572010.0,1,1,2,1,1,1,1,1,1,1,1,1
IBM,International Business Machines Corp,소프트웨어 및 IT서비스,572010.0,0,3,3,3,3,7,7,7,7,7,7,7
NOW,ServiceNow Inc,소프트웨어 및 IT서비스,572010.0,1,1,1,1,1,1,1,1,1,11,11,11
SHOP,Shopify Inc Class A,소프트웨어 및 IT서비스,572010.0,1,1,4,1,1,1,1,1,1,11,11,11
INFY,Infosys Ltd ADR,소프트웨어 및 IT서비스,572010.0,1,1,1,5,5,4,4,4,4,11,11,11
SE,Sea Ltd ADR,소프트웨어 및 IT서비스,572010.0,1,1,1,5,5,4,4,4,4,11,11,11
SNAP,Snap Inc Class A,소프트웨어 및 IT서비스,572010.0,1,1,1,5,5,4,4,4,4,4,4,4
SQ,Block Inc Class A,전문 및 상업 서비스,522030.0,1,1,4,1,1,1,1,1,1,1,1,1
EMR,Emerson Electric Co,"건설장비 및 대형차, 기차, 배",521020.0,1,1,1,5,5,4,4,4,4,4,4,4
VMW,VMware Inc Class A,소프트웨어 및 IT서비스,572010.0,2,2,2,2,2,5,5,5,5,5,5,5
PANW,Palo Alto Networks Inc,소프트웨어 및 IT서비스,572010.0,1,1,1,5,5,4,4,4,4,11,11,11
JCI,Johnson Controls International PLC,"건설장비 및 대형차, 기차, 배",521020.0,1,1,1,5,5,4,4,4,4,4,4,4
STM,STMicroelectronics NV ADR,반도체 및 반도체 장비,571010.0,1,1,1,5,5,4,4,4,4,11,11,11
ANET,Arista Networks Inc,커뮤니케이션 및 네트워킹,571020.0,1,1,1,5,5,4,4,4,4,11,11,11
STT,State Street Corp,투자은행 및 서비스,551020.0,0,0,0,0,0,2,2,2,2,2,2,2
VEEV,Veeva Systems Inc Class A,헬스케어 장비 및 용품,561010.0,1,1,4,1,1,1,1,1,1,1,1,1
TWLO,Twilio Inc Class A,소프트웨어 및 IT서비스,572010.0,1,1,4,1,1,1,1,1,1,1,1,1
