Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
V,Visa Inc Class A,소프트웨어 및 IT서비스,572010.0,1,1,4,4,6,4,4,3,3,3,12,12
JPM,JPMorgan Chase & Co,은행,551010.0,1,1,4,4,1,1,1,1,1,1,1,1
UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,561020.0,1,1,4,4,4,3,3,3,3,3,12,12
JNJ,Johnson & Johnson,제약,562010.0,1,1,4,4,4,3,3,3,3,3,3,3
BRK,Berkshire Hathaway Inc Class B,복합 기업,544010.0,2,2,2,0,2,2,2,2,2,2,2,2
BRK,Berkshire Hathaway Inc Class A,복합 기업,544010.0,2,2,2,0,2,2,2,2,2,2,2,2
BAC,Bank of America Corp,은행,551010.0,1,0,4,3,1,1,1,1,1,1,1,1
WMT,Walmart Inc,식품 및 약품소매,543010.0,1,1,4,4,4,3,3,3,3,3,12,12
PG,Procter & Gamble Co,"개인, 가정 용품 및 서비스",542010.0,1,1,4,4,4,3,3,3,3,3,12,12
HD,Home Depot Inc,전문품 상점,534030.0,1,1,4,4,4,3,3,3,3,3,12,12
MA,Mastercard Inc Class A,소프트웨어 및 IT서비스,572010.0,1,1,4,4,6,4,4,3,3,3,12,12
XOM,Exxon Mobil Corp,오일 및 가스,501020.0,2,2,2,2,2,7,7,7,6,6,6,7
PFE,Pfizer Inc,제약,562010.0,1,1,4,4,1,1,1,1,1,1,1,1
DIS,Walt Disney Co,미디어 및 출판,533020.0,1,1,4,4,4,3,3,3,3,3,3,12
CVX,Chevron Corp,오일 및 가스,501020.0,0,3,3,5,3,6,6,6,6,6,6,6
KO,Coca-Cola Co,음료,541010.0,1,1,1,1,6,4,4,4,4,3,12,12
WFC,Wells Fargo & Co,은행,551010.0,2,2,3,5,3,6,6,6,6,6,6,6
LLY,Eli Lilly and Co,제약,562010.0,1,1,4,4,4,3,3,3,3,3,12,12
VZ,Verizon Communications Inc,통신 서비스,574010.0,1,1,1,1,6,4,4,4,4,4,4,4
TMO,Thermo Fisher Scientific Inc,헬스케어 장비 및 용품,561010.0,1,1,4,4,4,3,3,3,3,3,12,12
ABT,Abbott Laboratories,헬스케어 장비 및 용품,561010.0,1,1,4,4,4,3,3,3,3,3,12,12
ORCL,Oracle Corp,소프트웨어 및 IT서비스,572010.0,1,1,4,4,4,3,3,9,9,9,9,9
CRM,Salesforce.Com Inc,소프트웨어 및 IT서비스,572010.0,1,1,4,4,4,3,3,3,3,3,12,12
DHR,Danaher Corp,헬스케어 장비 및 용품,561010.0,1,1,4,4,4,3,3,3,3,3,12,12
MRK,Merck & Co Inc,제약,562010.0,1,1,1,1,6,4,4,4,4,4,4,4
NVS,Novartis AG ADR,제약,562010.0,1,1,1,1,6,4,4,4,4,4,4,4
MCD,McDonald's Corp,호텔 및 엔터테인먼트,533010.0,1,1,4,4,6,4,4,3,3,3,12,12
MS,Morgan Stanley,투자은행 및 서비스,551020.0,1,1,4,4,4,1,1,9,9,9,9,9
UPS,United Parcel Service Inc Class B,화물 및 물류 서비스,524050.0,1,1,4,4,4,3,3,9,9,9,9,9
BHP,BHP Group Ltd ADR,메탈&마이닝,512010.0,1,1,4,4,4,3,3,3,3,3,3,3
T,AT&T Inc,통신 서비스,574010.0,2,2,2,2,2,7,7,7,7,7,7,7
SCHW,Charles Schwab Corp,투자은행 및 서비스,551020.0,0,0,0,3,1,1,1,9,9,9,9,9
PM,Philip Morris International Inc,식품 및 담배,541020.0,2,2,2,2,0,0,8,8,7,7,7,11
TTE,TotalEnergies SE ADR,오일 및 가스,501020.0,2,3,3,5,3,6,6,6,6,6,6,6
LOW,Lowe's Companies Inc,전문품 상점,534030.0,1,1,4,4,4,3,3,3,3,3,12,12
UNP,Union Pacific Corp,화물 및 물류 서비스,524050.0,1,1,4,4,4,3,3,3,3,3,12,12
