Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
MS,Morgan Stanley,투자은행 및 서비스,551020.0,1,1,1,5,5,5,5,5,10,10,10,10
ENB,Enbridge Inc,오일 및 가스 장비 및 서비스,501030.0,2,3,3,3,3,7,7,7,7,7,7,7
DUK,Duke Energy Corp,전기 유틸리티,591010.0,1,1,1,1,1,1,1,1,1,1,1,1
SO,Southern Co,전기 유틸리티,591010.0,1,1,1,1,1,1,1,1,1,1,1,1
D,Dominion Energy Inc,전기 유틸리티,591010.0,1,1,1,1,1,1,1,1,1,11,11,11
EPD,Enterprise Products Partners Units,오일 및 가스 장비 및 서비스,501030.0,2,2,4,4,6,4,8,8,8,8,8,8
TRP,TC Energy Corp,오일 및 가스 장비 및 서비스,501030.0,1,1,1,1,1,1,1,1,1,1,1,1
MPC,Marathon Petroleum Corp,오일 및 가스,501020.0,0,3,3,3,3,4,4,4,4,4,12,12
SRE,Sempra Energy,복합 유틸리티,591040.0,1,1,1,1,1,1,1,1,1,1,1,1
PSX,Phillips 66,오일 및 가스,501020.0,0,0,0,0,6,4,8,9,9,9,12,12
KMI,Kinder Morgan Inc,오일 및 가스 장비 및 서비스,501030.0,2,3,2,2,2,6,6,6,6,6,6,6
WMB,Williams Companies Inc,오일 및 가스 장비 및 서비스,501030.0,2,3,2,3,3,2,2,2,2,2,2,2
MPLX,MPLX Common Units,오일 및 가스 장비 및 서비스,501030.0,2,3,2,2,3,2,2,2,2,2,2,2
PEG,Public Service Enterprise Group Inc,복합 유틸리티,591040.0,1,1,1,1,1,1,1,1,5,5,5,5
ET,Energy Transfer Units,오일 및 가스 장비 및 서비스,501030.0,2,2,2,2,4,6,6,6,6,6,6,6
ES,Eversource Energy,전기 유틸리티,591010.0,1,1,1,1,1,1,1,1,1,1,1,1
WEC,WEC Energy Group Inc,전기 유틸리티,591010.0,1,1,1,1,1,1,1,1,1,1,1,1
OKE,ONEOK Inc,오일 및 가스 장비 및 서비스,501030.0,0,0,0,0,0,4,4,9,9,9,9,9
AWK,American Water Works Company Inc,수도 유틸리티,591030.0,1,1,1,1,1,1,1,1,1,1,1,1
FTS,Fortis Inc,전기 유틸리티,591010.0,1,1,1,1,1,1,1,1,1,1,1,1
PPL,PPL Corp,복합 유틸리티,591040.0,2,2,2,2,2,6,6,6,6,6,6,6
CMS,CMS Energy Corp,복합 유틸리티,591040.0,1,1,1,1,1,1,1,1,1,1,1,1
PBA,Pembina Pipeline Corp,오일 및 가스 장비 및 서비스,501030.0,0,0,0,0,6,4,4,9,9,9,9,9
CNP,CenterPoint Energy Inc,복합 유틸리티,591040.0,0,0,0,0,6,4,4,9,9,9,9,9
TRGP,Targa Resources Corp,오일 및 가스 장비 및 서비스,501030.0,2,3,3,3,3,2,2,2,2,2,2,2
ATO,Atmos Energy Corp,천연가스 유틸리티,591020.0,1,1,1,1,1,1,1,1,1,1,1,1
AES,AES Corp,전기 유틸리티,591010.0,1,1,1,5,5,5,5,5,10,10,10,13
PWR,Quanta Services Inc,건설 및 엔지니어링,522010.0,1,1,1,5,5,5,5,5,10,10,10,10
ENIA,Enel Americas SA ADR,전기 유틸리티,591010.0,2,2,4,4,6,2,8,8,8,8,8,8
NI,NiSource Inc,복합 유틸리티,591040.0,0,0,0,0,0,0,0,0,0,0,0,0
WES,Western Midstream Partners Common Units,오일 및 가스,501020.0,2,2,2,2,4,2,2,2,2,2,2,2
