Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
SLB,Schlumberger NV,오일 및 가스 장비 및 서비스,501030.0,0,0,4,4,4,2,2,2,2,2,2,2
HAL,Halliburton Co,오일 및 가스 장비 및 서비스,501030.0,0,3,4,4,4,2,8,8,8,8,8,8
WHD,Cactus Inc Class A,오일 및 가스 장비 및 서비스,501030.0,1,1,1,1,1,5,5,5,5,5,5,5
HP,Helmerich and Payne Inc,오일 및 가스 장비 및 서비스,501030.0,0,3,3,3,3,2,2,2,2,2,12,13
FTI,TechnipFMC PLC,오일 및 가스 장비 및 서비스,501030.0,0,3,3,3,3,2,2,2,2,2,12,12
RIG,Transocean Ltd,오일 및 가스 장비 및 서비스,501030.0,0,3,4,4,4,2,2,2,2,2,2,2
LBRT,Liberty Oilfield Services Inc Class A,오일 및 가스 장비 및 서비스,501030.0,0,3,4,4,4,2,8,9,9,9,9,9
XPRO,Expro Group Holdings NV,오일 및 가스 장비 및 서비스,501030.0,2,2,2,2,2,6,6,6,10,10,10,10
OII,Oceaneering International Inc,오일 및 가스 장비 및 서비스,501030.0,2,2,2,2,2,6,6,6,10,10,10,10
AROC,Archrock Inc,오일 및 가스 장비 및 서비스,501030.0,2,2,2,2,2,6,6,6,6,6,6,6
CLB,Core Laboratories NV,오일 및 가스 장비 및 서비스,501030.0,0,3,4,4,4,2,2,2,2,2,2,2
PUMP,ProPetro Holding Corp,오일 및 가스 장비 및 서비스,501030.0,2,3,3,3,3,4,4,4,4,4,4,4
NBR,Nabors Industries Ltd,오일 및 가스 장비 및 서비스,501030.0,0,0,0,0,0,0,0,0,0,0,0,0
VTOL,Bristow Group Inc,운송업,524060.0,2,2,2,2,6,3,3,3,3,3,3,3
DRQ,Dril-Quip Inc,오일 및 가스 장비 및 서비스,501030.0,2,2,2,5,5,7,7,7,7,7,7,7
HLX,Helix Energy Solutions Group Inc,오일 및 가스 장비 및 서비스,501030.0,2,2,2,5,5,6,6,6,6,11,11,11
BKR,Baker Hughes Co Class A,오일 및 가스 장비 및 서비스,501030.0,0,0,0,0,0,0,0,0,0,0,0,0
PTEN,Patterson-UTI Energy Inc,오일 및 가스 장비 및 서비스,501030.0,0,3,4,4,4,2,8,8,8,8,8,8
BOOM,DMC Global Inc,오일 및 가스 장비 및 서비스,501030.0,1,1,1,1,1,1,1,1,1,1,1,1
