Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
EOG,EOG Resources Inc,오일 및 가스,501020.0,0,0,0,0,0,0,0,0,0,0,0,0
PXD,Pioneer Natural Resources Co,오일 및 가스,501020.0,0,0,0,5,5,0,0,9,9,9,9,9
MPC,Marathon Petroleum Corp,오일 및 가스,501020.0,2,0,0,0,0,0,4,4,4,4,4,4
PSX,Phillips 66,오일 및 가스,501020.0,2,2,2,2,2,4,4,4,4,4,4,4
VLO,Valero Energy Corp,오일 및 가스,501020.0,2,2,2,2,2,4,4,4,4,4,4,4
DVN,Devon Energy Corp,오일 및 가스,501020.0,0,1,1,1,1,1,1,1,1,11,11,11
HES,Hess Corp,오일 및 가스,501020.0,1,3,3,3,3,2,2,2,2,2,2,2
CLR,Continental Resources Inc,오일 및 가스,501020.0,0,0,0,0,0,0,0,0,0,0,0,0
CTRA,Coterra Energy Inc,오일 및 가스,501020.0,0,1,4,4,6,5,5,5,5,5,5,5
MRO,Marathon Oil Corp,오일 및 가스,501020.0,0,0,0,0,0,1,1,1,1,11,11,11
TRGP,Targa Resources Corp,오일 및 가스 장비 및 서비스,501030.0,0,1,1,1,1,1,1,1,1,11,11,11
OVV,Ovintiv Inc,오일 및 가스,501020.0,0,0,4,4,6,5,5,5,5,5,12,12
EQT,EQT Corp,오일 및 가스,501020.0,0,1,1,1,6,5,5,5,5,5,5,5
TPL,Texas Pacific Land Corp,오일 및 가스,501020.0,1,3,3,3,3,2,2,2,2,2,2,2
AR,Antero Resources Corp,오일 및 가스,501020.0,0,1,1,1,1,1,1,1,1,1,1,1
HFC,HollyFrontier Corp,오일 및 가스,501020.0,2,2,2,2,2,4,4,4,4,4,4,4
RRC,Range Resources Corp,오일 및 가스,501020.0,1,1,1,1,1,7,7,7,7,7,7,7
MUR,Murphy Oil Corp,오일 및 가스,501020.0,0,0,0,0,1,1,1,1,1,11,11,11
MTDR,Matador Resources Co,오일 및 가스,501020.0,1,0,0,5,5,1,1,9,9,9,9,9
MGY,Magnolia Oil & Gas Corp Class A,오일 및 가스,501020.0,1,3,3,3,3,2,2,2,2,2,2,2
SWN,Southwestern Energy Co,오일 및 가스,501020.0,1,1,1,1,1,7,7,7,7,7,7,7
SM,SM Energy Co,오일 및 가스,501020.0,1,1,1,1,1,1,1,1,1,1,1,1
CIVI,Civitas Resources Inc,오일 및 가스,501020.0,1,1,1,1,1,7,7,7,7,7,7,7
CNX,CNX Resources Corp,오일 및 가스,501020.0,1,1,1,1,1,1,1,1,1,1,1,1
CPE,Callon Petroleum Co,오일 및 가스,501020.0,0,0,4,4,6,5,5,5,5,5,12,12
WLL,Whiting Petroleum Corp,오일 및 가스,501020.0,1,1,1,1,1,1,1,1,1,1,1,1
PBF,PBF Energy Inc Class A,오일 및 가스,501020.0,2,2,2,2,2,4,8,8,8,8,8,8
CVI,CVR Energy Inc,오일 및 가스,501020.0,2,2,2,2,2,3,3,3,3,3,3,3
KOS,Kosmos Energy Ltd,오일 및 가스,501020.0,0,0,4,4,4,5,8,8,8,8,8,8
INT,World Fuel Services Corp,오일 및 가스,501020.0,1,1,1,1,1,6,6,6,6,6,6,6
CRK,Comstock Resources Inc,오일 및 가스,501020.0,1,1,1,1,1,7,7,7,7,7,7,7
DK,Delek US Holdings Inc,오일 및 가스,501020.0,2,2,2,2,2,4,4,4,4,4,4,4
LPI,Laredo Petroleum Inc,오일 및 가스,501020.0,0,1,4,4,6,5,5,5,5,5,5,5
PARR,Par Pacific Holdings Inc,오일 및 가스,501020.0,2,2,2,2,4,3,8,8,10,10,10,10
FANG,Diamondback Energy Inc,오일 및 가스,501020.0,0,0,0,0,0,0,0,0,0,0,0,0
APA,APA Corp (US),오일 및 가스,501020.0,0,1,4,4,6,5,5,5,5,5,5,5
PDCE,PDC Energy Inc,오일 및 가스,501020.0,0,1,1,1,1,1,1,1,1,11,11,11
OAS,Oasis Petroleum Inc,오일 및 가스,501020.0,1,3,3,3,3,2,2,2,2,2,2,2
CDEV,Centennial Resource Development Inc Class A,오일 및 가스,501020.0,0,0,4,4,6,5,5,5,5,5,12,12
CLNE,Clean Energy Fuels Corp,오일 및 가스,501020.0,1,3,3,3,3,2,2,2,2,2,2,2
LNG,Cheniere Energy Inc,오일 및 가스 장비 및 서비스,501030.0,1,3,3,3,3,2,2,2,2,2,2,2
NOG,Northern Oil and Gas Inc,오일 및 가스,501020.0,1,1,1,1,1,7,7,7,7,7,7,7
TELL,Tellurian Inc,오일 및 가스,501020.0,0,0,4,4,4,5,8,8,8,8,8,13
