Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
HD,Home Depot Inc,전문품 상점,534030.0,0,0,0,0,3,3,0,9,9,9,9,9
MS,Morgan Stanley,투자은행 및 서비스,551020.0,0,0,3,3,3,3,3,3,3,3,3,3
BLK,BlackRock Inc,투자은행 및 서비스,551020.0,0,0,0,3,3,3,3,3,3,3,3,3
PLD,Prologis Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,3,3,0,9,9,9,9,9
AMT,American Tower Corp,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,0,0,0,0,0,0
BTI,British American Tobacco PLC ADR,식품 및 담배,541020.0,1,2,2,5,5,5,5,5,5,5,5,5
TGT,Target Corp,다양한 소매업,534020.0,0,0,0,0,3,3,3,9,9,9,9,9
CCI,Crown Castle International Corp,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,0,0,0,0,0,0
PSA,Public Storage,주택 및 상업용 리츠,601020.0,0,0,3,3,3,3,3,9,9,9,9,9
SPG,Simon Property Group Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,5,6,2,2,10,10,10,10
MFC,Manulife Financial Corp,보험,553010.0,2,3,4,2,6,7,7,7,4,11,11,13
DLR,Digital Realty Trust Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,0,0,0,0,0,0
O,Realty Income Corp,주택 및 상업용 리츠,601020.0,2,3,4,4,4,7,8,8,8,8,12,12
STT,State Street Corp,투자은행 및 서비스,551020.0,2,2,2,2,6,4,4,4,4,11,11,13
WELL,Welltower Inc,주택 및 상업용 리츠,601020.0,2,3,4,4,4,7,7,7,8,8,8,8
EQR,Equity Residential,주택 및 상업용 리츠,601020.0,2,3,4,4,4,7,7,7,8,8,8,8
ARE,Alexandria Real Estate Equities Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,0,0,0,0,0,0
WY,Weyerhaeuser Co,주택 및 상업용 리츠,601020.0,2,2,3,3,6,4,4,4,4,11,11,13
EXR,Extra Space Storage Inc,주택 및 상업용 리츠,601020.0,0,0,3,3,3,3,3,9,9,9,9,9
MAA,Mid-America Apartment Communities Inc,주택 및 상업용 리츠,601020.0,0,0,3,3,3,3,3,9,9,9,9,9
INVH,Invitation Homes Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,3,3,3,9,9,9,9,9
SUI,Sun Communities Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,0,0,0,0,0,0
DRE,Duke Realty Corp,주택 및 상업용 리츠,601020.0,0,0,0,0,3,3,3,9,9,9,9,9
ESS,Essex Property Trust Inc,주택 및 상업용 리츠,601020.0,2,3,4,4,4,7,8,8,8,8,12,12
VTR,Ventas Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,2,2,2,2,2,2,2,2
BXP,Boston Properties Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,1,1,1,1,1,1,1,1
VICI,VICI Properties Inc,주택 및 상업용 리츠,601020.0,0,0,0,3,3,3,3,3,3,3,3,3
UDR,UDR Inc,주택 및 상업용 리츠,601020.0,0,3,3,4,3,7,3,9,8,8,9,9
PEAK,Healthpeak Properties Inc,주택 및 상업용 리츠,601020.0,2,3,4,4,4,2,8,8,8,8,12,12
CPT,Camden Property Trust,주택 및 상업용 리츠,601020.0,0,0,3,3,3,3,3,9,9,9,9,9
KIM,Kimco Realty Corp,주택 및 상업용 리츠,601020.0,2,2,2,2,2,2,2,2,2,2,2,2
ELS,Equity LifeStyle Properties Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,0,0,0,0,0,0
AMH,American Homes 4 Rent Class A,주택 및 상업용 리츠,601020.0,0,0,0,0,3,3,3,9,9,9,9,9
MPW,Medical Properties Trust Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,0,0,0,0,0,0
IRM,Iron Mountain Inc,주택 및 상업용 리츠,601020.0,2,3,3,3,6,7,7,7,7,7,7,7
CUBE,CubeSmart,주택 및 상업용 리츠,601020.0,0,0,3,3,3,3,3,9,9,9,9,9
LSI,Life Storage Inc,주택 및 상업용 리츠,601020.0,0,0,3,3,3,3,3,9,9,9,9,9
