Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
HD,Home Depot Inc,전문품 상점,534030.0,0,0,0,0,6,5,8,8,8,8,8,8
MS,Morgan Stanley,투자은행 및 서비스,551020.0,0,0,0,0,0,0,8,8,8,8,8,8
UNP,Union Pacific Corp,화물 및 물류 서비스,524050.0,0,0,0,0,6,5,8,8,8,8,8,8
LIN,Linde PLC,화학,511010.0,0,0,0,0,6,5,8,8,8,8,8,8
AXP,American Express Co,은행,551010.0,0,0,0,0,0,5,8,8,8,8,8,8
BLK,BlackRock Inc,투자은행 및 서비스,551020.0,0,0,0,0,0,5,8,8,8,8,8,8
PLD,Prologis Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,6,5,8,8,8,8,8,8
AMT,American Tower Corp,주택 및 상업용 리츠,601020.0,0,0,0,0,6,2,2,2,2,2,2,2
BTI,British American Tobacco PLC ADR,식품 및 담배,541020.0,1,1,4,4,4,3,3,3,3,11,11,11
TGT,Target Corp,다양한 소매업,534020.0,0,0,0,0,0,5,5,5,5,5,5,5
USB,US Bancorp,은행,551010.0,2,3,3,3,3,6,6,6,6,6,6,0
CCI,Crown Castle International Corp,주택 및 상업용 리츠,601020.0,0,0,0,0,6,5,5,5,5,5,5,5
D,Dominion Energy Inc,전기 유틸리티,591010.0,0,3,3,3,6,2,2,2,2,2,2,2
PSA,Public Storage,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,8,8,8,8,8,8
NGG,National Grid PLC ADR,복합 유틸리티,591040.0,2,1,4,5,5,3,3,3,10,3,10,13
SPG,Simon Property Group Inc,주택 및 상업용 리츠,601020.0,1,2,2,2,2,4,4,4,4,4,12,12
CMG,Chipotle Mexican Grill Inc,호텔 및 엔터테인먼트,533010.0,0,0,0,0,6,5,5,5,5,5,5,5
MFC,Manulife Financial Corp,보험,553010.0,2,3,3,3,3,6,0,0,0,0,0,0
HLT,Hilton Worldwide Holdings Inc,호텔 및 엔터테인먼트,533010.0,0,0,0,0,0,5,8,8,8,8,8,8
DLR,Digital Realty Trust Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,6,5,2,2,2,2,2,2
O,Realty Income Corp,주택 및 상업용 리츠,601020.0,2,3,3,3,3,2,7,2,9,9,2,9
STT,State Street Corp,투자은행 및 서비스,551020.0,2,1,4,4,4,6,0,0,0,0,0,0
WELL,Welltower Inc,주택 및 상업용 리츠,601020.0,2,3,3,3,3,7,7,9,9,9,9,9
CBRE,CBRE Group Inc Class A,부동산 운영 관리,601010.0,0,0,0,0,0,0,8,8,8,8,8,8
CHT,Chunghwa Telecom Co Ltd ADR,통신 서비스,574010.0,0,0,0,0,0,5,8,8,8,8,8,8
DB,Deutsche Bank AG,은행,551010.0,1,1,4,4,4,3,3,3,3,3,3,11
EQR,Equity Residential,주택 및 상업용 리츠,601020.0,2,3,3,3,3,7,7,9,9,9,9,9
ARE,Alexandria Real Estate Equities Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,6,5,8,8,8,8,8,8
WY,Weyerhaeuser Co,주택 및 상업용 리츠,601020.0,2,1,4,5,5,0,0,0,0,0,0,0
ES,Eversource Energy,전기 유틸리티,591010.0,0,0,0,0,6,2,2,2,2,2,2,2
WEC,WEC Energy Group Inc,전기 유틸리티,591010.0,0,0,0,0,6,2,2,2,2,2,2,2
AWK,American Water Works Company Inc,수도 유틸리티,591030.0,0,0,0,0,6,5,5,5,5,5,5,5
EXR,Extra Space Storage Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,8,8,8,8,8,8
MAA,Mid-America Apartment Communities Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,8,8,8,8,8,8
INVH,Invitation Homes Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,0,5,8,8,8,8,8,8
MLM,Martin Marietta Materials Inc,건축 자재,512020.0,0,0,0,0,0,0,8,8,8,8,8,8
SYF,Synchrony Financial,은행,551010.0,2,3,3,5,0,0,0,0,0,0,0,0
SUI,Sun Communities Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,6,5,8,2,2,2,2,2
DRE,Duke Realty Corp,주택 및 상업용 리츠,601020.0,0,0,0,0,0,5,8,8,8,8,8,8
ESS,Essex Property Trust Inc,주택 및 상업용 리츠,601020.0,2,3,3,3,3,7,7,9,9,9,9,9
VTR,Ventas Inc,주택 및 상업용 리츠,601020.0,1,2,2,2,2,4,4,4,4,4,12,12
BXP,Boston Properties Inc,주택 및 상업용 리츠,601020.0,1,2,2,2,2,4,4,4,7,7,12,12
CMS,CMS Energy Corp,복합 유틸리티,591040.0,0,0,0,0,6,2,2,2,2,2,2,2
SHG,Shinhan Financial Group Co Ltd ADR,은행,551010.0,1,2,1,1,1,4,4,4,4,4,4,4
VICI,VICI Properties Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,0,5,8,8,8,8,8,8
UDR,UDR Inc,주택 및 상업용 리츠,601020.0,0,3,3,3,0,0,8,8,9,8,9,9
PEAK,Healthpeak Properties Inc,주택 및 상업용 리츠,601020.0,2,3,3,5,5,7,7,9,9,9,9,9
CPT,Camden Property Trust,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,8,8,8,8,8,8
KIM,Kimco Realty Corp,주택 및 상업용 리츠,601020.0,2,1,4,5,5,7,7,9,10,10,10,10
AES,AES Corp,전기 유틸리티,591010.0,0,0,0,0,6,5,5,5,5,5,5,5
ELS,Equity LifeStyle Properties Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,6,2,2,2,2,2,2,2
AMH,American Homes 4 Rent Class A,주택 및 상업용 리츠,601020.0,0,0,0,0,0,5,8,8,8,8,8,8
MPW,Medical Properties Trust Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,6,2,2,2,2,2,2,2
IRM,Iron Mountain Inc,주택 및 상업용 리츠,601020.0,2,3,3,5,5,0,0,0,0,0,0,0
JLL,Jones Lang LaSalle Inc,부동산 운영 관리,601010.0,0,0,0,0,0,0,8,8,8,8,8,0
ENIA,Enel Americas SA ADR,전기 유틸리티,591010.0,1,2,1,1,1,1,1,1,1,1,1,1
CUBE,CubeSmart,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,8,8,8,8,8,8
LSI,Life Storage Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,8,8,8,8,8,8
H,Hyatt Hotels Corp Class A,호텔 및 엔터테인먼트,533010.0,0,3,3,3,3,6,6,6,6,6,6,6
NLY,Annaly Capital Management Inc,주택 및 상업용 리츠,601020.0,1,2,1,1,1,1,1,1,4,4,4,4
GL,Globe Life Inc,보험,553010.0,0,3,3,3,3,6,6,6,6,6,6,6
REXR,Rexford Industrial Realty Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,6,5,8,8,8,8,8,8
BKI,Black Knight Inc,소프트웨어 및 IT서비스,572010.0,0,0,0,0,6,5,5,5,5,5,5,5
