Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
JNJ,Johnson & Johnson,제약,562010.0,0,0,0,5,5,4,4,4,4,11,11,11
MS,Morgan Stanley,투자은행 및 서비스,551020.0,0,3,0,0,0,0,8,8,8,8,8,8
GE,General Electric Co,복합 기업,544010.0,1,1,1,1,1,3,3,3,3,3,3,3
ENB,Enbridge Inc,오일 및 가스 장비 및 서비스,501030.0,1,1,1,1,1,7,7,7,7,7,7,13
DUK,Duke Energy Corp,전기 유틸리티,591010.0,0,0,0,5,5,4,4,4,4,11,11,11
D,Dominion Energy Inc,전기 유틸리티,591010.0,2,2,2,2,2,4,4,4,10,10,10,10
ETN,Eaton Corporation PLC,"건설장비 및 대형차, 기차, 배",521020.0,0,0,0,0,0,0,0,0,0,0,0,0
STT,State Street Corp,투자은행 및 서비스,551020.0,1,3,3,3,6,5,5,9,9,9,9,9
APTV,Aptiv PLC,자동차 및 자동차 부품,531010.0,0,0,0,0,0,0,8,8,8,8,8,8
MPLX,MPLX Common Units,오일 및 가스 장비 및 서비스,501030.0,1,1,1,1,1,7,7,7,7,7,7,7
PEG,Public Service Enterprise Group Inc,복합 유틸리티,591040.0,0,0,0,5,5,4,4,4,4,11,11,11
CMI,Cummins Inc,자동차 및 자동차 부품,531010.0,0,0,0,5,5,0,0,0,0,0,0,0
ED,Consolidated Edison Inc,전기 유틸리티,591010.0,2,2,2,2,2,2,2,2,2,2,2,2
ALB,Albemarle Corp,화학,511010.0,0,3,0,0,3,0,8,8,8,8,8,8
GNRC,Generac Holdings Inc,"건설장비 및 대형차, 기차, 배",521020.0,0,0,0,0,0,0,0,0,0,0,0,0
AGR,Avangrid Inc,전기 유틸리티,591010.0,2,2,2,2,2,2,2,2,2,11,11,11
XYL,Xylem Inc,"건설장비 및 대형차, 기차, 배",521020.0,0,0,0,5,0,0,0,0,0,11,11,11
AES,AES Corp,전기 유틸리티,591010.0,0,0,0,5,5,0,0,0,0,0,0,0
PWR,Quanta Services Inc,건설 및 엔지니어링,522010.0,0,0,0,0,0,0,8,8,8,8,8,8
ENIA,Enel Americas SA ADR,전기 유틸리티,591010.0,2,2,2,2,6,3,3,3,3,3,3,3
WOLF,Wolfspeed Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,0
DAR,Darling Ingredients Inc,식품 및 담배,541020.0,0,0,0,0,0,0,0,0,0,0,0,0
HUBB,Hubbell Inc,"건설장비 및 대형차, 기차, 배",521020.0,0,0,0,0,0,0,0,0,0,0,0,0
AQN,Algonquin Power & Utilities Corp,복합 유틸리티,591040.0,0,0,0,5,5,4,4,4,4,11,11,11
BEP,Brookfield Renewable Partners Non Voting Units,전기 유틸리티,591010.0,0,0,0,4,4,6,0,0,0,0,0,0
SQM,Sociedad Quimica y Minera de Chile SA ADR,화학,511010.0,0,3,3,3,6,5,5,5,5,5,5,5
ST,Sensata Technologies Holding PLC,전자 장비 및 부품,571040.0,0,3,3,3,3,5,8,8,8,8,8,8
EBR,Centrais Eletricas Brasileiras SA ADR,전기 유틸리티,591010.0,2,2,2,2,2,2,2,2,2,2,2,2
EBR,Centrais Eletricas Brasileiras SA ADR,전기 유틸리티,591010.0,2,2,2,2,2,2,2,2,2,2,2,2
HUN,Huntsman Corp,화학,511010.0,0,3,3,3,6,5,5,9,9,9,9,9
AYI,Acuity Brands Inc,주택건설,532030.0,1,1,1,1,1,7,7,7,7,7,7,13
LPL,LG Display Co Ltd ADR,전자 장비 및 부품,571040.0,1,1,1,1,1,3,3,3,3,3,3,3
SNDR,Schneider National Inc Class B,화물 및 물류 서비스,524050.0,0,3,3,3,6,5,5,9,9,9,9,9
EVA,Enviva Inc,종이 및 임산물,513010.0,0,0,0,0,0,0,0,0,0,0,0,0
VMI,Valmont Industries Inc,건설 및 엔지니어링,522010.0,0,3,0,0,3,0,8,8,8,8,8,8
HXL,Hexcel Corp,우주항공 및 국방,521010.0,2,2,2,2,2,2,2,2,2,2,2,2
GTLS,Chart Industries Inc,"건설장비 및 대형차, 기차, 배",521020.0,0,0,0,0,0,0,0,0,0,0,0,0
CWEN,Clearway Energy Inc Class C,전기 유틸리티,591010.0,0,0,0,0,0,0,0,0,0,0,0,0
CWEN,Clearway Energy Inc Class A,전기 유틸리티,591010.0,0,0,0,0,0,0,0,0,0,0,0,0
NJR,New Jersey Resources Corp,천연가스 유틸리티,591020.0,2,2,2,2,2,2,2,2,2,2,2,2
ORA,Ormat Technologies Inc,전기 유틸리티,591010.0,0,0,0,5,5,4,4,4,4,4,4,4
LAC,Lithium Americas Corp,메탈&마이닝,512010.0,0,3,0,0,0,0,8,8,8,8,8,8
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,0,0,0,0,0,0
