Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
TEL,TE Connectivity Ltd,"건설장비 및 대형차, 기차, 배",521020.0,0,3,0,3,3,3,3,3,3,3,3,13
STM,STMicroelectronics NV ADR,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,13
UMC,United Microelectronics Corp ADR,반도체 및 반도체 장비,571010.0,0,3,3,3,3,3,3,3,3,3,3,3
ASX,ASE Technology Holding Co Ltd ADR,반도체 및 반도체 장비,571010.0,1,1,1,1,6,5,5,5,5,5,5,5
WOLF,Wolfspeed Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,0
NPTN,NeoPhotonics Corp,반도체 및 반도체 장비,571010.0,1,1,4,4,4,1,8,8,8,8,12,12
NVDA,NVIDIA Corp,반도체 및 반도체 장비,571010.0,0,3,0,0,0,0,0,0,0,0,0,0
ASML,ASML Holding NV ADR,반도체 및 반도체 장비,571010.0,0,3,0,0,0,0,0,0,0,0,0,0
AVGO,Broadcom Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,13
INTC,Intel Corp,반도체 및 반도체 장비,571010.0,0,0,0,5,5,4,4,9,9,9,9,9
QCOM,Qualcomm Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,0
TXN,Texas Instruments Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,4,4,4,13
AMD,Advanced Micro Devices Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,0
AMAT,Applied Materials Inc,반도체 및 반도체 장비,571010.0,0,3,3,3,3,3,3,3,3,3,3,3
MU,Micron Technology Inc,반도체 및 반도체 장비,571010.0,0,0,0,5,5,4,4,4,4,4,4,4
ADI,Analog Devices Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,13
LRCX,Lam Research Corp,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,0
MRVL,Marvell Technology Inc,반도체 및 반도체 장비,571010.0,0,3,0,0,0,0,0,0,0,0,0,0
KLAC,KLA Corp,반도체 및 반도체 장비,571010.0,0,3,0,0,0,0,0,0,0,0,0,0
NXPI,NXP Semiconductors NV,반도체 및 반도체 장비,571010.0,0,3,3,3,3,3,3,3,3,3,3,3
SNPS,Synopsys Inc,소프트웨어 및 IT서비스,572010.0,0,0,0,0,0,0,0,0,0,0,0,0
MCHP,Microchip Technology Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,4,0,4,4,4,4,13
CDNS,Cadence Design Systems Inc,소프트웨어 및 IT서비스,572010.0,0,0,0,0,0,0,0,0,0,0,0,0
ON,ON Semiconductor Corp,반도체 및 반도체 장비,571010.0,0,3,0,0,0,3,3,3,3,3,3,13
SWKS,Skyworks Solutions Inc,반도체 및 반도체 장비,571010.0,0,0,3,3,3,4,3,4,3,3,3,3
MPWR,Monolithic Power Systems Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,0
TER,Teradyne Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,0
ENTG,Entegris Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,0
QRVO,Qorvo Inc,반도체 및 반도체 장비,571010.0,0,0,3,0,3,0,0,0,4,4,4,0
SYNA,Synaptics Inc,"컴퓨터, 전화 및 가전제품",571060.0,1,3,4,4,4,3,8,8,8,8,8,8
MKSI,MKS Instruments Inc,"건설장비 및 대형차, 기차, 배",521020.0,0,0,0,5,5,4,4,4,4,4,4,4
IPGP,IPG Photonics Corp,전자 장비 및 부품,571040.0,2,2,2,5,5,2,2,2,2,2,2,2
LSCC,Lattice Semiconductor Corp,반도체 및 반도체 장비,571010.0,0,3,0,0,0,0,0,0,0,0,0,0
FSLR,First Solar Inc,재생에너지,502010.0,0,0,0,0,0,6,6,6,6,6,6,6
IIVI,II-VI Inc,전자 장비 및 부품,571040.0,0,0,3,5,5,4,4,4,4,4,4,4
OLED,Universal Display Corp,반도체 및 반도체 장비,571010.0,0,0,0,5,5,4,4,4,4,4,4,4
AZTA,Azenta Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,0
SLAB,Silicon Laboratories Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,13
AMBA,Ambarella Inc,반도체 및 반도체 장비,571010.0,1,3,4,4,4,3,8,8,8,8,8,8
AMKR,Amkor Technology Inc,반도체 및 반도체 장비,571010.0,0,3,3,3,3,3,3,3,3,3,3,3
POWI,Power Integrations Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,0
CRUS,Cirrus Logic Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,13
SMTC,Semtech Corp,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,13
MTSI,MACOM Technology Solutions Holdings Inc,반도체 및 반도체 장비,571010.0,1,1,1,1,1,1,1,1,1,1,1,1
DIOD,Diodes Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,0
NVMI,Nova Ltd,반도체 및 반도체 장비,571010.0,0,3,0,0,0,0,0,0,0,0,0,0
KLIC,Kulicke and Soffa Industries Inc,반도체 및 반도체 장비,571010.0,0,3,3,3,3,3,3,3,3,3,3,3
RMBS,Rambus Inc,반도체 및 반도체 장비,571010.0,1,3,4,3,3,3,3,3,3,3,3,3
SPWR,SunPower Corp,재생에너지,502010.0,0,3,3,3,3,7,7,7,7,7,7,7
UCTT,Ultra Clean Holdings Inc,반도체 및 반도체 장비,571010.0,0,3,3,3,3,3,3,3,3,3,3,3
ACLS,Axcelis Technologies Inc,반도체 및 반도체 장비,571010.0,0,3,4,4,4,3,3,3,3,3,3,3
PI,Impinj Inc,반도체 및 반도체 장비,571010.0,1,1,4,4,4,1,1,1,1,1,1,1
CAMT,Camtek Ltd,반도체 및 반도체 장비,571010.0,0,3,0,0,0,0,0,0,0,0,0,0
AOSL,Alpha and Omega Semiconductor Ltd,반도체 및 반도체 장비,571010.0,1,1,4,4,4,3,8,8,8,8,8,8
SGH,SMART Global Holdings Inc.,반도체 및 반도체 장비,571010.0,0,0,0,5,5,4,4,4,4,4,4,4
CEVA,CEVA Inc,반도체 및 반도체 장비,571010.0,2,2,2,2,2,4,4,4,10,10,10,10
MMAT,Meta Materials Inc,전자 장비 및 부품,571040.0,2,2,2,2,6,5,5,5,5,11,11,11
KOPN,Kopin Corp,반도체 및 반도체 장비,571010.0,2,2,2,2,6,5,5,5,5,5,5,5
