Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc,주택 및 상업용 리츠,601020.0,2,3,3,3,3,2,2,2,2,2,2,2
DQ,Daqo New Energy Corp ADR,재생에너지,502010.0,0,3,3,3,3,6,6,6,10,11,11,11
JKS,JinkoSolar Holding Co Ltd ADR,재생에너지,502010.0,2,3,3,3,3,2,8,8,8,8,8,8
AZRE,Azure Power Global Ltd,전기 유틸리티,591010.0,0,0,0,0,6,5,5,5,5,5,5,5
SOL,ReneSola Ltd ADR,건설 및 엔지니어링,522010.0,0,0,0,0,0,6,6,9,9,9,9,9
ENPH,Enphase Energy Inc,재생에너지,502010.0,2,3,3,3,3,2,2,2,2,2,2,2
FSLR,First Solar Inc,재생에너지,502010.0,2,2,2,2,2,7,7,7,7,7,7,7
RUN,Sunrun Inc,재생에너지,502010.0,0,3,3,3,3,2,2,2,10,10,12,12
AY,Atlantica Sustainable Infrastructure PLC,전기 유틸리티,591010.0,2,3,3,3,3,2,2,2,2,2,2,13
SPWR,SunPower Corp,재생에너지,502010.0,0,0,0,0,0,6,6,6,6,6,6,6
CSIQ,Canadian Solar Inc,재생에너지,502010.0,0,3,3,3,3,6,6,6,10,10,10,10
SGH,SMART Global Holdings Inc.,반도체 및 반도체 장비,571010.0,2,2,2,5,5,4,4,4,4,4,4,4
BEEM,Beam Global,재생에너지,502010.0,0,0,0,0,0,0,0,0,0,0,0,0
SUNW,Sunworks Inc,재생에너지,502010.0,1,1,1,1,1,1,1,1,1,1,1,1
GIGM,Giga Media Ltd,소프트웨어 및 IT서비스,572010.0,1,1,4,4,4,3,3,3,3,3,3,3
