Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
V,Visa Inc Class A,소프트웨어 및 IT서비스,572010.0,0,0,0,0,0,6,6,0,6,11,11,11
JPM,JPMorgan Chase & Co,은행,551010.0,0,2,0,2,2,7,7,7,7,7,7,11
UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,561020.0,0,0,0,0,0,0,0,0,0,11,11,11
JNJ,Johnson & Johnson,제약,562010.0,0,0,0,0,0,6,0,0,0,11,11,11
BRK,Berkshire Hathaway Inc Class B,복합 기업,544010.0,1,3,3,5,6,5,5,5,5,5,5,5
BRK,Berkshire Hathaway Inc Class A,복합 기업,544010.0,1,3,3,5,6,5,5,5,5,5,5,5
BAC,Bank of America Corp,은행,551010.0,2,2,2,2,2,7,7,7,7,7,7,10
WMT,Walmart Inc,식품 및 약품소매,543010.0,0,0,0,0,0,6,6,0,6,11,11,11
PG,Procter & Gamble Co,"개인, 가정 용품 및 서비스",542010.0,0,0,0,0,0,6,6,0,6,11,11,11
HD,Home Depot Inc,전문품 상점,534030.0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Mastercard Inc Class A,소프트웨어 및 IT서비스,572010.0,0,0,0,0,0,6,6,0,6,11,11,11
XOM,Exxon Mobil Corp,오일 및 가스,501020.0,1,1,1,5,5,3,3,9,9,9,9,9
BABA,Alibaba Group Holding Ltd ADR,소프트웨어 및 IT서비스,572010.0,0,0,4,4,4,6,6,8,8,6,6,6
PFE,Pfizer Inc,제약,562010.0,0,2,2,2,2,7,7,7,7,7,7,10
DIS,Walt Disney Co,미디어 및 출판,533020.0,0,0,0,0,0,4,0,0,4,4,12,12
CVX,Chevron Corp,오일 및 가스,501020.0,2,1,1,1,1,1,1,9,9,9,9,13
TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,531010.0,0,0,0,0,2,0,0,4,0,0,0,0
KO,Coca-Cola Co,음료,541010.0,0,0,0,0,4,6,0,0,0,11,11,11
WFC,Wells Fargo & Co,은행,551010.0,1,1,1,1,5,3,3,9,9,9,9,13
LLY,Eli Lilly and Co,제약,562010.0,0,0,0,0,0,0,0,0,0,0,0,0
VZ,Verizon Communications Inc,통신 서비스,574010.0,0,2,4,4,4,6,8,8,8,6,8,6
TMO,Thermo Fisher Scientific Inc,헬스케어 장비 및 용품,561010.0,0,0,0,0,0,0,0,0,0,0,0,0
ABT,Abbott Laboratories,헬스케어 장비 및 용품,561010.0,0,0,0,0,0,6,6,0,6,11,11,11
ORCL,Oracle Corp,소프트웨어 및 IT서비스,572010.0,0,0,0,0,2,0,0,0,0,0,0,0
ACN,Accenture PLC Class A,소프트웨어 및 IT서비스,572010.0,0,0,0,0,0,0,0,0,0,0,0,0
DHR,Danaher Corp,헬스케어 장비 및 용품,561010.0,0,0,0,0,0,0,0,0,0,0,0,0
MRK,Merck & Co Inc,제약,562010.0,0,0,4,4,4,6,6,8,6,11,11,11
NVS,Novartis AG ADR,제약,562010.0,0,0,0,4,4,6,6,8,6,6,11,11
MCD,McDonald's Corp,호텔 및 엔터테인먼트,533010.0,0,0,0,0,0,6,0,0,6,11,11,11
MS,Morgan Stanley,투자은행 및 서비스,551020.0,0,0,2,2,2,0,0,4,10,0,10,10
UPS,United Parcel Service Inc Class B,화물 및 물류 서비스,524050.0,0,0,0,0,2,0,0,4,0,0,0,0
BHP,BHP Group Ltd ADR,메탈&마이닝,512010.0,0,0,0,0,0,6,6,0,0,11,12,12
T,AT&T Inc,통신 서비스,574010.0,1,1,1,5,5,3,3,3,3,3,3,9
NVO,Novo Nordisk A/S ADR,제약,562010.0,0,0,0,0,2,0,0,0,0,0,0,0
SCHW,Charles Schwab Corp,투자은행 및 서비스,551020.0,2,2,2,2,2,0,7,7,10,10,10,10
PM,Philip Morris International Inc,식품 및 담배,541020.0,1,3,3,3,3,2,2,2,2,2,2,2
RY,Royal Bank of Canada,은행,551010.0,2,2,2,2,2,0,7,7,7,10,10,10
TD,Toronto-Dominion Bank,은행,551010.0,2,2,2,2,2,7,7,7,7,7,7,10
TTE,TotalEnergies SE ADR,오일 및 가스,501020.0,1,1,1,1,1,1,1,9,9,9,9,13
LOW,Lowe's Companies Inc,전문품 상점,534030.0,0,0,0,0,0,0,0,0,0,0,0,0
UNP,Union Pacific Corp,화물 및 물류 서비스,524050.0,0,0,0,0,0,6,0,0,0,11,11,11
LIN,Linde PLC,화학,511010.0,0,0,0,0,0,0,0,0,0,0,0,0
BX,Blackstone Inc,투자은행 및 서비스,551020.0,0,0,0,0,2,0,0,4,0,0,0,0
BMY,Bristol-Myers Squibb Co,제약,562010.0,0,3,3,3,6,5,4,5,5,5,4,4
AXP,American Express Co,은행,551010.0,0,0,0,2,2,0,0,0,0,0,0,0
RTX,Raytheon Technologies Corp,우주항공 및 국방,521010.0,2,2,4,2,4,7,7,7,7,7,7,7
SAP,SAP SE ADR,소프트웨어 및 IT서비스,572010.0,0,0,0,4,4,6,6,8,6,11,11,11
MDT,Medtronic PLC,헬스케어 장비 및 용품,561010.0,0,0,0,0,0,6,6,0,6,11,11,11
CVS,CVS Health Corp,헬스케어 업체 및 서비스,561020.0,1,3,3,3,6,5,5,5,5,5,5,5
UL,Unilever PLC ADR,"개인, 가정 용품 및 서비스",542010.0,2,2,4,4,4,6,8,8,8,8,8,8
