Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
V,Visa Inc Class A,소프트웨어 및 IT서비스,572010.0,0,0,0,0,0,5,5,9,9,9,9,9
JPM,JPMorgan Chase & Co,은행,551010.0,0,3,3,3,2,2,2,2,8,8,12,13
UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,561020.0,0,0,3,0,0,0,0,0,0,0,0,13
JNJ,Johnson & Johnson,제약,562010.0,0,0,0,0,0,5,0,9,9,9,9,13
BRK,Berkshire Hathaway Inc Class B,복합 기업,544010.0,1,1,1,1,1,6,6,6,6,6,6,6
BRK,Berkshire Hathaway Inc Class A,복합 기업,544010.0,1,1,1,1,1,6,6,6,6,6,6,6
BAC,Bank of America Corp,은행,551010.0,2,3,2,3,2,2,8,2,8,8,12,12
WMT,Walmart Inc,식품 및 약품소매,543010.0,0,0,0,0,0,5,0,9,9,9,9,9
PG,Procter & Gamble Co,"개인, 가정 용품 및 서비스",542010.0,0,0,0,0,0,5,0,9,9,9,9,9
HD,Home Depot Inc,전문품 상점,534030.0,0,3,3,0,0,0,0,0,0,0,0,13
MA,Mastercard Inc Class A,소프트웨어 및 IT서비스,572010.0,0,0,0,0,0,5,5,9,9,9,9,9
XOM,Exxon Mobil Corp,오일 및 가스,501020.0,1,1,4,4,6,4,4,4,4,4,4,4
PFE,Pfizer Inc,제약,562010.0,0,3,3,3,2,2,2,8,8,8,8,13
DIS,Walt Disney Co,미디어 및 출판,533020.0,0,3,3,0,0,0,0,0,0,0,0,0
CVX,Chevron Corp,오일 및 가스,501020.0,2,2,4,4,6,4,4,4,4,11,11,11
KO,Coca-Cola Co,음료,541010.0,0,0,0,5,5,2,2,9,9,9,9,13
WFC,Wells Fargo & Co,은행,551010.0,1,1,4,4,6,4,4,4,10,4,4,4
LLY,Eli Lilly and Co,제약,562010.0,0,3,3,0,0,0,0,0,0,0,0,0
VZ,Verizon Communications Inc,통신 서비스,574010.0,0,0,0,5,5,5,5,5,5,5,5,5
TMO,Thermo Fisher Scientific Inc,헬스케어 장비 및 용품,561010.0,0,0,3,0,0,0,0,0,0,0,0,0
ABT,Abbott Laboratories,헬스케어 장비 및 용품,561010.0,0,0,0,0,0,5,0,9,9,9,9,9
ORCL,Oracle Corp,소프트웨어 및 IT서비스,572010.0,0,3,3,3,3,0,8,0,0,0,0,13
ACN,Accenture PLC Class A,소프트웨어 및 IT서비스,572010.0,0,3,3,3,0,0,0,0,0,0,0,13
DHR,Danaher Corp,헬스케어 장비 및 용품,561010.0,0,3,3,0,0,0,0,0,0,0,0,0
MRK,Merck & Co Inc,제약,562010.0,0,0,0,5,5,5,5,5,9,9,5,9
NVS,Novartis AG ADR,제약,562010.0,0,0,0,0,5,5,5,9,9,9,9,9
MCD,McDonald's Corp,호텔 및 엔터테인먼트,533010.0,0,0,0,0,0,5,5,9,9,9,9,13
MS,Morgan Stanley,투자은행 및 서비스,551020.0,0,3,3,3,3,0,8,8,8,8,8,8
UPS,United Parcel Service Inc Class B,화물 및 물류 서비스,524050.0,0,3,3,3,3,0,8,0,0,0,0,0
BHP,BHP Group Ltd ADR,메탈&마이닝,512010.0,0,0,0,0,0,5,0,9,9,9,9,13
T,AT&T Inc,통신 서비스,574010.0,1,1,1,1,1,1,1,1,1,1,1,1
NVO,Novo Nordisk A/S ADR,제약,562010.0,0,3,3,3,3,0,0,0,0,0,0,0
SCHW,Charles Schwab Corp,투자은행 및 서비스,551020.0,2,3,2,3,2,7,8,8,8,8,12,8
PM,Philip Morris International Inc,식품 및 담배,541020.0,1,1,1,1,4,1,1,1,1,1,7,7
LOW,Lowe's Companies Inc,전문품 상점,534030.0,0,3,3,3,3,0,0,0,0,0,0,0
UNP,Union Pacific Corp,화물 및 물류 서비스,524050.0,0,0,0,0,0,5,0,9,9,9,9,13
LIN,Linde PLC,화학,511010.0,0,0,3,0,0,0,0,0,0,0,0,13
BX,Blackstone Inc,투자은행 및 서비스,551020.0,0,3,3,3,3,0,8,0,0,0,0,0
BMY,Bristol-Myers Squibb Co,제약,562010.0,0,3,3,3,3,6,6,6,6,6,6,6
AXP,American Express Co,은행,551010.0,0,3,3,3,2,2,8,8,8,8,8,13
RTX,Raytheon Technologies Corp,우주항공 및 국방,521010.0,2,2,2,5,2,2,2,2,2,2,2,2
SAP,SAP SE ADR,소프트웨어 및 IT서비스,572010.0,0,0,0,0,5,5,5,9,9,9,9,9
MDT,Medtronic PLC,헬스케어 장비 및 용품,561010.0,0,0,0,0,0,5,0,9,9,9,9,9
CVS,CVS Health Corp,헬스케어 업체 및 서비스,561020.0,1,1,1,1,1,6,6,6,6,6,6,6
UL,Unilever PLC ADR,"개인, 가정 용품 및 서비스",542010.0,0,0,0,5,5,5,5,5,5,5,5,5
C,Citigroup Inc,은행,551010.0,2,2,2,2,4,3,3,3,3,11,11,11
BA,Boeing Co,우주항공 및 국방,521010.0,2,2,4,4,6,3,3,3,3,11,11,11
GS,Goldman Sachs Group Inc,투자은행 및 서비스,551020.0,2,3,3,3,3,0,8,8,8,8,8,8
DE,Deere & Co,"건설장비 및 대형차, 기차, 배",521020.0,0,3,3,3,3,0,0,0,0,0,0,0
