Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
V,Visa Inc Class A,소프트웨어 및 IT서비스,572010.0,1,3,3,3,3,7,7,7,7,7,3,3
JPM,JPMorgan Chase & Co,은행,551010.0,1,3,3,5,5,6,6,6,1,1,1,1
UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,561020.0,1,3,3,5,5,7,7,7,7,7,7,7
JNJ,Johnson & Johnson,제약,562010.0,1,3,3,5,5,7,7,7,7,7,7,7
BRK,Berkshire Hathaway Inc Class B,복합 기업,544010.0,2,0,0,0,6,4,4,4,4,4,4,4
BRK,Berkshire Hathaway Inc Class A,복합 기업,544010.0,2,0,0,0,6,4,4,4,4,4,4,4
BAC,Bank of America Corp,은행,551010.0,1,3,1,5,1,1,1,1,1,1,1,1
WMT,Walmart Inc,식품 및 약품소매,543010.0,1,3,3,5,3,7,7,7,7,7,3,3
PG,Procter & Gamble Co,"개인, 가정 용품 및 서비스",542010.0,1,3,3,5,5,7,7,7,7,7,3,3
HD,Home Depot Inc,전문품 상점,534030.0,1,3,3,5,5,7,7,7,7,7,7,7
MA,Mastercard Inc Class A,소프트웨어 및 IT서비스,572010.0,1,3,3,3,3,7,7,7,7,7,3,3
XOM,Exxon Mobil Corp,오일 및 가스,501020.0,2,0,4,4,4,2,8,9,9,9,9,9
PFE,Pfizer Inc,제약,562010.0,1,3,3,5,5,6,6,6,1,1,1,1
DIS,Walt Disney Co,미디어 및 출판,533020.0,1,3,3,5,5,7,7,7,6,6,6,6
CVX,Chevron Corp,오일 및 가스,501020.0,0,2,2,2,2,5,5,5,5,5,5,13
WFC,Wells Fargo & Co,은행,551010.0,2,2,4,4,4,2,8,9,9,9,9,9
LLY,Eli Lilly and Co,제약,562010.0,1,3,3,5,5,6,6,6,7,7,7,7
VZ,Verizon Communications Inc,통신 서비스,574010.0,1,3,3,3,3,3,3,3,3,3,3,3
TMO,Thermo Fisher Scientific Inc,헬스케어 장비 및 용품,561010.0,1,3,3,5,5,7,7,7,7,7,7,7
ABT,Abbott Laboratories,헬스케어 장비 및 용품,561010.0,1,3,3,5,5,7,7,7,7,7,7,7
ORCL,Oracle Corp,소프트웨어 및 IT서비스,572010.0,1,3,3,5,5,6,6,6,7,7,7,7
CRM,Salesforce.Com Inc,소프트웨어 및 IT서비스,572010.0,1,3,3,5,5,7,7,7,7,7,7,7
MRK,Merck & Co Inc,제약,562010.0,1,3,3,3,3,3,3,3,3,3,3,3
NVS,Novartis AG ADR,제약,562010.0,1,3,3,3,3,3,3,3,3,3,3,3
MCD,McDonald's Corp,호텔 및 엔터테인먼트,533010.0,1,3,3,3,3,7,7,7,7,7,3,3
MS,Morgan Stanley,투자은행 및 서비스,551020.0,1,3,3,5,5,6,6,6,1,11,11,11
UPS,United Parcel Service Inc Class B,화물 및 물류 서비스,524050.0,1,3,3,5,5,6,6,6,6,6,6,6
T,AT&T Inc,통신 서비스,574010.0,2,0,4,4,6,2,8,8,8,8,8,9
SCHW,Charles Schwab Corp,투자은행 및 서비스,551020.0,0,1,1,1,1,1,1,1,1,11,11,11
PM,Philip Morris International Inc,식품 및 담배,541020.0,2,0,4,4,0,0,2,2,2,2,2,2
RY,Royal Bank of Canada,은행,551010.0,1,1,1,1,1,1,1,1,1,11,11,11
TD,Toronto-Dominion Bank,은행,551010.0,0,1,1,1,1,1,1,1,1,11,11,11
TTE,TotalEnergies SE ADR,오일 및 가스,501020.0,2,2,2,2,2,5,5,5,5,5,5,13
LOW,Lowe's Companies Inc,전문품 상점,534030.0,1,3,3,5,5,6,6,6,7,7,7,7
UNP,Union Pacific Corp,화물 및 물류 서비스,524050.0,1,3,3,5,5,7,7,7,7,7,7,7
LIN,Linde PLC,화학,511010.0,1,3,3,5,5,7,7,7,7,7,7,7
BX,Blackstone Inc,투자은행 및 서비스,551020.0,1,3,3,5,5,6,6,6,7,7,7,7
BMY,Bristol-Myers Squibb Co,제약,562010.0,1,1,0,0,0,4,4,0,6,6,6,6
AXP,American Express Co,은행,551010.0,1,3,3,5,5,6,6,6,7,7,1,1
CVS,CVS Health Corp,헬스케어 업체 및 서비스,561020.0,2,0,0,0,0,4,0,0,0,0,0,0
UL,Unilever PLC ADR,"개인, 가정 용품 및 서비스",542010.0,1,3,3,3,3,3,3,3,3,3,12,12
C,Citigroup Inc,은행,551010.0,0,2,2,2,2,5,5,5,10,10,10,10
BA,Boeing Co,우주항공 및 국방,521010.0,0,2,2,2,2,5,5,5,5,5,5,13
GS,Goldman Sachs Group Inc,투자은행 및 서비스,551020.0,1,1,1,1,1,6,6,6,1,11,11,11
DE,Deere & Co,"건설장비 및 대형차, 기차, 배",521020.0,1,3,3,5,5,6,6,6,6,6,6,7
IBM,International Business Machines Corp,소프트웨어 및 IT서비스,572010.0,2,0,4,4,6,2,8,4,4,4,4,4
BLK,BlackRock Inc,투자은행 및 서비스,551020.0,1,3,3,5,5,6,6,6,6,6,6,7
DEO,Diageo PLC ADR,음료,541010.0,1,3,3,5,5,6,6,6,7,1,1,1
GSK,GlaxoSmithKline PLC ADR,제약,562010.0,2,0,0,0,0,4,0,0,0,0,0,0
CAT,Caterpillar Inc,"건설장비 및 대형차, 기차, 배",521020.0,1,3,3,5,5,6,6,6,6,6,6,6
ANTM,Anthem Inc,헬스케어 업체 및 서비스,561020.0,1,3,3,5,5,7,7,7,7,7,7,7
BP,BP PLC ADR,오일 및 가스,501020.0,2,2,2,2,4,5,5,9,5,5,5,5
AMT,American Tower Corp,주택 및 상업용 리츠,601020.0,1,3,3,3,3,7,7,7,7,3,3,3
GE,General Electric Co,복합 기업,544010.0,2,0,0,4,6,4,4,4,4,4,4,4
BTI,British American Tobacco PLC ADR,식품 및 담배,541020.0,2,0,4,4,6,2,8,4,4,4,4,4
EQNR,Equinor ASA ADR,오일 및 가스,501020.0,0,1,1,1,1,1,1,1,10,10,10,10
ZTS,Zoetis Inc Class A,제약,562010.0,1,3,3,5,5,7,7,7,7,7,7,7
MO,Altria Group Inc,식품 및 담배,541020.0,2,0,4,4,4,2,8,9,9,9,9,9
MMM,3M Co,복합 기업,544010.0,2,2,2,2,2,5,2,2,2,2,2,2
BNS,Bank of Nova Scotia,은행,551010.0,0,1,1,1,1,1,2,2,10,10,10,10
CB,Chubb Ltd,보험,553010.0,0,1,1,1,1,1,1,1,1,11,11,11
PNC,PNC Financial Services Group Inc,은행,551010.0,0,1,1,1,1,1,1,1,1,11,11,11
ENB,Enbridge Inc,오일 및 가스 장비 및 서비스,501030.0,2,0,0,0,0,4,0,0,0,0,0,0
CNI,Canadian National Railway Co,화물 및 물류 서비스,524050.0,1,3,3,5,5,7,7,7,7,7,7,7
TFC,Truist Financial Corp,은행,551010.0,0,1,1,1,1,1,1,1,1,1,1,1
MMC,Marsh & McLennan Companies Inc,보험,553010.0,1,3,3,5,5,7,7,7,7,7,7,7
DUK,Duke Energy Corp,전기 유틸리티,591010.0,1,3,3,5,5,7,7,7,7,7,7,7
UBS,UBS Group AG,투자은행 및 서비스,551020.0,2,0,0,0,0,0,2,2,2,2,2,2
