Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
MS,Morgan Stanley,투자은행 및 서비스,551020.0,2,2,2,5,5,7,7,7,7,7,7,7
BLK,BlackRock Inc,투자은행 및 서비스,551020.0,2,2,2,5,2,7,7,7,7,7,7,7
DUK,Duke Energy Corp,전기 유틸리티,591010.0,2,2,2,2,2,2,2,2,2,2,2,2
SO,Southern Co,전기 유틸리티,591010.0,2,2,2,2,2,2,2,2,2,2,2,2
D,Dominion Energy Inc,전기 유틸리티,591010.0,2,0,0,0,0,5,5,5,5,5,5,13
WM,Waste Management Inc,전문 및 상업 서비스,522030.0,2,2,2,2,2,7,7,7,7,7,7,7
NGG,National Grid PLC ADR,복합 유틸리티,591040.0,1,1,1,1,1,1,1,1,1,11,11,11
SRE,Sempra Energy,복합 유틸리티,591040.0,2,2,2,2,0,5,5,5,5,5,5,13
RSG,Republic Services Inc,전문 및 상업 서비스,522030.0,2,2,2,2,2,7,7,7,7,7,7,7
STT,State Street Corp,투자은행 및 서비스,551020.0,1,3,1,5,5,6,6,6,6,6,6,6
PEG,Public Service Enterprise Group Inc,복합 유틸리티,591040.0,2,2,2,2,2,5,5,5,5,5,7,5
ED,Consolidated Edison Inc,전기 유틸리티,591010.0,0,0,0,0,0,0,0,0,0,0,0,0
ES,Eversource Energy,전기 유틸리티,591010.0,2,2,2,2,2,3,3,3,3,3,3,3
WEC,WEC Energy Group Inc,전기 유틸리티,591010.0,2,2,2,2,2,3,3,3,3,3,3,3
OKE,ONEOK Inc,오일 및 가스 장비 및 서비스,501030.0,0,3,4,4,4,4,4,4,4,4,4,4
AWK,American Water Works Company Inc,수도 유틸리티,591030.0,2,2,2,2,2,3,3,3,3,3,3,3
BIP,Brookfield Infrastructure Partners Units,복합 기업,544010.0,2,2,2,2,2,7,7,7,7,7,7,7
EIX,Edison International,전기 유틸리티,591010.0,1,1,1,1,1,1,1,9,9,9,9,9
PCG,PG&E Corp,전기 유틸리티,591010.0,1,1,1,1,1,1,1,1,1,1,1,1
FE,FirstEnergy Corp,전기 유틸리티,591010.0,0,0,0,0,0,5,0,0,0,0,0,0
AEE,Ameren Corp,복합 유틸리티,591040.0,2,2,2,2,2,3,3,3,3,3,3,3
FTS,Fortis Inc,전기 유틸리티,591010.0,2,2,2,2,2,2,2,2,2,2,2,2
PPL,PPL Corp,복합 유틸리티,591040.0,1,1,1,1,1,1,1,9,9,9,9,9
ETR,Entergy Corp,전기 유틸리티,591010.0,2,2,2,2,2,5,5,5,5,5,5,13
CMS,CMS Energy Corp,복합 유틸리티,591040.0,2,2,2,2,2,3,3,3,3,3,3,3
AGR,Avangrid Inc,전기 유틸리티,591010.0,2,3,3,3,3,5,5,5,5,5,5,5
