Symbol,Name,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44
TSM,Taiwan Semiconductor Manufacturing Co Ltd ADR,0,2,4,4,4,2,2,8,8,8,8,8,8,8,8,8,8,8,5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,35,35,35,36,36,36,15
V,Visa Inc Class A,0,2,4,4,4,2,2,6,6,6,8,8,8,8,8,8,17,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
JPM,JPMorgan Chase & Co,0,2,4,3,3,4,8,8,8,8,8,9,9,9,9,17,0,17,12,7,7,7,12,12,12,12,28,28,28,28,28,28,28,28,28,28,28,28,35,28,28,28
UNH,UnitedHealth Group Inc,0,2,4,4,4,2,8,8,8,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,28,28,28,28,28,21,21,21,21,21,21,21,21,21
JNJ,Johnson & Johnson,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,2,21,21,21,21,21,21,28,28,28,28,28,35,35,35,35,35,35,35,35,35
BAC,Bank of America Corp,0,3,3,3,3,4,8,8,8,8,4,4,9,14,9,17,0,0,12,7,7,7,12,12,12,12,28,28,28,28,7,28,28,28,28,28,28,28,28,28,28,28
WMT,Walmart Inc,0,2,4,4,4,2,2,6,6,6,8,8,8,8,8,8,8,8,2,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PG,Procter & Gamble Co,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,2,21,21,2,21,21,2,2,21,21,21,21,21,21,21,21,21
HD,Home Depot Inc,0,2,4,4,4,2,8,8,8,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,28,21,21,21,21,21,21,21,21,21,21,21
MA,Mastercard Inc Class A,0,2,4,4,4,2,2,6,6,6,8,8,8,8,8,8,17,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
XOM,Exxon Mobil Corp,1,1,0,5,5,3,3,3,3,10,10,10,10,10,10,10,10,3,13,13,13,13,17,17,17,17,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13
BABA,Alibaba Group Holding Ltd ADR,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,6,6,15,15,15,15,15,15,15,15,25,25,25,25,15,33,33,33,33,33,33,33,33,33,25,33
PFE,Pfizer Inc,0,2,3,3,3,4,8,8,8,8,4,4,9,14,14,17,0,14,12,12,12,12,12,12,12,12,28,28,12,12,12,12,12,28,28,28,12,28,28,12,12,28
DIS,Walt Disney Co,0,2,4,4,4,2,2,8,6,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,36,35,35,35,36,36,36,15
CVX,Chevron Corp,2,0,0,2,6,3,3,3,3,3,3,3,3,3,16,3,3,16,6,6,6,6,6,6,6,6,6,6,17,17,17,17,17,17,17,17,6,6,6,17,6,17
TM,Toyota Motor Corp ADR,0,2,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,28,5,5,5,28,5
KO,Coca-Cola Co,0,2,4,4,4,2,8,8,6,8,8,8,8,8,8,17,17,17,12,2,2,2,2,12,12,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
ABBV,Abbvie Inc,0,2,4,3,3,4,8,8,8,8,8,4,4,14,4,17,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,28,28,35,35,7,7,7,35,35,35,35
WFC,Wells Fargo & Co,1,0,0,5,6,3,3,3,3,3,5,5,5,5,5,5,5,3,4,4,4,4,17,17,17,17,17,17,4,4,4,4,4,4,4,4,17,17,17,17,17,17
LLY,Eli Lilly and Co,0,2,4,4,4,2,8,8,8,8,8,8,8,8,8,8,8,8,5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
VZ,Verizon Communications Inc,0,2,4,4,2,6,6,6,9,9,6,6,6,6,6,6,17,6,8,8,8,8,8,2,25,25,2,2,2,2,2,2,25,2,2,2,2,2,2,2,2,2
TMO,Thermo Fisher Scientific Inc,0,2,4,4,4,2,2,8,6,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
ABT,Abbott Laboratories,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,2,21,21,21,21,21,21,2,21,21,21,21,21,21,21,21,21
